group,session_type,split,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate,max_drawdown,max_drawdown_pct
A,ordinary_rolling,oos,2384,1243,1141,-22351.34051454805,-27119.34051454805,-17.7405033917561,-27137.081017939803,-0.009375562296370826,0.3141778523489933,27804.546413624346,20.10782954119089
A,ordinary_rolling,train,7246,3842,3404,-49324.989843056785,-63816.98984305678,-7.8623604610404065,-63824.85220351782,-0.006807202572875625,0.36378691691967985,63894.29446432612,63.44511180934292
A,ordinary_rolling,validation,1726,880,846,-41124.593949057016,-44576.593949057016,-6.8410602784383,-44583.43500933546,-0.023826531836070114,0.3482039397450753,44573.512097129926,45.020244026073875
B,asia_to_europe,oos,573,316,257,-6015.617238025337,-7161.617238025337,-7.2224797498544016,-7168.839717775192,-0.010498459403185579,0.3106457242582897,7747.365167775675,7.445830093401477
B,asia_to_europe,train,1791,969,822,-12892.00299621784,-16474.002996217838,-10.025975145370701,-16484.028971363212,-0.007198214961595667,0.37353433835845895,16240.183057726523,23.007148616705365
B,asia_to_europe,validation,438,255,183,-6103.940968709261,-6979.940968709261,-2.6268921191101002,-6982.567860828371,-0.01393593828472434,0.3356164383561644,6978.210107789945,7.048148264227699
C,europe_to_us,oos,858,399,459,-5047.2164358571745,-6763.2164358571745,2.5283066151086997,-6760.688129242068,-0.005882536638528176,0.3508158508158508,7073.50278538165,5.388043736639713
C,europe_to_us,train,2579,1268,1311,-8840.879398225155,-13998.879398225155,15.077758859029997,-13983.801639366126,-0.0034280261334723363,0.3850329585110508,14022.7565449373,14.069967729479414
C,europe_to_us,validation,660,310,350,-6110.236762891908,-7430.236762891907,2.6612274337513,-7427.575535458156,-0.009257934489230162,0.4257575757575758,7774.315039537165,5.901417355554524
D,random_time_control,oos,1284,644,640,7292.7866663961595,4724.7866663961595,-4.614604236014101,4720.172062160145,0.005679740394389532,0.5194704049844237,270.48894167780236,0.10834756877865621
D,random_time_control,train,3930,2015,1915,23605.385517143783,15745.385517143779,-30.201819654101897,15715.18369748968,0.006006459419120555,0.5259541984732824,589.1811643657347,0.2765928901079741
D,random_time_control,validation,1004,518,486,5231.483499905407,3223.4834999054065,-5.8971196455338,3217.5863802598724,0.005210640936160763,0.5537848605577689,325.40556839617557,0.2567430916746239
E,reverse_test,oos,1312,656,656,10519.219892321005,7895.219892321004,2.993946546018,7898.213838867021,0.008017698088659302,0.5769817073170732,851.2804593582614,0.4246462222040123
E,reverse_test,train,3951,1920,2031,20292.678191673847,12390.678191673847,-5.440145415776697,12385.238046258073,0.005136086608877209,0.48620602379144523,4935.812434939774,0.801960575688539
E,reverse_test,validation,1024,496,528,11707.714677661947,9659.714677661947,-0.4832403866800006,9659.231437275264,0.011433315114904245,0.515625,708.542183417172,0.39323957857792063
