group,session_type,timeframe,split,symbol,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate,max_drawdown,max_drawdown_pct
A,ordinary_rolling,15m,oos,BTCUSDT_SWAP_OKX.GLOBAL,410,191,219,-1646.4182990650056,-2466.418299065006,-0.6163285544614,-2467.034627619467,-0.004015654387963428,0.26097560975609757,2449.1689338777214,2.493720989350824
A,ordinary_rolling,15m,oos,ETHUSDT_SWAP_OKX.GLOBAL,402,204,198,-4052.3071587603017,-4856.307158760302,-0.16677609112250025,-4856.473934851425,-0.010080366066567915,0.2935323383084577,5161.112850174682,4.9506600209299725
A,ordinary_rolling,15m,oos,SOLUSDT_SWAP_OKX.GLOBAL,300,175,125,-3321.754612176077,-3921.754612176077,-0.8731363102709,-3922.627748486348,-0.011072515373920256,0.3433333333333333,4008.7087361985746,3.745338654831557
A,ordinary_rolling,15m,train,BTCUSDT_SWAP_OKX.GLOBAL,1067,588,479,-2809.195118745343,-4943.195118745342,0.12936696551490012,-4943.065751779828,-0.002632797674550462,0.3158388003748828,4987.728581515768,4.843413683631006
A,ordinary_rolling,15m,train,ETHUSDT_SWAP_OKX.GLOBAL,1134,609,525,-3745.7309293622793,-6013.730929362279,3.3577145506139003,-6010.373214811665,-0.0033031136943229974,0.31305114638447973,6102.49758940991,5.640902042032608
A,ordinary_rolling,15m,train,SOLUSDT_SWAP_OKX.GLOBAL,1138,582,556,-16258.177035795254,-18534.17703579525,1.6299027771561994,-18532.5471330181,-0.014286623054301626,0.35588752196836554,18539.626995314407,18.409291744788977
A,ordinary_rolling,15m,validation,BTCUSDT_SWAP_OKX.GLOBAL,296,159,137,-1139.1657736156421,-1731.1657736156421,-0.05493818113310012,-1731.220711796775,-0.0038485330189717633,0.27702702702702703,1720.7798838570898,1.738935813483831
A,ordinary_rolling,15m,validation,ETHUSDT_SWAP_OKX.GLOBAL,284,150,134,-1795.4540102281778,-2363.454010228178,-0.8766357192618001,-2364.3306459474397,-0.006322021162775275,0.3415492957746479,2389.124141166374,2.401796029983039
A,ordinary_rolling,15m,validation,SOLUSDT_SWAP_OKX.GLOBAL,204,108,96,-17031.591876496703,-17439.591876496703,-0.35702737617089997,-17439.94890387287,-0.08348819547302307,0.2549019607843137,17451.702972075254,17.24895754862884
A,ordinary_rolling,1h,oos,BTCUSDT_SWAP_OKX.GLOBAL,165,84,81,-1050.2411033084406,-1380.2411033084406,-1.2887825361125,-1381.529885844553,-0.0063650975958087315,0.296969696969697,1387.5942805292593,1.3921129858152
A,ordinary_rolling,1h,oos,ETHUSDT_SWAP_OKX.GLOBAL,176,92,84,-2181.3294010951186,-2533.3294010951186,-5.3306267493157,-2538.6600278444344,-0.012393917051676811,0.375,2881.597593628586,2.4961818535690745
A,ordinary_rolling,1h,oos,SOLUSDT_SWAP_OKX.GLOBAL,149,87,62,-1840.5348751307147,-2138.5348751307147,-1.1195256614774993,-2139.654400792192,-0.012352583054568557,0.37583892617449666,2303.3883736840717,2.0324471716389416
A,ordinary_rolling,1h,train,BTCUSDT_SWAP_OKX.GLOBAL,507,268,239,-556.609926137249,-1570.6099261372492,-4.0436417371759,-1574.653567874425,-0.0010978499529334304,0.38461538461538464,1836.462327408847,1.6389252026455265
A,ordinary_rolling,1h,train,ETHUSDT_SWAP_OKX.GLOBAL,519,268,251,-848.2801899872036,-1886.2801899872038,2.9799535820375005,-1883.3002364051663,-0.0016344512331159995,0.4123314065510597,2280.7786085560165,1.8429218722454288
A,ordinary_rolling,1h,train,SOLUSDT_SWAP_OKX.GLOBAL,492,257,235,-6224.134943069107,-7208.134943069107,-3.4165516042913975,-7211.551494673398,-0.012650680778595744,0.44308943089430897,7187.865292098848,7.362249013640217
A,ordinary_rolling,1h,validation,BTCUSDT_SWAP_OKX.GLOBAL,145,72,73,-561.8369386755411,-851.8369386755412,-1.8438188826246003,-853.6807575581657,-0.0038747375081071797,0.36551724137931035,861.6982060630179,0.8548445340317643
A,ordinary_rolling,1h,validation,ETHUSDT_SWAP_OKX.GLOBAL,139,62,77,-650.2193858951609,-928.2193858951609,-1.7903839486699002,-930.0097698438308,-0.00467783730859828,0.43884892086330934,975.6358945287211,0.9330638088472959
A,ordinary_rolling,1h,validation,SOLUSDT_SWAP_OKX.GLOBAL,85,43,42,-6233.4087451546175,-6403.4087451546175,-0.8460931741597002,-6404.254838328777,-0.07333422053123079,0.4117647058823529,6589.839221971452,5.570605155849196
A,ordinary_rolling,30m,oos,BTCUSDT_SWAP_OKX.GLOBAL,271,136,135,-1811.3126581357858,-2353.312658135786,-0.8939641985286997,-2354.2066223343145,-0.006683810546626516,0.25092250922509224,2355.0880216564433,2.3530140766443273
A,ordinary_rolling,30m,oos,ETHUSDT_SWAP_OKX.GLOBAL,286,146,140,-3819.699139485074,-4391.699139485074,-0.7037524855291,-4392.402891970602,-0.013355591396800953,0.36363636363636365,4717.89705588817,3.9906656022709748
A,ordinary_rolling,30m,oos,SOLUSDT_SWAP_OKX.GLOBAL,225,128,97,-2627.7432673915314,-3077.743267391532,-6.7476108049378,-3084.4908781964696,-0.011678858966184586,0.3466666666666667,3225.0189567501266,2.907296706249834
A,ordinary_rolling,30m,train,BTCUSDT_SWAP_OKX.GLOBAL,766,428,338,-1196.9885400253547,-2728.9885400253543,-2.4560058177832,-2731.444545843138,-0.0015626482245761813,0.37467362924281983,2840.2887256802187,2.765576775475263
A,ordinary_rolling,30m,train,ETHUSDT_SWAP_OKX.GLOBAL,831,436,395,-2559.5677515833404,-4221.567751583341,-2.3686073330430992,-4223.936358916384,-0.0030801055975732137,0.34777376654632974,4357.967123017484,3.842900264237422
