group,session_type,timeframe,split,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate,max_drawdown,max_drawdown_pct
A,ordinary_rolling,15m,oos,1112,570,542,-9020.480070001384,-11244.480070001384,-1.6562409558548,-11246.13631095724,-0.00811194250899405,0.2949640287769784,11467.308850689782,10.692113042550785
A,ordinary_rolling,15m,train,3339,1779,1560,-22813.103083902875,-29491.103083902875,5.116984293285001,-29485.986099609585,-0.006832315987991277,0.3285414794848757,29504.398140001307,29.296979559026028
A,ordinary_rolling,15m,validation,784,417,367,-19966.211660340523,-21534.211660340523,-1.2886012765658006,-21535.50026161709,-0.02546710670961802,0.29464285714285715,21525.577349411535,21.74131450447305
A,ordinary_rolling,1h,oos,490,263,227,-5072.105379534273,-6052.105379534273,-7.7389349469057,-6059.84431448118,-0.010351235468437294,0.3489795918367347,6386.443191741445,5.356592514396445
A,ordinary_rolling,1h,train,1518,793,725,-7629.02505919356,-10665.02505919356,-4.480239759429798,-10669.50529895299,-0.005025708207637391,0.41304347826086957,10673.130448247002,10.905179134517526
A,ordinary_rolling,1h,validation,369,177,192,-7445.465069725318,-8183.465069725318,-4.4802960054542,-8187.945365730772,-0.02017741211307674,0.4037940379403794,8213.293110132881,8.010251307396336
A,ordinary_rolling,30m,oos,782,410,372,-8258.75506501239,-9822.755065012392,-8.3453274889956,-9831.100392501387,-0.01056106785807211,0.319693094629156,10085.131348613359,8.618669896924402
A,ordinary_rolling,30m,train,2389,1270,1119,-18882.861699960347,-23660.861699960347,-8.4991049948956,-23669.360804955242,-0.007904086102955357,0.3817496860611134,23679.335392052104,24.06807632595766
A,ordinary_rolling,30m,validation,573,286,287,-13712.917218991175,-14858.917218991173,-1.0721629964183004,-14859.98938198759,-0.02393179270330048,0.3856893542757417,14855.10169887291,14.928065351827822
B,asia_to_europe,15m,oos,239,130,109,-2753.687230622567,-3231.6872306225664,-0.2139601782733,-3231.9011908008397,-0.011521703893818267,0.24267782426778242,3461.6288350128902,3.432361255334004
B,asia_to_europe,15m,train,710,386,324,-5177.333605693655,-6597.333605693655,0.25053555996900007,-6597.083070133686,-0.00729201916294881,0.32816901408450705,6317.474952190361,8.949842781372228
B,asia_to_europe,15m,validation,183,108,75,-2974.319706694199,-3340.3197066941993,0.08211456768510002,-3340.237592126514,-0.016253113151334424,0.26229508196721313,3330.3146799209444,3.3636923033334654
B,asia_to_europe,1h,oos,145,81,64,-1440.2363913311356,-1730.2363913311356,-4.1613459177328,-1734.3977372488685,-0.009932664767800936,0.3931034482758621,1859.9490437683316,1.810203467019163
B,asia_to_europe,1h,train,477,257,220,-3439.7729685351214,-4393.772968535121,-9.1694778774586,-4402.9424464125805,-0.0072112640849792894,0.42138364779874216,4379.894426532641,4.600497138074615
B,asia_to_europe,1h,validation,107,60,47,-907.9835668227669,-1121.9835668227668,-1.2601052059399003,-1123.2436720287067,-0.008485827727315579,0.411214953271028,1091.6208073125163,1.1272682589646104
B,asia_to_europe,30m,oos,189,105,84,-1821.6936160716348,-2199.693616071635,-2.8471736538483,-2202.5407897254836,-0.009638590561225582,0.3333333333333333,2434.797955060871,2.4023654619479657
B,asia_to_europe,30m,train,604,326,278,-4274.896421989064,-5482.896421989064,-1.1070328278811008,-5484.003454816945,-0.0070776430827633515,0.3890728476821192,5222.993687368629,7.296354367224255
B,asia_to_europe,30m,validation,148,87,61,-2221.6376951922944,-2517.6376951922944,-1.4489014808552998,-2519.08659667315,-0.015011065508056042,0.3716216216216216,2503.5843912917862,2.557463405167913
