group,timeframe,split,trade_count,total_funding_adjusted_pnl,largest_symbol_pnl_share,largest_symbol_pnl_symbol,largest_symbol_trade_count_share,largest_symbol_trade_count_symbol,top_5pct_trade_pnl_contribution,top_5pct_trade_pnl,top_5pct_trade_count,max_drawdown,max_drawdown_pct
A,15m,oos,1112,-11246.13631095724,0.4318348809377054,ETHUSDT_SWAP_OKX.GLOBAL,0.368705035971223,BTCUSDT_SWAP_OKX.GLOBAL,,2844.695459291883,56,11467.308850689782,10.692113042550785
A,15m,train,3339,-29485.986099609585,0.6285205137929396,SOLUSDT_SWAP_OKX.GLOBAL,0.34082060497154837,SOLUSDT_SWAP_OKX.GLOBAL,,8497.838215496096,167,29504.398140001307,29.296979559026028
A,15m,validation,784,-21535.50026161709,0.8098232542550334,SOLUSDT_SWAP_OKX.GLOBAL,0.37755102040816324,BTCUSDT_SWAP_OKX.GLOBAL,,1368.2114089303507,40,21525.577349411535,21.74131450447305
A,1h,oos,490,-6059.84431448118,0.41893155931049436,ETHUSDT_SWAP_OKX.GLOBAL,0.35918367346938773,ETHUSDT_SWAP_OKX.GLOBAL,,1874.6385101763692,25,6386.443191741445,5.356592514396445
A,1h,train,1518,-10669.50529895299,0.6759030800969821,SOLUSDT_SWAP_OKX.GLOBAL,0.34189723320158105,ETHUSDT_SWAP_OKX.GLOBAL,,7238.420996790859,76,10673.130448247002,10.905179134517526
A,1h,validation,369,-8187.945365730772,0.7821565181825315,SOLUSDT_SWAP_OKX.GLOBAL,0.39295392953929537,BTCUSDT_SWAP_OKX.GLOBAL,,1355.0941544212417,19,8213.293110132881,8.010251307396336
A,30m,oos,782,-9831.100392501387,0.4467864955708195,ETHUSDT_SWAP_OKX.GLOBAL,0.3657289002557545,ETHUSDT_SWAP_OKX.GLOBAL,,2425.0158351341506,40,10085.131348613359,8.618669896924402
A,30m,train,2389,-23669.360804955242,0.7061441176179377,SOLUSDT_SWAP_OKX.GLOBAL,0.34784428631226455,ETHUSDT_SWAP_OKX.GLOBAL,,7227.064477248876,120,23679.335392052104,24.06807632595766
A,30m,validation,573,-14859.98938198759,0.8544365342613761,SOLUSDT_SWAP_OKX.GLOBAL,0.387434554973822,ETHUSDT_SWAP_OKX.GLOBAL,,1780.397832780122,29,14855.10169887291,14.928065351827822
B,15m,oos,239,-3231.9011908008397,0.4292039303589553,ETHUSDT_SWAP_OKX.GLOBAL,0.38493723849372385,BTCUSDT_SWAP_OKX.GLOBAL,,499.87047832304984,12,3461.6288350128902,3.432361255334004
B,15m,train,710,-6597.083070133686,0.6131921584115078,SOLUSDT_SWAP_OKX.GLOBAL,0.34507042253521125,ETHUSDT_SWAP_OKX.GLOBAL,,1616.2165409641527,36,6317.474952190361,8.949842781372228
B,15m,validation,183,-3340.237592126514,0.6952065803027522,SOLUSDT_SWAP_OKX.GLOBAL,0.40437158469945356,ETHUSDT_SWAP_OKX.GLOBAL,,214.23692848273868,10,3330.3146799209444,3.3636923033334654
B,1h,oos,145,-1734.3977372488685,0.47940503906179915,ETHUSDT_SWAP_OKX.GLOBAL,0.3586206896551724,BTCUSDT_SWAP_OKX.GLOBAL,,600.6379377139108,8,1859.9490437683316,1.810203467019163
B,1h,train,477,-4402.9424464125805,0.7746011078256124,SOLUSDT_SWAP_OKX.GLOBAL,0.3417190775681342,BTCUSDT_SWAP_OKX.GLOBAL,,2247.929877501325,24,4379.894426532641,4.600497138074615
B,1h,validation,107,-1123.2436720287067,0.7318761256679405,SOLUSDT_SWAP_OKX.GLOBAL,0.40186915887850466,ETHUSDT_SWAP_OKX.GLOBAL,,481.1273484526444,6,1091.6208073125163,1.1272682589646104
B,30m,oos,189,-2202.5407897254836,0.38654205308888745,ETHUSDT_SWAP_OKX.GLOBAL,0.35978835978835977,BTCUSDT_SWAP_OKX.GLOBAL,,903.3415518995365,10,2434.797955060871,2.4023654619479657
B,30m,train,604,-5484.003454816945,0.6805627359476335,SOLUSDT_SWAP_OKX.GLOBAL,0.34105960264900664,BTCUSDT_SWAP_OKX.GLOBAL,,1961.871403137952,31,5222.993687368629,7.296354367224255
B,30m,validation,148,-2519.08659667315,0.7407891429958118,SOLUSDT_SWAP_OKX.GLOBAL,0.40540540540540543,ETHUSDT_SWAP_OKX.GLOBAL,,426.76120509668203,8,2503.5843912917862,2.557463405167913
C,15m,oos,458,-3278.7909100774937,0.44439821381441175,ETHUSDT_SWAP_OKX.GLOBAL,0.35807860262008734,BTCUSDT_SWAP_OKX.GLOBAL,,1022.2822070502035,23,3414.9948799239946,3.0056178032764227
C,15m,train,1349,-6988.6059906909595,0.6109590083053711,SOLUSDT_SWAP_OKX.GLOBAL,0.33728687916975536,BTCUSDT_SWAP_OKX.GLOBAL,,3270.2733955698254,68,7003.604385098883,7.027183804596416
C,15m,validation,351,-4574.010579526351,0.8259561731324836,SOLUSDT_SWAP_OKX.GLOBAL,0.39886039886039887,BTCUSDT_SWAP_OKX.GLOBAL,,781.4639719705427,18,4734.7499343140535,4.158029542155487
C,30m,oos,400,-3481.897219164573,0.4969625865467045,SOLUSDT_SWAP_OKX.GLOBAL,0.36,BTCUSDT_SWAP_OKX.GLOBAL,,1167.3486645102976,20,3658.5079054576454,3.1093614464643573
C,30m,train,1230,-6995.195648675166,0.7170546724970047,SOLUSDT_SWAP_OKX.GLOBAL,0.33495934959349594,SOLUSDT_SWAP_OKX.GLOBAL,,3841.357720379821,62,6613.744467403879,11.123158478930904
C,30m,validation,309,-2853.5649559318053,0.8970536107393551,SOLUSDT_SWAP_OKX.GLOBAL,0.4174757281553398,BTCUSDT_SWAP_OKX.GLOBAL,,806.4802126292285,16,3098.596538935348,2.6289065346265117
D,15m,oos,646,1474.99748130906,0.6465219903435283,ETHUSDT_SWAP_OKX.GLOBAL,0.35758513931888547,BTCUSDT_SWAP_OKX.GLOBAL,1.0979775156975182,1619.5140701878186,33,264.1087841211993,0.17562027074768582
D,15m,train,1897,3760.8216927470075,0.988718687102989,SOLUSDT_SWAP_OKX.GLOBAL,0.3410648392198208,BTCUSDT_SWAP_OKX.GLOBAL,1.829767722004828,6881.43014160404,95,603.5796295757409,0.31774695162396915
D,15m,validation,496,484.09718426058726,0.46598650587214596,ETHUSDT_SWAP_OKX.GLOBAL,0.37701612903225806,BTCUSDT_SWAP_OKX.GLOBAL,3.295848499975914,1595.51097858782,25,526.2696868347789,0.31000816977513107
D,1h,oos,138,789.3384774778945,0.6648632091376199,SOLUSDT_SWAP_OKX.GLOBAL,0.36231884057971014,BTCUSDT_SWAP_OKX.GLOBAL,0.7694731737115674,607.3747833975722,7,445.2332168783323,0.20038782638111877
D,1h,train,450,3829.5583176097666,0.604808610908765,SOLUSDT_SWAP_OKX.GLOBAL,0.3466666666666667,ETHUSDT_SWAP_OKX.GLOBAL,0.7813607516177831,2992.2665654116995,23,318.63839675531017,0.1256104797511876
D,1h,validation,102,392.340787747778,0.41186836114739733,ETHUSDT_SWAP_OKX.GLOBAL,0.4019607843137255,ETHUSDT_SWAP_OKX.GLOBAL,1.280941669311277,502.56566359653993,6,235.71348857229464,0.16761218819813634
D,30m,oos,500,2455.836103373191,0.4406983176328668,ETHUSDT_SWAP_OKX.GLOBAL,0.348,BTCUSDT_SWAP_OKX.GLOBAL,0.7487035648453031,1838.6932452713063,25,168.75222012411496,0.10500455652414552
