group,session_type,timeframe,event_count,long_count,short_count,avg_range_width,mean_future_return_4,mean_future_return_8,mean_future_return_16,mean_future_return_32
A,ordinary_rolling,15m,8736,4686,4050,543.7273953754578,-0.00891509031703896,-0.009954504300008727,-0.010783212269122131,-0.011629512604017128
A,ordinary_rolling,1h,4579,2395,2184,530.3199322996289,-0.007885431870192985,-0.007963955119152892,-0.007115014873244999,-0.006786819715723757
A,ordinary_rolling,30m,6447,3453,2994,510.7159233752132,-0.008407832883772183,-0.009094861220626855,-0.009617482335741962,-0.008714670903411437
B,asia_to_europe,15m,1132,624,508,510.6364717314489,-0.007337047491494897,-0.007614933171214923,-0.0096837889545508,-0.00916782296660513
B,asia_to_europe,1h,731,398,333,476.1126716826268,-0.008013959979469935,-0.008564984960491955,-0.007948434855072262,-0.00361918105945877
B,asia_to_europe,30m,943,518,425,480.381550371156,-0.0065937954001631235,-0.008836584215797147,-0.008871047218979829,-0.00875621322701073
C,europe_to_us,15m,2160,1041,1119,452.4083319444444,-0.004634201583290099,-0.0046883525284327566,-0.004916562553513312,-0.0046088241585570695
C,europe_to_us,30m,1941,940,1001,445.27487532199893,-0.0052458482415962595,-0.005204318276995299,-0.004906830554588136,-0.004360692911774829
D,random_time_control,15m,3292,1665,1627,472.43088791008506,0.0005091044917843229,0.0013253171067771183,0.0036282820325913754,0.006515825816281387
D,random_time_control,1h,729,398,331,474.2780562414267,0.004316939564867584,0.010058436090530802,0.0096138664147075,0.010269899986369338
D,random_time_control,30m,2884,1458,1426,456.75393030513175,0.0015950536784184038,0.003948201935437374,0.007147236551507359,0.010797446420457376
E,reverse_test,15m,3292,1627,1665,472.43088791008506,0.005563612752211068,0.005695003785688731,0.006556836196666636,0.006175633359619814
E,reverse_test,1h,731,333,398,476.1126716826268,0.008013959979469935,0.008564984960491955,0.007948434855072262,0.00361918105945877
E,reverse_test,30m,2884,1426,1458,456.75393030513175,0.005686901041918449,0.006392807791322205,0.006202083291113339,0.005796868125884892
