timeframe,source_session_type,split,forward_trade_count,random_trade_count,forward_no_cost_pnl,random_no_cost_pnl,forward_cost_aware_pnl,random_cost_aware_pnl,forward_funding_adjusted_pnl,random_funding_adjusted_pnl,session_better
15m,asia_to_europe,train,710,632,-5177.333605693655,1981.203048069242,-6597.333605693655,717.2030480692415,-6597.083070133686,703.4416072757917,False
15m,asia_to_europe,validation,183,162,-2974.319706694199,112.61282731235485,-3340.3197066941993,-211.3871726876451,-3340.237592126514,-212.31516570443318,False
15m,asia_to_europe,oos,239,220,-2753.687230622567,1399.994732396978,-3231.6872306225664,959.994732396978,-3231.9011908008397,958.0592287183339,False
15m,asia_to_europe,all,1132,1014,-10905.34054301042,3493.810607778574,-13169.340543010421,1465.8106077785746,-13169.221853061037,1449.185670289692,False
15m,europe_to_us,train,1349,1265,-4295.515236871537,5595.045229654561,-6993.515236871537,3065.045229654561,-6988.6059906909595,3057.380085471216,False
15m,europe_to_us,validation,351,334,-3874.1238517235265,1366.0209852816945,-4576.123851723527,698.0209852816945,-4574.010579526351,696.4123499650204,False
15m,europe_to_us,oos,458,426,-2364.7191950803804,1368.5366935307852,-3280.7191950803804,516.536693530785,-3278.7909100774937,516.9382525907263,False
15m,europe_to_us,all,2158,2025,-10534.358283675445,8329.60290846704,-14850.358283675447,4279.602908467041,-14841.407480294802,4270.7306880269625,False
15m,core_session_breakout,train,2059,1897,-9472.848842565192,7576.248277723803,-13590.848842565192,3782.248277723803,-13585.689060824647,3760.8216927470075,False
15m,core_session_breakout,validation,534,496,-6848.443558417726,1478.6338125940492,-7916.443558417726,486.63381259404946,-7914.248171652864,484.09718426058726,False
15m,core_session_breakout,oos,697,646,-5118.406425702948,2768.531425927763,-6512.406425702948,1476.531425927763,-6510.692100878333,1474.99748130906,False
15m,core_session_breakout,all,3290,3039,-21439.698826685864,11823.413516245615,-28019.698826685868,5745.413516245615,-28010.629333355842,5719.9163583166555,False
1h,asia_to_europe,train,477,450,-3439.7729685351214,4739.6320062174445,-4393.772968535121,3839.6320062174445,-4402.9424464125805,3829.5583176097666,False
1h,asia_to_europe,validation,107,102,-907.9835668227669,597.5953960609772,-1121.9835668227668,393.59539606097707,-1123.2436720287067,392.340787747778,False
1h,asia_to_europe,oos,145,138,-1440.2363913311356,1067.5082919813879,-1730.2363913311356,791.5082919813879,-1734.3977372488685,789.3384774778945,False
1h,asia_to_europe,all,729,690,-5787.992926689024,6404.735694259809,-7245.992926689025,5024.735694259809,-7260.583855690155,5011.23758283544,False
1h,europe_to_us,train,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1h,europe_to_us,validation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1h,europe_to_us,oos,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1h,europe_to_us,all,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1h,core_session_breakout,train,477,450,-3439.7729685351214,4739.6320062174445,-4393.772968535121,3839.6320062174445,-4402.9424464125805,3829.5583176097666,False
1h,core_session_breakout,validation,107,102,-907.9835668227669,597.5953960609772,-1121.9835668227668,393.59539606097707,-1123.2436720287067,392.340787747778,False
1h,core_session_breakout,oos,145,138,-1440.2363913311356,1067.5082919813879,-1730.2363913311356,791.5082919813879,-1734.3977372488685,789.3384774778945,False
1h,core_session_breakout,all,729,690,-5787.992926689024,6404.735694259809,-7245.992926689025,5024.735694259809,-7260.583855690155,5011.23758283544,False
30m,asia_to_europe,train,604,501,-4274.896421989064,3017.2324060586943,-5482.896421989064,2015.2324060586943,-5484.003454816945,2013.8289251072465,False
30m,asia_to_europe,validation,148,130,-2221.6376951922944,549.7328556399784,-2517.6376951922944,289.7328556399784,-2519.08659667315,289.15710858066325,False
30m,asia_to_europe,oos,189,150,-1821.6936160716348,1208.867534483541,-2199.693616071635,908.867534483541,-2202.5407897254836,907.5190874637319,False
30m,asia_to_europe,all,941,781,-8318.227733252992,4775.832796182214,-10200.227733252992,3213.8327961822138,-10205.630841215578,3210.505121151642,False
30m,europe_to_us,train,1230,1082,-4545.364161353617,8272.27282714384,-7005.364161353618,6108.27282714384,-6995.195648675166,6110.9747620256585,False
30m,europe_to_us,validation,309,276,-2236.1129111683813,2605.5214356104016,-2854.1129111683813,2053.5214356104016,-2853.5649559318053,2051.9912996708445,False
30m,europe_to_us,oos,400,350,-2682.4972407767946,2247.879414003468,-3482.497240776794,1547.8794140034677,-3481.897219164573,1548.317015909459,False
30m,europe_to_us,all,1939,1708,-9463.974313298793,13125.67367675771,-13341.974313298793,9709.67367675771,-13330.657823771544,9711.28307760596,False
30m,core_session_breakout,train,1834,1583,-8820.260583342682,11289.505233202533,-12488.260583342682,8123.505233202533,-12479.199103492112,8124.803687132906,False
30m,core_session_breakout,validation,457,406,-4457.750606360675,3155.2542912503804,-5371.750606360675,2343.25429125038,-5372.651552604955,2341.1484082515076,False
30m,core_session_breakout,oos,589,500,-4504.19085684843,3456.746948487009,-5682.19085684843,2456.7469484870085,-5684.438008890056,2455.836103373191,False
30m,core_session_breakout,all,2880,2489,-17782.202046551785,17901.506472939924,-23542.202046551785,12923.506472939924,-23536.28866498712,12921.788198757604,False
