group,session_type,timeframe,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate,max_drawdown,max_drawdown_pct
A,ordinary_rolling,15m,5235,2766,2469,-51799.79481424478,-62269.79481424478,2.1721420608644006,-62267.62267218392,-0.009894898722873885,0.3163323782234957,62423.37342696547,61.9845314795896
A,ordinary_rolling,1h,2377,1233,1144,-20146.59550845315,-24900.595508453152,-16.6994707117897,-24917.294979164944,-0.008475639675411508,0.3984013462347497,25030.35655277809,25.57455128394142
A,ordinary_rolling,30m,3744,1966,1778,-40854.53398396391,-48342.53398396391,-17.916595480309503,-48360.450579444216,-0.010912001598280959,0.36939102564102566,48428.1804181988,49.223220303035944
B,asia_to_europe,15m,1132,624,508,-10905.34054301042,-13169.340543010421,0.11868994938079999,-13169.221853061037,-0.009633693059196485,0.299469964664311,13096.298068060869,18.55326845205698
B,asia_to_europe,1h,729,398,331,-5787.992926689024,-7245.992926689025,-14.590929001131302,-7260.583855690155,-0.007939633644292215,0.41426611796982166,7310.702578452141,7.678921684902201
B,asia_to_europe,30m,941,518,423,-8318.227733252992,-10200.227733252992,-5.403107962584699,-10205.630841215578,-0.008839774424285858,0.3751328374070138,10140.22385080733,14.165566915656079
C,europe_to_us,15m,2158,1039,1119,-10534.358283675445,-14850.358283675447,8.950803380642,-14841.407480294802,-0.004881537666207343,0.37488415199258573,14838.052022382644,14.888008106981939
C,europe_to_us,30m,1939,938,1001,-9463.974313298793,-13341.974313298793,11.316489527247999,-13330.657823771544,-0.0048808531785965925,0.39504899432697266,12925.250131337041,21.738004287776615
D,random_time_control,15m,3039,1543,1496,11823.413516245615,5745.413516245615,-25.497157928960206,5719.9163583166555,0.003890560551578024,0.4784468575189207,603.5796295757409,0.31774695162396915
D,random_time_control,1h,690,373,317,6404.735694259809,5024.735694259809,-13.498111424369798,5011.23758283544,0.009282225643854796,0.5594202898550724,445.2332168783323,0.1256104797511876
D,random_time_control,30m,2489,1261,1228,17901.506472939924,12923.506472939924,-1.7182741823197998,12921.788198757604,0.007192248482498964,0.5825632784250703,568.4814819039166,0.1363924427733723
E,reverse_test,15m,3121,1541,1580,21184.334739416212,14942.334739416208,-8.5241833478662,14933.810556068343,0.00678767534104973,0.5148990708106376,2325.913031016962,0.5241575833256474
E,reverse_test,1h,729,331,398,5787.992926689024,4329.992926689025,14.590929001131302,4344.583855690156,0.007939633644292215,0.5075445816186557,1430.7891979822605,0.8001769903631623
E,reverse_test,30m,2437,1200,1237,15547.28509555156,10673.28509555156,-8.9961849097038,10664.288910641857,0.006379682025257105,0.5043085761181781,2363.3711038204283,0.7837969632994889
