feature,bin,event_count,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,mean_future_return,reversal_rate,mfe_mae_ratio,warning,no_parameter_tuning_allowed
range_width_atr,"(-0.001, 2.416]",1382,1381,-10245.64984746129,-13007.64984746129,-12999.85434426307,-0.007442485095050129,0.5532223026792179,,,True
range_width_atr,"(2.416, 3.095]",1381,1380,-5006.337863619452,-7766.337863619452,-7766.119990821709,-0.003654253667674628,0.5623188405797102,,,True
range_width_atr,"(3.095, 3.828]",1381,1380,-6128.216947943734,-8888.216947943734,-8886.052676885738,-0.004462367287151837,0.5543478260869565,,,True
range_width_atr,"(3.828, 5.041]",1381,1379,-6137.847208938219,-8895.84720893822,-8899.286568585409,-0.004501417889420181,0.5714285714285714,,,True
range_width_atr,"(5.041, 714.0]",1382,1379,-17491.841931963976,-20249.841931963976,-20256.188273477197,-0.012720765679008051,0.5989847715736041,,,True
buffer_distance_atr,"(0.249999999987953, 0.24999999999999]",1383,1382,-4030.8130086472725,-6794.813008647273,-6778.644103085462,-0.0029317486236342697,0.5759768451519537,,,True
buffer_distance_atr,"(0.24999999999999, 0.249999999999997]",1387,1386,-10058.093155424896,-12830.093155424896,-12830.426192750328,-0.007281234321794242,0.5707070707070707,,,True
buffer_distance_atr,"(0.249999999999997, 0.250000000000002]",1380,1377,-22014.82923400527,-24768.82923400527,-24785.914934704324,-0.016048551401076475,0.5729847494553377,,,True
buffer_distance_atr,"(0.250000000000002, 0.25000000000001]",1381,1379,-8793.04538985579,-11551.04538985579,-11548.187645733062,-0.006426602618355058,0.5844815083393764,,,True
buffer_distance_atr,"(0.25000000000001, 0.250000000008549]",1376,1375,-113.11301199344706,-2863.113011993447,-2864.328977759945,-9.00307759447047e-05,0.536,,,True
breakout_distance_atr,"(-0.000771, 0.124]",1382,1382,-2080.635103549336,-4844.635103549335,-4841.527142148842,-0.0015297676779358904,0.5289435600578871,,,True
breakout_distance_atr,"(0.124, 0.292]",1381,1378,-1531.8868064188148,-4287.8868064188155,-4287.421241522851,-0.0011385803573213764,0.5195936139332366,,,True
breakout_distance_atr,"(0.292, 0.553]",1381,1378,-3084.480489951595,-5840.480489951595,-5831.2550759414025,-0.0022556260243213303,0.5507982583454282,,,True
breakout_distance_atr,"(0.553, 1.109]",1381,1380,-3760.1957700264165,-6520.1957700264165,-6528.990853064028,-0.0027458615220020913,0.5717391304347826,,,True
breakout_distance_atr,"(1.109, 8623.75]",1382,1381,-34552.69562998052,-37314.69562998051,-37318.307541356,-0.02508888902940865,0.6690803765387401,,,True
session_range_width,"(-0.001, 4.49]",1383,1381,-5205.215436500179,-7967.21543650018,-7963.255709497345,-0.003786379425792037,0.5474293989862419,,,True
session_range_width,"(112.8, 770.4]",1382,1382,-6302.821376823174,-9066.821376823174,-9061.349714803911,-0.004589299062793625,0.5680173661360347,,,True
session_range_width,"(30.342, 112.8]",1381,1379,-6751.806573418964,-9509.806573418964,-9502.834799876535,-0.004928223283071123,0.5779550398839739,,,True
session_range_width,"(4.49, 30.342]",1380,1380,-22209.729776529624,-24969.729776529624,-24977.114540383664,-0.016162793249895033,0.5550724637681159,,,True
session_range_width,"(770.4, 6311.4]",1381,1377,-4540.32063665473,-7294.320636654731,-7302.947089471663,-0.003308877335350372,0.5918663761801016,,,True
entry_hour_utc,"(10.0, 12.0]",881,881,-7289.1850923418915,-9051.185092341892,-9049.299969600139,-0.008323494114272348,0.5947786606129398,,,True
entry_hour_utc,"(12.0, 14.0]",1854,1850,-8919.18554059995,-12619.18554059995,-12615.733079923464,-0.004849195205763829,0.5383783783783784,,,True
entry_hour_utc,"(14.0, 15.0]",1069,1069,-4047.6340634175695,-6185.6340634175685,-6177.475847950936,-0.003818021992832164,0.5434985968194574,,,True
entry_hour_utc,"(15.0, 18.0]",1178,1178,-7031.512992956718,-9387.51299295672,-9378.856376191947,-0.0060032341212457015,0.5772495755517827,,,True
entry_hour_utc,"(7.999, 10.0]",1925,1921,-17722.376110610545,-21564.376110610545,-21586.136580366634,-0.009250970965270817,0.5923997917751171,,,True
direction,long,3521,3517,-15012.73684784317,-22046.73684784317,-22231.580187139956,-0.004299000306504322,0.561273812908729,,,True
direction,short,3386,3382,-29997.156952083504,-36761.156952083504,-36575.92166689316,-0.008902665847667529,0.575103489059728,,,True
symbol,BTCUSDT_SWAP_OKX.GLOBAL,2416,2412,-4296.815760405589,-9120.815760405589,-9119.862070476243,-0.0017944238290976684,0.5754560530679934,,,True
symbol,ETHUSDT_SWAP_OKX.GLOBAL,2330,2328,-8064.017884193552,-12720.017884193552,-12717.323768734494,-0.003495493729336814,0.5652920962199313,,,True
symbol,SOLUSDT_SWAP_OKX.GLOBAL,2161,2159,-32649.060155327534,-36967.060155327534,-36970.31601482238,-0.015174960767534783,0.5627605372857805,,,True
timeframe,15m,3292,3290,-21439.698826685864,-28019.69882668586,-28010.629333355842,-0.006556836196666627,0.5826747720364741,,,True
timeframe,1h,731,729,-5787.992926689024,-7245.992926689024,-7260.583855690154,-0.007948434855072259,0.5528120713305898,,,True
timeframe,30m,2884,2880,-17782.202046551785,-23542.202046551785,-23536.28866498712,-0.006202083291113333,0.5552083333333333,,,True
