seed,sample_count,candidate_missing_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,positive_no_cost,positive_funding_adjusted,candidate_pool_method,no_parameter_tuning_allowed
0,3290,0,-19942.48223218976,-26522.48223218976,-26539.36159129718,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
1,3290,0,-16303.748974145317,-22883.748974145317,-22895.658436591555,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
2,3290,0,-15072.706070088447,-21652.70607008845,-21669.81866032605,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
3,3290,0,-13130.230470465547,-19710.230470465547,-19709.505402628718,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
4,3290,0,-17695.408358895977,-24275.408358895977,-24271.43507542726,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
5,3290,0,-15293.500699150778,-21873.500699150776,-21889.322447373026,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
6,3290,0,-12657.161342773617,-19237.16134277362,-19237.107991994075,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
7,3290,0,-12133.182910524565,-18713.182910524567,-18729.651216885333,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
8,3290,0,-16458.20360968538,-23038.203609685377,-23054.94747474458,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
9,3290,0,-14075.592271619458,-20655.59227161946,-20654.771509397626,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
10,3290,0,-11685.262579699687,-18265.262579699687,-18268.174204679322,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
11,3290,0,-12743.293563674682,-19323.29356367468,-19329.209070362787,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
12,3290,0,-10896.03110167076,-17476.03110167076,-17480.221537967023,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
13,3290,0,-11622.40885395648,-18202.40885395648,-18201.45729849743,False,False,available_traded_non_breakout_event_pool_same_symbol_timeframe_direction_split,True
