dimension,timeframe,split,direction,session_type,forward_trade_count,reverse_trade_count,forward_no_cost_pnl,reverse_no_cost_pnl,forward_cost_aware_pnl,reverse_cost_aware_pnl,forward_funding_adjusted_pnl,reverse_funding_adjusted_pnl,reverse_better_no_cost,reverse_better_cost_aware,reverse_better_funding_adjusted,reverse_cost_after_cost_positive,reverse_funding_adjusted_positive,mechanical_no_cost_inverse,possible_false_breakout_research_hypothesis,csrb_trend_following_hypothesis_failed
timeframe_split,15m,train,all,core_session_breakout,2059,1941,-9472.848842565192,9414.467730052536,-13590.848842565192,5532.467730052536,-13585.689060824645,5528.836409747149,True,True,True,True,True,False,True,True
timeframe_split,15m,validation,all,core_session_breakout,534,518,-6848.443558417726,6790.042481695551,-7916.443558417726,5754.042481695551,-7914.248171652864,5751.6762165377095,True,True,True,True,True,False,True,True
timeframe_split,15m,oos,all,core_session_breakout,697,662,-5118.406425702948,4979.8245276681255,-6512.406425702948,3655.8245276681246,-6510.692100878333,3653.2979297834863,True,True,True,True,True,False,True,True
timeframe_split,15m,all,all,core_session_breakout,3290,3121,-21439.698826685864,21184.334739416212,-28019.698826685868,14942.334739416208,-28010.629333355842,14933.810556068343,True,True,True,True,True,False,True,True
timeframe_session,15m,all,all,asia_to_europe,1132,1132,-10905.340543010421,10905.340543010421,-13169.340543010421,8641.340543010421,-13169.221853061039,8641.22185306104,True,True,True,True,True,True,True,True
timeframe_session,15m,all,all,europe_to_us,2158,1989,-10534.358283675445,10278.99419640579,-14850.358283675447,6300.994196405791,-14841.407480294802,6292.588703007305,True,True,True,True,True,False,True,True
timeframe_split,1h,train,all,core_session_breakout,477,477,-3439.772968535122,3439.772968535122,-4393.772968535121,2485.7729685351214,-4402.9424464125805,2494.9424464125805,True,True,True,True,True,True,True,True
timeframe_split,1h,validation,all,core_session_breakout,107,107,-907.9835668227669,907.9835668227669,-1121.9835668227668,693.9835668227669,-1123.2436720287067,695.2436720287068,True,True,True,True,True,True,True,True
timeframe_split,1h,oos,all,core_session_breakout,145,145,-1440.2363913311358,1440.2363913311358,-1730.2363913311356,1150.2363913311356,-1734.3977372488685,1154.3977372488685,True,True,True,True,True,True,True,True
timeframe_split,1h,all,all,core_session_breakout,729,729,-5787.992926689024,5787.992926689024,-7245.992926689025,4329.992926689025,-7260.583855690156,4344.583855690156,True,True,True,True,True,True,True,True
timeframe_session,1h,all,all,asia_to_europe,729,729,-5787.992926689024,5787.992926689024,-7245.992926689025,4329.992926689025,-7260.583855690156,4344.583855690156,True,True,True,True,True,True,True,True
timeframe_session,1h,all,all,europe_to_us,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,True,True,True
timeframe_split,30m,train,all,core_session_breakout,1834,1533,-8820.260583342682,7438.4374930861895,-12488.260583342682,4372.4374930861895,-12479.199103492112,4361.4591900983405,True,True,True,True,True,False,True,True
timeframe_split,30m,validation,all,core_session_breakout,457,399,-4457.750606360675,4009.6886291436276,-5371.750606360675,3211.6886291436276,-5372.651552604956,3212.31154870885,True,True,True,True,True,False,True,True
timeframe_split,30m,oos,all,core_session_breakout,589,505,-4504.190856848429,4099.158973321742,-5682.19085684843,3089.1589733217434,-5684.438008890056,3090.5181718346676,True,True,True,True,True,False,True,True
timeframe_split,30m,all,all,core_session_breakout,2880,2437,-17782.202046551785,15547.28509555156,-23542.202046551785,10673.285095551562,-23536.28866498712,10664.288910641857,True,True,True,True,True,False,True,True
timeframe_session,30m,all,all,asia_to_europe,941,941,-8318.227733252992,8318.227733252992,-10200.227733252992,6436.227733252994,-10205.630841215578,6441.630841215578,True,True,True,True,True,True,True,True
timeframe_session,30m,all,all,europe_to_us,1939,1496,-9463.974313298793,7229.057362298568,-13341.974313298793,4237.057362298568,-13330.657823771544,4222.65806942628,True,True,True,True,True,False,True,True
original_forward_direction,all,all,long,core_session_breakout,3517,3215,-15012.73684784317,14608.218467332055,-22046.736847843174,8178.218467332055,-22231.580187139956,8342.457155216603,True,True,True,True,True,False,True,True
original_forward_direction,all,all,short,core_session_breakout,3382,3072,-29997.156952083507,27911.394294324742,-36761.156952083504,21767.394294324742,-36575.92166689316,21600.22616718375,True,True,True,True,True,False,True,True
