scope,group,session_type,timeframe,split,dimension,dimension_value,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,avg_no_cost_pnl,all_splits_negative,less_negative_than_A,has_positive_edge,sample_sufficient
B,B,asia_to_europe,15m,train,split,train,710,-5177.333605693655,-6597.333605693655,-6597.083070133686,-7.29201916294881,True,True,False,True
B,B,asia_to_europe,15m,validation,split,validation,183,-2974.319706694199,-3340.3197066941993,-3340.237592126514,-16.25311315133442,True,True,False,True
B,B,asia_to_europe,15m,oos,split,oos,239,-2753.687230622566,-3231.6872306225664,-3231.9011908008397,-11.521703893818268,True,True,False,True
B,B,asia_to_europe,15m,all,split,all,1132,-10905.340543010421,-13169.340543010421,-13169.221853061039,-9.633693059196485,True,True,False,True
B,B,asia_to_europe,15m,all,symbol,BTCUSDT_SWAP_OKX.GLOBAL,392,-1742.8739531047454,-2526.8739531047454,-2527.2851654335136,-4.446107023226391,True,,False,True
B,B,asia_to_europe,15m,all,symbol,ETHUSDT_SWAP_OKX.GLOBAL,393,-2453.8177902034877,-3239.8177902034877,-3239.512812538705,-6.243811171001241,True,,False,True
B,B,asia_to_europe,15m,all,symbol,SOLUSDT_SWAP_OKX.GLOBAL,347,-6708.648799702187,-7402.648799702187,-7402.423875088822,-19.33328184352215,True,,False,True
B,B,asia_to_europe,15m,all,direction,long,624,-5194.109728978786,-6442.109728978787,-6443.634409582419,-8.323893796440363,True,,False,True
B,B,asia_to_europe,15m,all,direction,short,508,-5711.2308140316345,-6727.2308140316345,-6725.587443478621,-11.242580342581958,True,,False,True
B,B,asia_to_europe,15m,all,month,2023-01,23,-1406.322066859386,-1452.322066859386,-1452.2803046630836,-61.14443768953852,True,,False,False
B,B,asia_to_europe,15m,all,month,2023-02,21,-61.131817425538294,-103.13181742553832,-102.9582640989781,-2.911038925025633,True,,False,False
B,B,asia_to_europe,15m,all,month,2023-03,28,-332.83751144648403,-388.837511446484,-388.8195759706637,-11.887053980231572,True,,False,False
B,B,asia_to_europe,15m,all,month,2023-04,23,-23.914809279404338,-69.91480927940434,-69.91480927940434,-1.0397743164958408,True,,False,False
B,B,asia_to_europe,15m,all,month,2023-05,17,44.40748645567905,10.407486455679045,10.402780288660145,2.6122050856281795,True,,True,False
B,B,asia_to_europe,15m,all,month,2023-06,12,81.28800155481152,57.28800155481152,57.28800155481152,6.774000129567626,True,,True,False
B,B,asia_to_europe,15m,all,month,2023-07,18,-159.11817050864073,-195.11817050864073,-195.11817050864073,-8.839898361591151,True,,False,False
B,B,asia_to_europe,15m,all,month,2023-08,30,-151.73918177130253,-211.73918177130253,-211.58344511832001,-5.057972725710084,True,,False,True
B,B,asia_to_europe,15m,all,month,2023-09,42,139.8181378356086,55.81813783560861,55.71674281217851,3.329003281800205,True,,True,True
B,B,asia_to_europe,15m,all,month,2023-10,39,58.136074905650645,-19.863925094349362,-19.863925094349362,1.4906685873243755,True,,True,True
B,B,asia_to_europe,15m,all,month,2023-11,37,66.79779152799334,-7.202208472006652,-7.144422467537651,1.805345716972793,True,,True,True
B,B,asia_to_europe,15m,all,month,2023-12,38,-234.62371622184938,-310.6237162218494,-310.5843130316379,-6.174308321627615,True,,False,True
B,B,asia_to_europe,15m,all,month,2024-01,41,305.3115669233166,223.31156692331663,223.23186892757863,7.446623583495527,True,,True,True
B,B,asia_to_europe,15m,all,month,2024-02,43,-152.00006369017694,-238.00006369017694,-238.12576858667595,-3.534885202097138,True,,False,True
B,B,asia_to_europe,15m,all,month,2024-03,25,-422.7532745376156,-472.7532745376156,-473.1831726311348,-16.910130981504622,True,,False,False
B,B,asia_to_europe,15m,all,month,2024-04,24,-135.52231839658225,-183.52231839658222,-183.29040213484504,-5.64676326652426,True,,False,False
B,B,asia_to_europe,15m,all,month,2024-05,50,-569.7648081706947,-669.7648081706947,-669.5029230258499,-11.395296163413894,True,,False,True
B,B,asia_to_europe,15m,all,month,2024-06,31,-56.58769229723927,-118.5876922972393,-118.55840472976297,-1.8254094289432024,True,,False,True
B,B,asia_to_europe,15m,all,month,2024-07,29,209.79861597654775,151.79861597654775,151.79861597654775,7.23443503367406,True,,True,False
B,B,asia_to_europe,15m,all,month,2024-08,30,-378.33856559755554,-438.33856559755554,-438.33856559755554,-12.611285519918518,True,,False,True
B,B,asia_to_europe,15m,all,month,2024-09,39,-65.7656658236908,-143.76566582369082,-143.76566582369082,-1.6862991236843794,True,,False,True
B,B,asia_to_europe,15m,all,month,2024-10,42,-1616.6032075856065,-1700.6032075856065,-1700.310952809286,-38.49055256156206,True,,False,True
B,B,asia_to_europe,15m,all,month,2024-11,24,-320.2385446715555,-368.2385446715555,-368.54812753210587,-13.343272694648144,True,,False,False
B,B,asia_to_europe,15m,all,month,2024-12,21,-35.900774799365614,-77.90077479936559,-77.816219822435,-1.7095607047316959,True,,False,False
B,B,asia_to_europe,15m,all,month,2025-01,25,-455.41888362734016,-505.4188836273401,-505.4992167932017,-18.216755345093606,True,,False,False
B,B,asia_to_europe,15m,all,month,2025-02,21,-535.8613244223725,-577.8613244223725,-577.8613244223725,-25.51720592487488,True,,False,False
B,B,asia_to_europe,15m,all,month,2025-03,26,-483.7533292894585,-535.7533292894586,-535.7533292894586,-18.605897280363788,True,,False,False
B,B,asia_to_europe,15m,all,month,2025-04,20,-504.62524410144204,-544.625244101442,-544.625244101442,-25.231262205072102,True,,False,False
B,B,asia_to_europe,15m,all,month,2025-05,21,-475.7519984072788,-517.7519984072787,-517.6741056506627,-22.654857067013275,True,,False,False
B,B,asia_to_europe,15m,all,month,2025-06,23,-162.8526163952203,-208.8526163952203,-208.8526163952203,-7.080548538922622,True,,False,False
B,B,asia_to_europe,15m,all,month,2025-07,27,-262.5500618567093,-316.55006185670925,-316.55006185670925,-9.724076365063308,True,,False,False
B,B,asia_to_europe,15m,all,month,2025-08,25,-233.99990566754823,-283.9999056675482,-283.9999056675482,-9.359996226701929,True,,False,False
B,B,asia_to_europe,15m,all,month,2025-09,29,-82.29537918412088,-140.29537918412086,-140.47662945114274,-2.837771696004168,True,,False,False
