endpoint_name,endpoint_path,endpoint_available,auth_required,request_params,response_code,response_ok,row_count,sample_fields,first_timestamp,last_timestamp,period,max_window_limit,can_segment_download,can_cover_2023_2026,usable_for_research,warning,next_step,failure_reason
Open Interest,/api/v5/public/open-interest,true,false,"{""instId"": ""BTC-USDT-SWAP"", ""instType"": ""SWAP""}",200,true,1,"instId,instType,oi,oiCcy,oiUsd,ts",2026-05-11T14:21:54.668000+00:00,2026-05-11T14:21:54.668000+00:00,current,current snapshot only,false,false,false,current_snapshot_only,use contract open interest history or historical files if available,
Funding Rate History,/api/v5/public/funding-rate-history,true,false,"{""after"": ""1772467200000"", ""instId"": ""BTC-USDT-SWAP"", ""limit"": ""5""}",200,true,5,"formulaType,fundingRate,fundingTime,instId,instType,method,realizedRate",2026-03-01T00:00:00+00:00,2026-03-02T08:00:00+00:00,8h,limit <= 400 rows per request,true,true,true,local_actual_funding_complete_from_okx_historical_market_data,use existing local actual funding CSV; no new funding download needed,
Mark Price,/api/v5/public/mark-price,true,false,"{""instId"": ""BTC-USDT-SWAP"", ""instType"": ""SWAP""}",200,true,1,"instId,instType,markPx,ts",2026-05-11T14:21:55.985000+00:00,2026-05-11T14:21:55.985000+00:00,current,current snapshot only,false,false,false,current_snapshot_only,use mark price candlestick history for 2023-2026 research,
Mark Price Candles History,/api/v5/market/history-mark-price-candles,true,false,"{""after"": ""1772467200000"", ""bar"": ""1D"", ""instId"": ""BTC-USDT-SWAP"", ""limit"": ""5""}",200,true,5,array_row_length=6,2026-02-25T16:00:00+00:00,2026-03-01T16:00:00+00:00,1D,paginated candles; probe uses limit=5,true,true,true,,segment download mark price candles,
Index Ticker,/api/v5/market/index-tickers,true,false,"{""instId"": ""BTC-USDT""}",200,true,1,"high24h,idxPx,instId,low24h,open24h,sodUtc0,sodUtc8,ts",2026-05-11T14:21:57.054000+00:00,2026-05-11T14:21:57.054000+00:00,current,current snapshot only,false,false,false,current_snapshot_only,use index candlestick history for 2023-2026 research,
Index Candles History,/api/v5/market/history-index-candles,true,false,"{""after"": ""1772467200000"", ""bar"": ""1D"", ""instId"": ""BTC-USDT"", ""limit"": ""5""}",200,true,5,array_row_length=6,2026-02-25T16:00:00+00:00,2026-03-01T16:00:00+00:00,1D,paginated candles; probe uses limit=5,true,true,true,,segment download index price candles,
Taker Buy/Sell Volume,/api/v5/rubik/stat/taker-volume,true,false,"{""begin"": ""1772294400000"", ""ccy"": ""BTC"", ""end"": ""1772380800000"", ""instType"": ""CONTRACTS"", ""period"": ""1D""}",200,true,2,array_row_length=3,2026-02-28T16:00:00+00:00,2026-03-01T16:00:00+00:00,1D,begin/end + period; probe uses one day,true,false,false,start_boundary_probe_failed_or_empty,find historical taker volume files or pause this feature,
Contract Long/Short Account Ratio,/api/v5/rubik/stat/contracts/long-short-account-ratio,true,false,"{""begin"": ""1772294400000"", ""ccy"": ""BTC"", ""end"": ""1772380800000"", ""period"": ""1D""}",200,true,2,array_row_length=2,2026-02-28T16:00:00+00:00,2026-03-01T16:00:00+00:00,1D,begin/end + period; probe uses one day,true,false,false,start_boundary_probe_failed_or_empty; docs_added_after_requested_start:2024-06-13,find historical long/short ratio files or pause this feature,
Contracts Open Interest and Volume,/api/v5/rubik/stat/contracts/open-interest-volume,true,false,"{""begin"": ""1772294400000"", ""ccy"": ""BTC"", ""end"": ""1772380800000"", ""period"": ""1D""}",200,true,2,array_row_length=3,2026-02-28T16:00:00+00:00,2026-03-01T16:00:00+00:00,1D,begin/end + period; probe uses one day,true,false,false,start_boundary_probe_failed_or_empty,find historical OI/volume files or pause this feature,
Contract Open Interest History,/api/v5/rubik/stat/contracts/open-interest-history,true,false,"{""begin"": ""1772294400000"", ""end"": ""1772380800000"", ""instId"": ""BTC-USDT-SWAP"", ""period"": ""1D""}",200,true,2,array_row_length=4,2026-02-28T16:00:00+00:00,2026-03-01T16:00:00+00:00,1D,begin/end + period; probe uses one day,true,false,false,start_boundary_probe_failed_or_empty; docs_added_after_requested_start:2024-06-13,find historical open interest files or pause this feature,
Premium History,/api/v5/public/premium-history,true,false,"{""after"": ""1772467200000"", ""instId"": ""BTC-USDT-SWAP"", ""limit"": ""5""}",200,true,5,"instId,premium,ts",2026-03-02T15:55:08+00:00,2026-03-02T15:59:01+00:00,historical probe,paginated history; probe uses limit=5,true,false,false,start_boundary_probe_failed_or_empty,derive basis from mark/index history or import historical files,
