group,event_group,hold,split,trade_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate
A,top10_score_events,hold_1d,oos_ext,339,3438.0555298495483,2760.0555298495483,-46.5034311478654,2713.552098701683,0.010141756725219907,0.6017699115044248
A,top10_score_events,hold_1d,train_ext,1086,14060.9809940607,11888.9809940607,-197.68136064831222,11691.299633412387,0.012947496311289778,0.5543278084714549
A,top10_score_events,hold_1d,validation_ext,679,8171.3963230198915,6813.3963230198915,-108.7386925707026,6704.657630449189,0.012034457029484377,0.5699558173784978
A,top10_score_events,hold_3d,oos_ext,339,2146.0759713558455,1468.075971355846,-92.52201960150381,1375.5539517543425,0.006330607585120488,0.5103244837758112
A,top10_score_events,hold_3d,train_ext,1086,31497.27712010782,29325.27712010782,-585.2558665052685,28740.021253602557,0.02900301760599247,0.6500920810313076
A,top10_score_events,hold_3d,validation_ext,679,8431.942226064386,7073.942226064386,-271.39576350350006,6802.546462560887,0.012418177063423248,0.5714285714285714
A,top10_score_events,hold_4h,oos_ext,339,2138.933649814364,1460.9336498143637,-19.0588661463131,1441.8747836680507,0.006309538790012873,0.5339233038348082
A,top10_score_events,hold_4h,train_ext,1086,4536.06260773079,2364.0626077307898,-55.7641154325728,2308.298492298217,0.004176853229954687,0.4521178637200737
A,top10_score_events,hold_4h,validation_ext,679,3561.7090813156483,2203.7090813156483,-30.2554926488932,2173.4535886667554,0.005245521474691677,0.48159057437407954
A,top10_score_events,hold_8h,oos_ext,339,3081.5516801056215,2403.551680105622,-25.681254076817403,2377.870426028804,0.009090122950164077,0.5811209439528023
A,top10_score_events,hold_8h,train_ext,1086,7384.371395519367,5212.371395519367,-79.21866596875762,5133.152729550609,0.006799605336574002,0.5
A,top10_score_events,hold_8h,validation_ext,679,5403.186115528913,4045.1861155289143,-45.183889595307704,4000.0022259336065,0.007957564234946854,0.5139911634756995
B,top20_score_events,hold_1d,oos_ext,760,7265.627644124659,5745.627644124659,-106.71727829160639,5638.910365833051,0.009560036373848236,0.575
B,top20_score_events,hold_1d,train_ext,2171,24022.67577244225,19680.67577244225,-386.49587896306906,19294.17989347918,0.011065258301447374,0.54076462459696
B,top20_score_events,hold_1d,validation_ext,1397,15736.928232970204,12942.928232970204,-235.371722966714,12707.55651000349,0.011264801884731713,0.560486757337151
B,top20_score_events,hold_3d,oos_ext,760,8332.600889665096,6812.600889665096,-215.6576359155629,6596.943253749532,0.010963948539033019,0.5381578947368421
B,top20_score_events,hold_3d,train_ext,2171,53831.44296015806,49489.44296015806,-1145.0707993488763,48344.37216080918,0.024795689986254286,0.6167664670658682
B,top20_score_events,hold_3d,validation_ext,1397,17982.362683046747,15188.362683046747,-580.0922420981517,14608.270440948596,0.012872127904829452,0.5518969219756621
B,top20_score_events,hold_4h,oos_ext,760,3049.6347388631343,1529.6347388631343,-47.9648132224372,1481.6699256406969,0.004012677287977808,0.4934210526315789
B,top20_score_events,hold_4h,train_ext,2171,8779.936453512226,4437.936453512226,-122.1914855659501,4315.744967946275,0.004044189983193102,0.44633809304467986
B,top20_score_events,hold_4h,validation_ext,1397,6657.903358707872,3863.9033587078716,-69.5598479473482,3794.3435107605233,0.004765857808667052,0.4867573371510379
B,top20_score_events,hold_8h,oos_ext,760,4377.851647443387,2857.8516474433864,-61.264704940375495,2796.5869425030105,0.005760331115057088,0.525
B,top20_score_events,hold_8h,train_ext,2171,13464.816786688056,9122.816786688054,-170.3988876651921,8952.417899022863,0.006202126571482291,0.4887148779364348
B,top20_score_events,hold_8h,validation_ext,1397,10781.338390535688,7987.338390535688,-104.35826004554721,7882.980130490139,0.007717493479266777,0.5196850393700787
C,top30_score_events,hold_1d,oos_ext,1206,9986.333649061327,7574.333649061328,-166.73533108367852,7407.59831797765,0.00828054199756329,0.5530679933665008
C,top30_score_events,hold_1d,train_ext,3256,34589.338943728646,28077.338943728646,-539.6092209042473,27537.729722824395,0.010623261346354005,0.5423832923832924
C,top30_score_events,hold_1d,validation_ext,2112,24590.79915357016,20366.79915357016,-344.02474936512533,20022.774404205033,0.011643370811349505,0.5492424242424242
C,top30_score_events,hold_3d,oos_ext,1206,13625.19886755669,11213.19886755669,-327.8511258074468,10885.347741749245,0.011297843173761766,0.5447761194029851
C,top30_score_events,hold_3d,train_ext,3256,73587.54581529969,67075.54581529969,-1652.5228168555557,65423.022998444125,0.022600597609121524,0.5995085995085995
C,top30_score_events,hold_3d,validation_ext,2112,23383.466244254643,19159.466244254643,-842.9856412605278,18316.480602994117,0.01107171697171148,0.5464015151515151
C,top30_score_events,hold_4h,oos_ext,1206,3941.696492449706,1529.696492449706,-68.2383720226525,1461.4581204270537,0.003268405051782509,0.48258706467661694
C,top30_score_events,hold_4h,train_ext,3256,11943.909232619262,5431.909232619262,-176.30439319887782,5255.604839420384,0.0036682767913449824,0.44195331695331697
C,top30_score_events,hold_4h,validation_ext,2112,8857.83611490993,4633.83611490993,-110.6426364815488,4523.193478428381,0.004194051190771747,0.4777462121212121
C,top30_score_events,hold_8h,oos_ext,1206,6103.003578214013,3691.003578214013,-89.62985488100169,3601.373723333011,0.005060533646943626,0.5
C,top30_score_events,hold_8h,train_ext,3256,18045.11358882125,11533.113588821248,-243.7944223068099,11289.31916651444,0.00554211105307778,0.4794226044226044
C,top30_score_events,hold_8h,validation_ext,2112,14668.392218939982,10444.392218939984,-157.3918799893587,10287.000338950624,0.006945261467301128,0.5104166666666666
D,random_score_matched_control,hold_1d,oos_ext,760,2575.2799304366754,1055.2799304366752,-45.7341311172267,1009.5457993194484,0.0033885262242587828,0.5052631578947369
D,random_score_matched_control,hold_1d,train_ext,2171,9657.348130595332,5315.348130595333,-218.0494254751122,5097.298705120221,0.004448340916902501,0.4896361123906034
D,random_score_matched_control,hold_1d,validation_ext,1397,7370.651165810629,4576.65116581063,-149.7635722040863,4426.887593606543,0.005276056668439964,0.5046528274874732
D,random_score_matched_control,hold_3d,oos_ext,760,3495.9515249455894,1975.9515249455899,-110.53523776559553,1865.4162871799942,0.004599936217033671,0.5026315789473684
D,random_score_matched_control,hold_3d,train_ext,2171,19044.444305556783,14702.44430555678,-689.0898329163214,14013.354472640458,0.008772199127386818,0.5375403040073699
D,random_score_matched_control,hold_3d,validation_ext,1397,7149.764571161661,4355.7645711616615,-344.27490685842304,4011.489664303238,0.005117941711640414,0.5053686471009305
D,random_score_matched_control,hold_4h,oos_ext,760,523.0180096369497,-996.9819903630503,-17.0553988139069,-1014.0373891769572,0.0006881815916275655,0.4421052631578947
D,random_score_matched_control,hold_4h,train_ext,2171,2518.985665446782,-1823.0143345532176,-96.41314401831319,-1919.4274785715306,0.0011602881922831794,0.4269921695071396
D,random_score_matched_control,hold_4h,validation_ext,1397,3247.272703957119,453.2727039571189,-59.4274084703207,393.84529548679825,0.002324461491737379,0.4609878310665712
D,random_score_matched_control,hold_8h,oos_ext,760,981.5844680153052,-538.4155319846949,-22.460152702317004,-560.8756846870119,0.001291558510546454,0.4881578947368421
D,random_score_matched_control,hold_8h,train_ext,2171,4157.365607566257,-184.6343924337432,-117.3607767053409,-301.9951691390836,0.0019149542181327763,0.45877475817595575
D,random_score_matched_control,hold_8h,validation_ext,1397,5257.877975277504,2463.8779752775054,-80.4734541579848,2383.4045211195203,0.0037636921798693667,0.4824624194702935
E,reverse_direction_test,hold_1d,oos_ext,760,-7265.627644124659,-8785.62764412466,106.71727829160639,-8678.910365833051,-0.009560036373848236,0.375
E,reverse_direction_test,hold_1d,train_ext,2171,-24022.67577244225,-28364.67577244225,386.49587896306906,-27978.17989347918,-0.011065258301447374,0.3717181022570244
E,reverse_direction_test,hold_1d,validation_ext,1397,-15736.928232970204,-18530.928232970204,235.371722966714,-18295.556510003487,-0.011264801884731713,0.3851109520400859
E,reverse_direction_test,hold_3d,oos_ext,760,-8332.600889665096,-9852.600889665095,215.6576359155629,-9636.94325374953,-0.010963948539033019,0.425
E,reverse_direction_test,hold_3d,train_ext,2171,-53831.44296015806,-58173.44296015806,1145.0707993488763,-57028.37216080919,-0.024795689986254286,0.34454168585905115
E,reverse_direction_test,hold_3d,validation_ext,1397,-17982.362683046747,-20776.362683046747,580.0922420981517,-20196.270440948596,-0.012872127904829452,0.41302791696492486
E,reverse_direction_test,hold_4h,oos_ext,760,-3049.6347388631343,-4569.634738863135,47.9648132224372,-4521.669925640697,-0.004012677287977808,0.3631578947368421
E,reverse_direction_test,hold_4h,train_ext,2171,-8779.936453512226,-13121.936453512226,122.1914855659501,-12999.744967946277,-0.004044189983193102,0.33532934131736525
E,reverse_direction_test,hold_4h,validation_ext,1397,-6657.903358707872,-9451.903358707872,69.5598479473482,-9382.343510760524,-0.004765857808667052,0.376521116678597
E,reverse_direction_test,hold_8h,oos_ext,760,-4377.851647443387,-5897.851647443385,61.264704940375495,-5836.586942503011,-0.005760331115057088,0.36578947368421055
E,reverse_direction_test,hold_8h,train_ext,2171,-13464.816786688056,-17806.816786688054,170.3988876651921,-17636.41789902286,-0.006202126571482291,0.3486872409028098
E,reverse_direction_test,hold_8h,validation_ext,1397,-10781.338390535688,-13575.338390535686,104.35826004554721,-13470.980130490141,-0.007717493479266777,0.36649964209019326
