group,event_group,hold,split,symbol,trade_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate
A,top10_score_events,hold_1d,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,93,709.7060413294164,523.7060413294164,-0.3136726529023003,523.392368676514,0.007631247756230284,0.5698924731182796
A,top10_score_events,hold_1d,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,55,895.5148692304423,785.5148692304423,-9.947571519995304,775.5672977104471,0.01628208853146259,0.5818181818181818
A,top10_score_events,hold_1d,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,80,773.257363009471,613.2573630094709,-13.722242109203199,599.5351209002677,0.009665717037618387,0.5875
A,top10_score_events,hold_1d,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,56,677.5212949416477,565.5212949416477,-9.462513388948,556.0587815526997,0.012098594552529424,0.6607142857142857
A,top10_score_events,hold_1d,oos_ext,SOLUSDT_SWAP_OKX.GLOBAL,55,382.0559613385709,272.0559613385709,-13.0574314768166,258.99852986175443,0.006946472024337655,0.6363636363636364
A,top10_score_events,hold_1d,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,316,3719.83136418044,3087.83136418044,-53.95417415206061,3033.8771900283796,0.011771618241077341,0.5284810126582279
A,top10_score_events,hold_1d,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,147,269.3821744799337,-24.61782552006622,-25.7616213284679,-50.379446848534144,0.0018325317991832227,0.4897959183673469
A,top10_score_events,hold_1d,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,297,2591.2121076451426,1997.2121076451426,-60.95051365499209,1936.2615939901507,0.008724619891061087,0.5488215488215489
A,top10_score_events,hold_1d,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,132,1849.4424307400222,1585.4424307400222,-19.819165187194898,1565.6232655528277,0.014010927505606228,0.6212121212121212
A,top10_score_events,hold_1d,train_ext,SOLUSDT_SWAP_OKX.GLOBAL,194,5631.11291701516,5243.11291701516,-37.195886325596696,5205.917030689563,0.02902635524234619,0.6082474226804123
A,top10_score_events,hold_1d,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,200,966.0978082800798,566.0978082800799,-27.851085794928,538.2467224851518,0.004830489041400399,0.49
A,top10_score_events,hold_1d,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,123,2620.744811496995,2374.744811496995,-26.516265896005503,2348.228545600989,0.021306868386154428,0.6260162601626016
A,top10_score_events,hold_1d,validation_ext,ETHUSDT_SWAP_OKX.GLOBAL,137,1803.4069523694811,1529.4069523694811,-24.008007221059806,1505.3989451484217,0.013163554396857529,0.6277372262773723
A,top10_score_events,hold_1d,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,84,1412.4267782636166,1244.4267782636166,-15.0871162663091,1229.3396619973078,0.016814604503138292,0.7142857142857143
A,top10_score_events,hold_1d,validation_ext,SOLUSDT_SWAP_OKX.GLOBAL,135,1368.7199726097192,1098.7199726097192,-15.276217392400198,1083.443755217319,0.010138666463775696,0.4888888888888889
A,top10_score_events,hold_3d,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,93,730.6292763324434,544.6292763324434,1.4159787105759996,546.0452550430194,0.007856228777768209,0.5591397849462365
A,top10_score_events,hold_3d,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,55,12.069965955053917,-97.93003404494607,-20.2309546131456,-118.16098865809174,0.0002194539264555262,0.45454545454545453
A,top10_score_events,hold_3d,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,80,737.9242452756077,577.9242452756076,-32.6301217008687,545.2941235747389,0.009224053065945096,0.5875
A,top10_score_events,hold_3d,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,56,658.1172255985832,546.1172255985832,-21.8052365845451,524.3119890140381,0.011752093314260414,0.5
A,top10_score_events,hold_3d,oos_ext,SOLUSDT_SWAP_OKX.GLOBAL,55,7.335258194157497,-102.66474180584248,-19.271685413520395,-121.93642721936283,0.00013336833080286327,0.38181818181818183
A,top10_score_events,hold_3d,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,316,7842.456298578722,7210.4562985787215,-159.74654411326,7050.7097544654625,0.024817899679046587,0.6708860759493671
A,top10_score_events,hold_3d,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,147,2167.2404073048974,1873.2404073048979,-78.58613538371671,1794.6542719211811,0.014743132022482298,0.54421768707483
A,top10_score_events,hold_3d,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,297,6583.492440151673,5989.492440151673,-180.74445089273598,5808.747989258936,0.022166641212631892,0.6363636363636364
A,top10_score_events,hold_3d,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,132,5007.440239759429,4743.440239759429,-50.6122132310985,4692.82802652833,0.03793515333151082,0.696969696969697
A,top10_score_events,hold_3d,train_ext,SOLUSDT_SWAP_OKX.GLOBAL,194,9896.647734313105,9508.647734313105,-115.5665228844574,9393.081211428645,0.051013648115016,0.6855670103092784
A,top10_score_events,hold_3d,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,200,380.5903444713315,-19.409655528668395,-63.4474558024763,-82.85711133114467,0.0019029517223566577,0.53
A,top10_score_events,hold_3d,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,123,3583.4322136530463,3337.4322136530463,-63.582923529865504,3273.849290123181,0.029133595232951597,0.6422764227642277
A,top10_score_events,hold_3d,validation_ext,ETHUSDT_SWAP_OKX.GLOBAL,137,1611.8392397384284,1337.8392397384284,-70.20865136274949,1267.630588375679,0.011765249925098017,0.5912408759124088
A,top10_score_events,hold_3d,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,84,577.9946377626584,409.9946377626587,-38.38366325746961,371.610974505189,0.006880888544793555,0.5476190476190477
A,top10_score_events,hold_3d,validation_ext,SOLUSDT_SWAP_OKX.GLOBAL,135,2278.0857904389213,2008.085790438921,-35.7730695509392,1972.3127208879816,0.01687470955880682,0.562962962962963
A,top10_score_events,hold_4h,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,93,473.04822819013543,287.0482281901354,-0.45890061887580025,286.58932757125973,0.0050865400880659726,0.5376344086021505
A,top10_score_events,hold_4h,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,55,468.48903603639997,358.48903603639997,-4.2430030854166985,354.24603295098325,0.008517982473389089,0.5272727272727272
A,top10_score_events,hold_4h,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,80,858.7319642714449,698.7319642714449,-5.8627373060354,692.8692269654093,0.01073414955339306,0.525
A,top10_score_events,hold_4h,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,56,292.3769133838697,180.37691338386972,-3.1577716579395,177.2191417259302,0.005221016310426245,0.5357142857142857
A,top10_score_events,hold_4h,oos_ext,SOLUSDT_SWAP_OKX.GLOBAL,55,46.28750793251382,-63.71249206748619,-5.3364534780457,-69.0489455455319,0.0008415910533184326,0.5454545454545454
A,top10_score_events,hold_4h,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,316,845.3666885043297,213.36668850432966,-15.999994022201397,197.36669448212825,0.0026752110395706634,0.43037974683544306
A,top10_score_events,hold_4h,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,147,302.1720406368037,8.1720406368037,-3.3608120805496995,4.81122855625398,0.0020555921131755355,0.3469387755102041
A,top10_score_events,hold_4h,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,297,994.897303154857,400.89730315485696,-26.8960655308546,374.00123762400244,0.003349822569544973,0.43097643097643096
A,top10_score_events,hold_4h,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,132,688.3613707128982,424.36137071289824,-2.9352907206539998,421.42607999224424,0.005214858869037108,0.5151515151515151
A,top10_score_events,hold_4h,train_ext,SOLUSDT_SWAP_OKX.GLOBAL,194,1705.2652047219012,1317.2652047219012,-6.571953078313101,1310.693251643588,0.008790026828463407,0.5567010309278351
