group,event_group,hold,split,positive_early_trend_rate,random_early_trend_rate,positive_no_cost_pnl,random_no_cost_pnl,positive_funding_adjusted_pnl,random_funding_adjusted_pnl,random_weaker
A,top10_score_events,hold_4h,oos_ext,0.12684365781710916,0.1723684210526316,2138.933649814364,523.0180096369497,1441.8747836680507,-1014.0373891769572,False
A,top10_score_events,hold_8h,oos_ext,0.12684365781710916,0.1723684210526316,3081.5516801056215,981.5844680153052,2377.870426028804,-560.8756846870119,False
A,top10_score_events,hold_1d,oos_ext,0.12684365781710916,0.1723684210526316,3438.0555298495483,2575.2799304366754,2713.552098701683,1009.5457993194484,False
A,top10_score_events,hold_3d,oos_ext,0.12684365781710916,0.1723684210526316,2146.0759713558455,3495.9515249455894,1375.5539517543425,1865.4162871799942,False
A,top10_score_events,hold_4h,train_ext,0.1712707182320442,0.24274527867342238,4536.06260773079,2518.985665446782,2308.298492298217,-1919.4274785715306,False
A,top10_score_events,hold_8h,train_ext,0.1712707182320442,0.24274527867342238,7384.371395519367,4157.365607566257,5133.152729550609,-301.9951691390836,False
A,top10_score_events,hold_1d,train_ext,0.1712707182320442,0.24274527867342238,14060.9809940607,9657.348130595332,11691.299633412387,5097.298705120221,False
A,top10_score_events,hold_3d,train_ext,0.1712707182320442,0.24274527867342238,31497.27712010782,19044.444305556783,28740.021253602557,14013.354472640458,False
A,top10_score_events,hold_4h,validation_ext,0.13549337260677466,0.23908375089477452,3561.7090813156483,3247.272703957119,2173.4535886667554,393.84529548679825,False
A,top10_score_events,hold_8h,validation_ext,0.13549337260677466,0.23908375089477452,5403.186115528913,5257.877975277504,4000.0022259336065,2383.4045211195203,False
A,top10_score_events,hold_1d,validation_ext,0.13549337260677466,0.23908375089477452,8171.3963230198915,7370.651165810629,6704.657630449189,4426.887593606543,False
A,top10_score_events,hold_3d,validation_ext,0.13549337260677466,0.23908375089477452,8431.942226064386,7149.764571161661,6802.546462560887,4011.489664303238,False
B,top20_score_events,hold_4h,oos_ext,0.13157894736842105,0.1723684210526316,3049.6347388631343,523.0180096369497,1481.6699256406969,-1014.0373891769572,False
B,top20_score_events,hold_8h,oos_ext,0.13157894736842105,0.1723684210526316,4377.851647443387,981.5844680153052,2796.5869425030105,-560.8756846870119,False
B,top20_score_events,hold_1d,oos_ext,0.13157894736842105,0.1723684210526316,7265.627644124659,2575.2799304366754,5638.910365833051,1009.5457993194484,False
B,top20_score_events,hold_3d,oos_ext,0.13157894736842105,0.1723684210526316,8332.600889665096,3495.9515249455894,6596.943253749532,1865.4162871799942,False
B,top20_score_events,hold_4h,train_ext,0.16397973284200829,0.24274527867342238,8779.936453512226,2518.985665446782,4315.744967946275,-1919.4274785715306,False
B,top20_score_events,hold_8h,train_ext,0.16397973284200829,0.24274527867342238,13464.816786688056,4157.365607566257,8952.417899022863,-301.9951691390836,False
B,top20_score_events,hold_1d,train_ext,0.16397973284200829,0.24274527867342238,24022.67577244225,9657.348130595332,19294.17989347918,5097.298705120221,False
B,top20_score_events,hold_3d,train_ext,0.16397973284200829,0.24274527867342238,53831.44296015806,19044.444305556783,48344.37216080918,14013.354472640458,False
B,top20_score_events,hold_4h,validation_ext,0.16678596993557623,0.23908375089477452,6657.903358707872,3247.272703957119,3794.3435107605233,393.84529548679825,False
B,top20_score_events,hold_8h,validation_ext,0.16678596993557623,0.23908375089477452,10781.338390535688,5257.877975277504,7882.980130490139,2383.4045211195203,False
B,top20_score_events,hold_1d,validation_ext,0.16678596993557623,0.23908375089477452,15736.928232970204,7370.651165810629,12707.55651000349,4426.887593606543,False
B,top20_score_events,hold_3d,validation_ext,0.16678596993557623,0.23908375089477452,17982.362683046747,7149.764571161661,14608.270440948596,4011.489664303238,False
C,top30_score_events,hold_4h,oos_ext,0.13764510779436154,0.1723684210526316,3941.696492449706,523.0180096369497,1461.4581204270537,-1014.0373891769572,False
C,top30_score_events,hold_8h,oos_ext,0.13764510779436154,0.1723684210526316,6103.003578214013,981.5844680153052,3601.373723333011,-560.8756846870119,False
C,top30_score_events,hold_1d,oos_ext,0.13764510779436154,0.1723684210526316,9986.333649061327,2575.2799304366754,7407.59831797765,1009.5457993194484,False
C,top30_score_events,hold_3d,oos_ext,0.13764510779436154,0.1723684210526316,13625.19886755669,3495.9515249455894,10885.347741749245,1865.4162871799942,False
C,top30_score_events,hold_4h,train_ext,0.17536855036855037,0.24274527867342238,11943.909232619262,2518.985665446782,5255.604839420384,-1919.4274785715306,False
C,top30_score_events,hold_8h,train_ext,0.17536855036855037,0.24274527867342238,18045.11358882125,4157.365607566257,11289.31916651444,-301.9951691390836,False
C,top30_score_events,hold_1d,train_ext,0.17536855036855037,0.24274527867342238,34589.338943728646,9657.348130595332,27537.729722824395,5097.298705120221,False
C,top30_score_events,hold_3d,train_ext,0.17536855036855037,0.24274527867342238,73587.54581529969,19044.444305556783,65423.022998444125,14013.354472640458,False
C,top30_score_events,hold_4h,validation_ext,0.17424242424242425,0.23908375089477452,8857.83611490993,3247.272703957119,4523.193478428381,393.84529548679825,False
C,top30_score_events,hold_8h,validation_ext,0.17424242424242425,0.23908375089477452,14668.392218939982,5257.877975277504,10287.000338950624,2383.4045211195203,False
C,top30_score_events,hold_1d,validation_ext,0.17424242424242425,0.23908375089477452,24590.79915357016,7370.651165810629,20022.774404205033,4426.887593606543,False
C,top30_score_events,hold_3d,validation_ext,0.17424242424242425,0.23908375089477452,23383.466244254643,7149.764571161661,18316.480602994117,4011.489664303238,False
