group,event_group,hold,passed,rejected_reasons
A,top10_score_events,hold_4h,False,train_ext_early_trend_rate_not_above_random_1.2;validation_ext_early_trend_rate_not_above_random_1.1;oos_ext_early_trend_rate_not_above_random_1.1;random_control_not_weaker;concentration_failed
A,top10_score_events,hold_8h,False,train_ext_early_trend_rate_not_above_random_1.2;validation_ext_early_trend_rate_not_above_random_1.1;oos_ext_early_trend_rate_not_above_random_1.1;random_control_not_weaker;concentration_failed
A,top10_score_events,hold_1d,False,train_ext_early_trend_rate_not_above_random_1.2;validation_ext_early_trend_rate_not_above_random_1.1;oos_ext_early_trend_rate_not_above_random_1.1;random_control_not_weaker
A,top10_score_events,hold_3d,False,train_ext_early_trend_rate_not_above_random_1.2;validation_ext_early_trend_rate_not_above_random_1.1;oos_ext_early_trend_rate_not_above_random_1.1;random_control_not_weaker;concentration_failed
B,top20_score_events,hold_4h,False,train_ext_early_trend_rate_not_above_random_1.2;validation_ext_early_trend_rate_not_above_random_1.1;oos_ext_early_trend_rate_not_above_random_1.1;random_control_not_weaker;concentration_failed
B,top20_score_events,hold_8h,False,train_ext_early_trend_rate_not_above_random_1.2;validation_ext_early_trend_rate_not_above_random_1.1;oos_ext_early_trend_rate_not_above_random_1.1;random_control_not_weaker;concentration_failed
B,top20_score_events,hold_1d,False,train_ext_early_trend_rate_not_above_random_1.2;validation_ext_early_trend_rate_not_above_random_1.1;oos_ext_early_trend_rate_not_above_random_1.1;random_control_not_weaker;concentration_failed
B,top20_score_events,hold_3d,False,train_ext_early_trend_rate_not_above_random_1.2;validation_ext_early_trend_rate_not_above_random_1.1;oos_ext_early_trend_rate_not_above_random_1.1;random_control_not_weaker;concentration_failed
C,top30_score_events,hold_4h,False,train_ext_early_trend_rate_not_above_random_1.2;validation_ext_early_trend_rate_not_above_random_1.1;oos_ext_early_trend_rate_not_above_random_1.1;random_control_not_weaker;concentration_failed
C,top30_score_events,hold_8h,False,train_ext_early_trend_rate_not_above_random_1.2;validation_ext_early_trend_rate_not_above_random_1.1;oos_ext_early_trend_rate_not_above_random_1.1;random_control_not_weaker;concentration_failed
C,top30_score_events,hold_1d,False,train_ext_early_trend_rate_not_above_random_1.2;validation_ext_early_trend_rate_not_above_random_1.1;oos_ext_early_trend_rate_not_above_random_1.1;random_control_not_weaker;concentration_failed
C,top30_score_events,hold_3d,False,train_ext_early_trend_rate_not_above_random_1.2;validation_ext_early_trend_rate_not_above_random_1.1;oos_ext_early_trend_rate_not_above_random_1.1;random_control_not_weaker;concentration_failed
