group,event_group,hold,split,symbol,trade_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate
A,top10_score_events,hold_1d,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,145,1102.889041101917,812.8890411019171,11.551881863784,824.4409229657012,0.007606131317944256,0.5103448275862069
A,top10_score_events,hold_1d,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,216,-1995.8496696176608,-2427.8496696176608,13.1947654037125,-2414.6549042139486,-0.009240044766748431,0.44907407407407407
A,top10_score_events,hold_1d,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,104,205.73435018997827,-2.2656498100217277,1.1317936381361,-1.1338561718855544,0.0019782149056728694,0.47115384615384615
A,top10_score_events,hold_1d,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,169,1902.9485098937216,1564.9485098937214,-0.8456768908644002,1564.1028330028569,0.011260050354400718,0.5325443786982249
A,top10_score_events,hold_1d,oos_ext,SOLUSDT_SWAP_OKX.GLOBAL,126,-344.57936432922793,-596.5793643292282,-7.741047828864399,-604.3204121580926,-0.0027347568597557784,0.42857142857142855
A,top10_score_events,hold_1d,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,219,337.74072517536183,-100.2592748246382,34.003913652706906,-66.25536117193123,0.0015421950921249397,0.4246575342465753
A,top10_score_events,hold_1d,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,187,94.40283937719653,-279.5971606228035,-0.22094483401740117,-279.81810545682106,0.0005048280180598744,0.4385026737967914
A,top10_score_events,hold_1d,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,219,843.25681511729,405.25681511729,14.139722645386897,419.396537762677,0.003850487740261598,0.5159817351598174
A,top10_score_events,hold_1d,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,197,642.9705390946833,248.97053909468343,15.963682132914801,264.9342212275982,0.0032638098431202202,0.5177664974619289
A,top10_score_events,hold_1d,train_ext,SOLUSDT_SWAP_OKX.GLOBAL,264,-3504.147620994621,-4032.147620994621,24.347385026692905,-4007.8002359679285,-0.013273286443161445,0.42045454545454547
A,top10_score_events,hold_1d,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,158,-1021.6339171587019,-1337.633917158702,5.9032927507722,-1331.7306244079296,-0.006466037450371531,0.4050632911392405
A,top10_score_events,hold_1d,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,178,147.6287260615145,-208.3712739384855,16.5297785975495,-191.8414953409365,0.0008293748655141279,0.5056179775280899
A,top10_score_events,hold_1d,validation_ext,ETHUSDT_SWAP_OKX.GLOBAL,157,-724.2283209716644,-1038.2283209716643,-0.8154835550855999,-1039.0438045267501,-0.004612919241857734,0.4267515923566879
A,top10_score_events,hold_1d,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,134,-322.3056170182499,-590.3056170182497,-2.3055162812981993,-592.6111332995478,-0.0024052657986436544,0.4626865671641791
