group,event_group,hold,split,timeframe,trade_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate
A,top10_score_events,hold_1d,oos_ext,1d,134,-415.2829255185254,-683.2829255185254,9.8460933141256,-673.4368322044002,-0.0030991263098397418,0.4626865671641791
A,top10_score_events,hold_1d,oos_ext,4h,626,1286.425792757254,34.425792757253475,7.4456228717782,41.87141562903173,0.0020549932791649418,0.48242811501597443
A,top10_score_events,hold_1d,train_ext,1d,125,423.6115857199029,173.61158571990285,14.5963927865229,188.20797850642586,0.003388892685759223,0.464
A,top10_score_events,hold_1d,train_ext,4h,961,-2009.3882879499915,-3931.3882879499915,73.6373658371612,-3857.7509221128316,-0.00209093474292403,0.46097814776274715
A,top10_score_events,hold_1d,validation_ext,1d,74,774.0136824637607,626.0136824637607,-9.768212564428298,616.2454698993322,0.010459644357618387,0.5675675675675675
A,top10_score_events,hold_1d,validation_ext,4h,725,-3448.8327789899604,-4898.832778989961,5.995698388476303,-4892.837080601485,-0.0047570107296413255,0.4482758620689655
A,top10_score_events,hold_3d,oos_ext,1d,134,760.506088966026,492.5060889660259,23.3046121423221,515.8107011083481,0.0056754185743733265,0.5149253731343284
A,top10_score_events,hold_3d,oos_ext,4h,626,2079.1402260812356,827.1402260812354,20.5028109855347,847.6430370667688,0.003321310265305487,0.5431309904153354
A,top10_score_events,hold_3d,train_ext,1d,125,-595.9986461011738,-845.9986461011738,46.3724091518949,-799.6262369492791,-0.004767989168809391,0.48
A,top10_score_events,hold_3d,train_ext,4h,961,-4939.961632440485,-6861.961632440484,207.87818144498004,-6654.083450995506,-0.005140438743434427,0.5078043704474505
A,top10_score_events,hold_3d,validation_ext,1d,74,1036.4661184634067,888.4661184634069,-26.381220846008997,862.0848976173978,0.014006298898154145,0.5540540540540541
A,top10_score_events,hold_3d,validation_ext,4h,725,-5546.61176650365,-6996.61176650365,31.5520290517074,-6965.059737451943,-0.007650498988280896,0.44413793103448274
A,top10_score_events,hold_4h,oos_ext,1d,134,-415.2829255185254,-683.2829255185254,9.8460933141256,-673.4368322044002,-0.0030991263098397418,0.4626865671641791
