group,event_group,hold,split,trade_count,total_funding_adjusted_pnl,largest_symbol_pnl_share,largest_symbol_pnl_symbol,largest_symbol_event_share,largest_symbol_event_symbol,top_5pct_trade_pnl_contribution,top_5pct_trade_pnl,top_5pct_trade_count,concentration_pass
A,top10_score_events,hold_1d,oos_ext,760,-631.5654165753687,0.654835327631924,LINKUSDT_SWAP_OKX.GLOBAL,0.28421052631578947,DOGEUSDT_SWAP_OKX.GLOBAL,,4039.0779000404555,38,True
A,top10_score_events,hold_1d,train_ext,1086,-3669.5429436064055,0.6128564765691569,ETHUSDT_SWAP_OKX.GLOBAL,0.2430939226519337,SOLUSDT_SWAP_OKX.GLOBAL,,6318.096183713796,55,True
A,top10_score_events,hold_1d,validation_ext,799,-4276.591610702151,0.31139999925999,BTCUSDT_SWAP_OKX.GLOBAL,0.2227784730913642,DOGEUSDT_SWAP_OKX.GLOBAL,,4109.874904984928,40,True
A,top10_score_events,hold_3d,oos_ext,760,1363.4537381751181,0.5989638479475439,LINKUSDT_SWAP_OKX.GLOBAL,0.28421052631578947,DOGEUSDT_SWAP_OKX.GLOBAL,4.798881897300853,6543.05346193575,38,False
A,top10_score_events,hold_3d,train_ext,1086,-7453.709687944785,0.6095213720074328,ETHUSDT_SWAP_OKX.GLOBAL,0.2430939226519337,SOLUSDT_SWAP_OKX.GLOBAL,,7511.1619895966805,55,True
A,top10_score_events,hold_3d,validation_ext,799,-6102.9748398345455,1.0,LINKUSDT_SWAP_OKX.GLOBAL,0.2227784730913642,DOGEUSDT_SWAP_OKX.GLOBAL,,6294.331742891816,40,False
A,top10_score_events,hold_4h,oos_ext,760,-1793.0450468415918,0.32426069211607206,SOLUSDT_SWAP_OKX.GLOBAL,0.28421052631578947,DOGEUSDT_SWAP_OKX.GLOBAL,,2525.978681353714,38,True
A,top10_score_events,hold_4h,train_ext,1086,-1854.5734041364262,0.5568156273252135,LINKUSDT_SWAP_OKX.GLOBAL,0.2430939226519337,SOLUSDT_SWAP_OKX.GLOBAL,,3514.5683632262644,55,True
A,top10_score_events,hold_4h,validation_ext,799,-2693.4204061852915,1.0,LINKUSDT_SWAP_OKX.GLOBAL,0.2227784730913642,DOGEUSDT_SWAP_OKX.GLOBAL,,2480.3712984478693,40,False
A,top10_score_events,hold_8h,oos_ext,760,-1211.8178441820928,0.9576889911689415,BTCUSDT_SWAP_OKX.GLOBAL,0.28421052631578947,DOGEUSDT_SWAP_OKX.GLOBAL,,2981.8987407471673,38,False
A,top10_score_events,hold_8h,train_ext,1086,-1367.5766413065921,0.5373622603187499,DOGEUSDT_SWAP_OKX.GLOBAL,0.2430939226519337,SOLUSDT_SWAP_OKX.GLOBAL,,4440.606591041414,55,True
A,top10_score_events,hold_8h,validation_ext,799,-3356.8431073865568,1.0,DOGEUSDT_SWAP_OKX.GLOBAL,0.2227784730913642,DOGEUSDT_SWAP_OKX.GLOBAL,,2808.5501619617,40,False
