group,event_group,hold,split,event_count,trade_count,early_trend_rate,early_uptrend_rate,early_downtrend_rate,nontrend_rate,direction_match_rate,future_2atr_hit_rate,future_3atr_hit_rate,avg_forward_return_3d,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl
A,top10_score_events,hold_4h,oos_ext,760,760,0.2855263157894737,0.08552631578947369,0.2,0.019736842105263157,0.576036866359447,0.3473684210526316,0.18289473684210528,0.0037350837904659884,-285.5151923111831,-1805.5151923111835,12.4701454695919,-1793.0450468415918
A,top10_score_events,hold_8h,oos_ext,760,760,0.2855263157894737,0.08552631578947369,0.2,0.019736842105263157,0.576036866359447,0.3473684210526316,0.18289473684210528,0.0037350837904659884,293.6378193913546,-1226.3621806086458,14.544336426553299,-1211.8178441820928
A,top10_score_events,hold_1d,oos_ext,760,760,0.2855263157894737,0.08552631578947369,0.2,0.019736842105263157,0.576036866359447,0.3473684210526316,0.18289473684210528,0.0037350837904659884,871.1428672387278,-648.8571327612722,17.291716185903798,-631.5654165753687
A,top10_score_events,hold_3d,oos_ext,760,760,0.2855263157894737,0.08552631578947369,0.2,0.019736842105263157,0.576036866359447,0.3473684210526316,0.18289473684210528,0.0037350837904659884,2839.646315047261,1319.6463150472616,43.80742312785681,1363.4537381751181
A,top10_score_events,hold_4h,train_ext,1086,1086,0.2532228360957643,0.06721915285451197,0.1860036832412523,0.006445672191528545,0.48363636363636364,0.3342541436464088,0.19613259668508287,-0.005120468197898108,288.05899049423067,-1883.9410095057694,29.3676053693433,-1854.5734041364262
A,top10_score_events,hold_8h,train_ext,1086,1086,0.2532228360957643,0.06721915285451197,0.1860036832412523,0.006445672191528545,0.48363636363636364,0.3342541436464088,0.19613259668508287,-0.005120468197898108,762.5404259957527,-1409.4595740042478,41.8829326976555,-1367.5766413065921
A,top10_score_events,hold_1d,train_ext,1086,1086,0.2532228360957643,0.06721915285451197,0.1860036832412523,0.006445672191528545,0.48363636363636364,0.3342541436464088,0.19613259668508287,-0.005120468197898108,-1585.776702230089,-3757.7767022300895,88.23375862368411,-3669.5429436064055
A,top10_score_events,hold_3d,train_ext,1086,1086,0.2532228360957643,0.06721915285451197,0.1860036832412523,0.006445672191528545,0.48363636363636364,0.3342541436464088,0.19613259668508287,-0.005120468197898108,-5535.960278541658,-7707.960278541659,254.2505905968749,-7453.709687944785
A,top10_score_events,hold_4h,validation_ext,799,799,0.3867334167709637,0.17897371714643304,0.20775969962453067,0.03629536921151439,0.47572815533980584,0.30663329161451813,0.18397997496871088,-0.0056694201692954185,-1086.7291232204598,-2684.7291232204598,-8.691282964831402,-2693.4204061852915
A,top10_score_events,hold_8h,validation_ext,799,799,0.3867334167709637,0.17897371714643304,0.20775969962453067,0.03629536921151439,0.47572815533980584,0.30663329161451813,0.18397997496871088,-0.0056694201692954185,-1750.0183818463859,-3348.0183818463856,-8.824725540171503,-3356.8431073865568
A,top10_score_events,hold_1d,validation_ext,799,799,0.3867334167709637,0.17897371714643304,0.20775969962453067,0.03629536921151439,0.47572815533980584,0.30663329161451813,0.18397997496871088,-0.0056694201692954185,-2674.8190965262,-4272.8190965262,-3.7725141759520007,-4276.591610702151
A,top10_score_events,hold_3d,validation_ext,799,799,0.3867334167709637,0.17897371714643304,0.20775969962453067,0.03629536921151439,0.47572815533980584,0.30663329161451813,0.18397997496871088,-0.0056694201692954185,-4510.145648040244,-6108.145648040243,5.170808205698403,-6102.9748398345455
B,top20_score_events,hold_4h,oos_ext,1461,1461,0.2587268993839836,0.08281998631074607,0.1759069130732375,0.018480492813141684,0.5423280423280423,0.34428473648186175,0.19575633127994524,0.006251234601127414,630.8769529207475,-2291.1230470792525,-8.105087742897199,-2299.2281348221495
B,top20_score_events,hold_8h,oos_ext,1461,1461,0.2587268993839836,0.08281998631074607,0.1759069130732375,0.018480492813141684,0.5423280423280423,0.34428473648186175,0.19575633127994524,0.006251234601127414,1192.8478122234546,-1729.1521877765456,-7.104532605297699,-1736.2567203818428
B,top20_score_events,hold_1d,oos_ext,1461,1461,0.2587268993839836,0.08281998631074607,0.1759069130732375,0.018480492813141684,0.5423280423280423,0.34428473648186175,0.19575633127994524,0.006251234601127414,3982.4361125156247,1060.4361125156254,-18.612442280539504,1041.8236702350855
B,top20_score_events,hold_3d,oos_ext,1461,1461,0.2587268993839836,0.08281998631074607,0.1759069130732375,0.018480492813141684,0.5423280423280423,0.34428473648186175,0.19575633127994524,0.006251234601127414,9125.574079848435,6203.574079848434,-43.00299851386999,6160.571081334567
