feature,feature_predictiveness_score,monotonicity_score,train_validation_consistency,oos_consistency,train_lift_q80_minus_q0,validation_lift_q80_minus_q0,oos_lift_q80_minus_q0
market_return_breadth_55,0.16538177309050828,0.8006709454785643,False,False,,,
distance_from_60d_high,0.1319047619047619,0.6081846665056154,True,False,-0.1319047619047619,-0.034100496902367355,0.014501288185498729
drawdown_from_60d_high,0.1319047619047619,0.6081846665056154,True,False,-0.1319047619047619,-0.034100496902367355,0.014501288185498729
symbols_above_rolling_midline_55,0.12871623931851758,0.8602933574973325,False,False,,,
trend_efficiency_change_20,0.12216981132075475,0.9381971125988142,True,True,-0.12216981132075475,-0.15473761324083118,-0.11961759276005447
distance_from_20d_high,0.11358368103847935,0.7799424516849419,True,True,-0.07464070468242928,-0.10194012754856971,-0.13748800049751211
efficiency_to_volatility_ratio_20,0.10787508459610073,0.9440956776048286,True,True,-0.10787508459610073,-0.1328969207495708,-0.13629795869557204
rebound_from_recent_low_60,0.10436594818793771,0.08668903077681583,False,False,-0.04571428571428571,0.005871114407010436,0.07770952573888396
atr_percentile_200,0.10425363602769155,0.9537391893769229,True,True,0.10425363602769155,0.2522050993385113,0.16914465241824855
directional_efficiency_ratio_55,0.1037601142313184,0.3717315299619379,True,True,-0.07758210376011423,-0.0775057532371062,-0.013911001208179508
price_position_in_60d_range,0.09904761904761908,0.9270868474565757,True,False,-0.09904761904761908,-0.06316705752847707,0.022850843986062935
trend_efficiency_20,0.09803565441232726,0.9099548883880262,True,True,-0.09803565441232726,-0.09179926262522953,-0.10641547562401235
negative_funding_symbol_count,0.09323062530854237,0.9393128346695155,True,True,0.09323062530854237,0.061550118280336935,0.051345844504021465
funding_change_30d,0.09293381093257813,0.9475888386846865,False,False,-0.09293381093257813,0.006240660982684387,0.16766064164908093
positive_funding_symbol_count,0.09241868974030282,0.9737747371006888,False,False,,,
atr_percentile_100,0.08874620992754892,0.9696860259127579,True,True,0.08874620992754892,0.17796627138458598,0.10059861206759549
range_width_percentile_100,0.08417257136230816,0.5598185815050418,True,True,0.03520556550353543,0.1135384688608077,0.07785593772596208
symbols_above_rolling_midline_20,0.08229970350713386,0.7122116789981654,False,False,,,
volume_stability_20,0.08223922430118932,0.8638620837517067,False,True,-0.058954083011687364,0.027533928296097354,-0.011838422391857506
trend_efficiency_100,0.0818627450980392,0.3222283937642142,False,False,-0.03725490196078429,0.07630538856526364,0.02048142428083005
funding_percentile_100,0.07836255612451562,0.8811720731526438,True,True,-0.07836255612451562,-0.03745857129407559,-0.02355094607148095
efficiency_to_volatility_ratio_55,0.07567824845311755,0.692128304328181,True,True,-0.07033169380173729,-0.09583186283159814,-0.04523130734769171
funding_percentile_200,0.07250727181829544,0.9542927763488427,True,True,-0.06857868857291294,-0.02651051675881841,-0.0034078694981940216
extreme_funding_count,0.07228981645378466,0.9428565030261089,False,True,-0.07228981645378466,0.01826485918785542,-0.055031712518277404
breadth_change_1d,0.06960968597965503,0.49774719536891976,True,False,0.046908089111417306,0.048798371420101766,-0.07145427516130515
funding_change_7d,0.06811640285927842,0.9976905899172764,True,False,-0.06811640285927842,-0.038609047290466464,0.05267487930026632
volume_ratio_slope_5,0.06757043868755885,0.4854336465380985,True,False,-0.03071023771300363,-0.06129553767990842,0.006168807783976327
funding_rate,0.06639194139194138,0.8986705067716264,True,True,-0.06535213451689426,-0.062260085047695646,-0.007190160832544923
directional_efficiency_ratio_20,0.0661966113033389,0.051294250150345146,False,False,0.0010197025510111368,-0.019280853584136753,-0.04752679365706944
volatility_expansion_rate_20,0.06364922206506363,0.9171982189686653,True,False,0.05987741631305987,0.09940748329811527,-0.02187658216670002
market_return_breadth_20,0.06162384535090373,0.8254359020520545,False,False,,,
trend_efficiency_55,0.0574793118767693,0.5704179233477621,True,False,-0.04093288910042839,-0.018398441811856625,0.018232248520710037
realized_vol_percentile_100,0.05542033951679837,0.8861680834284159,True,True,0.04529044783282071,0.23465091820540593,0.10872473284969039
rebound_from_recent_low_20,0.0550767531693421,0.43124401368158766,True,True,0.04914232730644416,0.12393542891016654,0.08361495135688685
funding_dispersion,0.05329905399101478,0.5500963664932463,True,False,0.04768819180613382,0.004307185148235693,-0.05130764765019896
funding_sign,0.053116484475937836,,False,False,,,
trend_efficiency_rank_20,0.045562548440692685,0.9647390599729658,True,True,-0.045562548440692685,-0.08731352754847888,-0.03253731343283581
trend_efficiency_change_55,0.044105607661599794,0.314186262021419,False,True,-0.03388998035363458,0.062326202530575664,-0.0011346521756828154
return_rank_55,0.04382838074742651,0.7422192304504868,False,False,,,
positive_return_symbol_count_1d,0.042790824314205944,0.9924773929111427,False,False,,,
rank_change_20,0.0389066437168637,0.501872461713909,True,True,-0.02607989180140982,-0.05187257260221856,-0.014644586491792289
breadth_acceleration,0.035529341467122,0.7144924021605955,True,False,0.019629245666379996,0.014995723775167003,-0.05037643739153236
breadth_change_3d,0.03416565679149611,0.6441653646196371,True,False,0.030896377012215315,0.08811701188009793,-0.037802492392406906
vol_adjusted_return_rank_55,0.03395844218713573,0.6506528341725185,False,False,,,
return_rank_20,0.031136555009142863,0.27848834201028444,False,False,,,
volume_ratio_median_5,0.030151749173189524,0.2039097536558167,False,False,0.0,-0.06649903655891679,0.021169287215327653
volume_ratio_20,0.030148490528269595,0.7562170195139314,True,True,-0.02316525030480593,-0.10017028123869101,-0.007806685625200732
rank_change_5,0.029310142721802962,0.35928666991548786,False,False,0.01446949077628118,-0.014092046362576494,-0.021497037259392976
trend_efficiency_rank_55,0.028912068487584625,0.4552392022492696,False,False,,,
rank_persistence_20,0.027245414376216054,0.5362853622479856,True,True,0.016453851179942164,0.035668301834028526,0.08585768628897852
vol_adjusted_return_rank_20,0.027058955600271217,0.4163885884319113,False,False,,,
return_rank_100,0.02439818519524567,0.4727341093947905,False,False,,,
volume_without_price_exhaustion_score,0.018207282913165285,0.26791920262189584,False,True,0.00046685340802987696,-0.03129599068825589,0.049739380822551
positive_return_symbol_count_4h,0.016790175648252387,0.9200089729115878,False,False,,,
