variant,split,symbol,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl
A,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,23,-67.34732222755369,-113.34732222755369,-106.78272414547237
A,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,-124.01103652187713,-176.01103652187714,-188.66862329955936
A,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,23,244.84853895014908,198.84853895014908,191.59757545851397
A,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,27,261.19146900072104,207.19146900072104,205.52119053027005
A,oos_ext,SOLUSDT_SWAP_OKX.GLOBAL,19,-136.56815823511567,-174.56815823511567,-193.34219121180902
A,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,34,549.0215328556969,481.0215328556969,471.8694597304829
A,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,-236.98090967457506,-314.98090967457506,-336.1804005911425
A,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,37,269.7598193633011,195.75981936330112,190.62710007645964
A,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,66,504.7151659002925,372.7151659002925,342.9445354977388
A,train_ext,SOLUSDT_SWAP_OKX.GLOBAL,55,1148.3243101214196,1038.3243101214196,983.2003336169092
A,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,33,205.60920800243485,139.60920800243485,136.78573306016807
A,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,704.3265344702968,666.3265344702968,661.5630597583748
A,validation_ext,ETHUSDT_SWAP_OKX.GLOBAL,34,364.6624146041396,296.66241460413966,293.0479358018871
A,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,55,1505.0666910049802,1395.0666910049802,1371.9033810701026
A,validation_ext,SOLUSDT_SWAP_OKX.GLOBAL,18,1626.410201812177,1590.410201812177,1586.0169033255654
B,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,23,-183.87198078737066,-229.87198078737066,-227.28115363373098
B,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,-203.7705971816094,-255.77059718160942,-258.6933764356196
B,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,23,-27.584554921288976,-73.58455492128897,-73.97908991177547
B,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,27,-128.20228876423096,-182.20228876423096,-183.10531501456114
B,oos_ext,SOLUSDT_SWAP_OKX.GLOBAL,19,-275.85285600551117,-313.85285600551117,-317.25108856340836
B,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,34,-73.61215693727657,-141.61215693727655,-139.50613366093495
B,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,-92.33560064456938,-170.33560064456938,-174.39705723576435
B,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,37,-30.23581614458758,-104.23581614458757,-103.14638048290598
B,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,66,257.30082039864243,125.30082039864243,123.18798729882813
B,train_ext,SOLUSDT_SWAP_OKX.GLOBAL,55,-987.6082348340678,-1097.6082348340678,-1100.490061080378
B,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,33,-47.25689083500945,-113.25689083500946,-113.57935717044695
B,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,28.56917684068666,-9.430823159313341,-9.189530072269644
B,validation_ext,ETHUSDT_SWAP_OKX.GLOBAL,34,196.03275688136142,128.0327568813614,128.0728184909538
B,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,55,624.0611612632272,514.0611612632272,507.8290435585253
B,validation_ext,SOLUSDT_SWAP_OKX.GLOBAL,18,-42.430881027030345,-78.43088102703035,-78.67741894720665
BC,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,23,-31.117503206745837,-77.11750320674584,-74.01546853954973
BC,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,542.7950773765245,490.79507737652455,480.4111489728604
BC,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,23,-65.66935149266874,-111.66935149266874,-120.22530436118615
BC,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,27,509.4472755346071,455.4472755346071,453.35931673894163
BC,oos_ext,SOLUSDT_SWAP_OKX.GLOBAL,19,26.213860414950574,-11.786139585049426,-24.008677314547025
BC,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,34,1127.198013325168,1059.198013325168,1031.238223521142
BC,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,811.4165953763421,733.4165953763421,694.2375195891603
BC,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,37,704.4396146743745,630.4396146743744,604.6305664574497
BC,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,66,497.98796281905305,365.98796281905305,301.4986908312409
BC,train_ext,SOLUSDT_SWAP_OKX.GLOBAL,55,-2.416643079585926,-112.41664307958592,-206.23237491477377
BC,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,33,34.81353876280458,-31.186461237195413,-41.56905789022964
BC,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,3489.5285579668703,3451.5285579668703,3415.6333356303016
BC,validation_ext,ETHUSDT_SWAP_OKX.GLOBAL,34,544.6657662932768,476.6657662932768,478.20989520215494
BC,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,55,1810.4850990368018,1700.4850990368018,1653.3428271473347
BC,validation_ext,SOLUSDT_SWAP_OKX.GLOBAL,18,1087.2960828660025,1051.2960828660025,1044.2946181472216
C,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,23,139.29818835797,93.29818835796999,104.92342161864018
C,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,302.49583158164046,250.49583158164046,240.5340824034045
C,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,23,-397.56108772483543,-443.5610877248355,-452.76816536352345
C,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,27,211.35043201523038,157.35043201523038,157.17344557561802
C,oos_ext,SOLUSDT_SWAP_OKX.GLOBAL,19,-178.54552922053585,-216.54552922053585,-235.4272691948678
C,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,34,1267.6787024925923,1199.6787024925923,1171.1238171493574
C,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,384.8942236100001,306.8942236100001,250.11614781182158
C,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,37,561.9452690723015,487.94526907230147,471.5487945394148
C,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,66,1114.2215510016904,982.2215510016904,930.2112310184107
C,train_ext,SOLUSDT_SWAP_OKX.GLOBAL,55,-388.313216111025,-498.313216111025,-604.4901816309094
