variant,split,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,winning_rate
A,oos_ext,118,178.1134909663236,-57.886509033676404,-91.67477266805673,0.3220338983050847
A,train_ext,231,2234.839918566135,1772.839918566135,1652.4610283304482,0.329004329004329
A,validation_ext,159,4406.075049894029,4088.0750498940283,4049.317013016098,0.3836477987421384
B,oos_ext,118,-819.2822776600111,-1055.2822776600112,-1060.3100235590955,0.3559322033898305
B,train_ext,231,-926.4909881618589,-1388.490988161859,-1394.3516451611551,0.4199134199134199
B,validation_ext,159,758.9753231232355,440.97532312323546,434.45555585955594,0.4968553459119497
BC,oos_ext,118,981.6693586266676,745.6693586266678,715.5210154965192,0.3559322033898305
BC,train_ext,231,3138.625543115352,2676.625543115352,2425.372625484219,0.45454545454545453
BC,validation_ext,159,6966.789044925756,6648.789044925756,6549.911618236783,0.46540880503144655
C,oos_ext,118,77.03783500946963,-158.96216499053043,-185.56448496072858,0.2542372881355932
C,train_ext,231,2940.4265300655593,2478.426530065559,2218.509808888095,0.31601731601731603
C,validation_ext,159,5606.269350492609,5288.269350492609,5204.532751185019,0.27672955974842767
D,oos_ext,150,2521.4795248495675,2221.4795248495675,2196.048311522044,0.48
D,train_ext,233,8103.975259329898,7637.975259329898,7405.273848006372,0.4291845493562232
D,validation_ext,125,2540.31770993616,2290.31770993616,2258.79664507178,0.376
E,oos_ext,118,3518.4948255075087,3282.4948255075087,3268.803692844532,0.5084745762711864
E,train_ext,231,9991.823576656348,9529.823576656348,9466.19482735065,0.4329004329004329
E,validation_ext,159,4044.791193239203,3726.791193239203,3714.939043458162,0.34591194968553457
