filter_name,policy_name,split,original_trade_count,filtered_trade_count,removed_trade_count,removed_trade_pct,original_net_pnl,filtered_net_pnl,pnl_delta,did_filter_change_trade_set
original_all,v3_1d_donchian_20_10_atr4,train_ext,44,44,0,0.0,0.010400315000001202,0.010400315000001202,0.0,False
original_all,v3_1d_donchian_20_10_atr4,validation_ext,30,30,0,0.0,2.5158034800000006,2.5158034800000006,0.0,False
original_all,v3_1d_donchian_20_10_atr4,oos_ext,15,15,0,0.0,-0.1191193899999994,-0.1191193899999994,0.0,False
keep_trend_friendly,v3_1d_donchian_20_10_atr4,train_ext,44,9,35,0.7954545454545454,0.010400315000001202,-0.9197259899999992,-0.9301263050000004,True
keep_trend_friendly,v3_1d_donchian_20_10_atr4,validation_ext,30,1,29,0.9666666666666667,2.5158034800000006,-0.0160808349999999,-2.5318843150000006,True
keep_trend_friendly,v3_1d_donchian_20_10_atr4,oos_ext,15,0,15,1.0,-0.1191193899999994,0.0,0.1191193899999994,True
exclude_hostile_chop_overheated,v3_1d_donchian_20_10_atr4,train_ext,44,40,4,0.09090909090909091,0.010400315000001202,0.47835640500000104,0.4679560899999998,True
exclude_hostile_chop_overheated,v3_1d_donchian_20_10_atr4,validation_ext,30,29,1,0.03333333333333333,2.5158034800000006,0.9400846800000018,-1.5757187999999989,True
exclude_hostile_chop_overheated,v3_1d_donchian_20_10_atr4,oos_ext,15,15,0,0.0,-0.1191193899999994,-0.1191193899999994,0.0,False
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_20_10_atr4,train_ext,44,9,35,0.7954545454545454,0.010400315000001202,-0.9197259899999992,-0.9301263050000004,True
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_20_10_atr4,validation_ext,30,1,29,0.9666666666666667,2.5158034800000006,-0.0160808349999999,-2.5318843150000006,True
keep_trend_friendly_exclude_funding_overheated,v3_1d_donchian_20_10_atr4,oos_ext,15,0,15,1.0,-0.1191193899999994,0.0,0.1191193899999994,True
exclude_funding_overheated,v3_1d_donchian_20_10_atr4,train_ext,44,43,1,0.022727272727272728,0.010400315000001202,0.04123631500000151,0.030836000000000308,True
exclude_funding_overheated,v3_1d_donchian_20_10_atr4,validation_ext,30,30,0,0.0,2.5158034800000006,2.5158034800000006,0.0,False
exclude_funding_overheated,v3_1d_donchian_20_10_atr4,oos_ext,15,15,0,0.0,-0.1191193899999994,-0.1191193899999994,0.0,False
trend_friendly_only,v3_1d_donchian_20_10_atr4,train_ext,44,9,35,0.7954545454545454,0.010400315000001202,-0.9197259899999992,-0.9301263050000004,True
