feature,target,train_spearman,validation_spearman,oos_spearman,train_count,validation_count,oos_count,train_direction,validation_direction,oos_direction,available_split_count,direction_consistent,consistent_direction,min_abs_spearman,max_abs_spearman,stable_candidate,single_split_only
atr_pct,future_return_120m,-0.1637047253077503,-0.2256588409082337,-0.2711348556593584,5295,1807,1716,negative,negative,negative,3,True,negative,0.1637047253077503,0.2711348556593584,False,False
atr_pct,future_return_15m,-0.2092428326711759,-0.2699642432811389,-0.2928771348063327,5295,1807,1716,negative,negative,negative,3,True,negative,0.2092428326711759,0.2928771348063327,False,False
atr_pct,future_return_30m,-0.2020966241076739,-0.2559732488754081,-0.3099367329684251,5295,1807,1716,negative,negative,negative,3,True,negative,0.2020966241076739,0.3099367329684251,False,False
atr_pct,future_return_60m,-0.1863411003193039,-0.2400336049445985,-0.2747655871875856,5295,1807,1716,negative,negative,negative,3,True,negative,0.1863411003193039,0.2747655871875856,True,False
atr_pct,mae_atr,-0.0976189818774481,0.1000073763600361,0.02813446739747,5295,1807,1716,negative,positive,positive,3,False,,0.02813446739747,0.1000073763600361,False,False
atr_pct,mfe_atr,-0.2656389081862354,-0.1679959609293965,-0.2735276010769533,5295,1807,1716,negative,negative,negative,3,True,negative,0.1679959609293965,0.2735276010769533,False,False
body_ratio,future_return_120m,-0.0701435164766114,-0.0909235473221504,-0.0589489403672394,5286,1804,1713,negative,negative,negative,3,True,negative,0.0589489403672394,0.0909235473221504,False,False
body_ratio,future_return_15m,-0.1041288499718712,-0.1209067447220718,-0.0270308199275493,5286,1804,1713,negative,negative,negative,3,True,negative,0.0270308199275493,0.1209067447220718,False,False
body_ratio,future_return_30m,-0.0961333916575935,-0.1195583208147662,-0.0540469594049653,5286,1804,1713,negative,negative,negative,3,True,negative,0.0540469594049653,0.1195583208147662,False,False
body_ratio,future_return_60m,-0.0782555467410872,-0.1001123102483701,-0.0535571421184642,5286,1804,1713,negative,negative,negative,3,True,negative,0.0535571421184642,0.1001123102483701,True,False
body_ratio,mae_atr,0.1462907052805684,0.1097979094860539,0.0702200857078361,5286,1804,1713,positive,positive,positive,3,True,positive,0.0702200857078361,0.1462907052805684,False,False
body_ratio,mfe_atr,0.0363848081104805,-0.0154977368918186,0.0421905194191696,5286,1804,1713,positive,negative,positive,3,False,,0.0154977368918186,0.0421905194191696,False,False
breakout_distance_atr,future_return_120m,-0.1095256258542518,-0.2155526581145911,-0.1076333244448015,5295,1807,1716,negative,negative,negative,3,True,negative,0.1076333244448015,0.2155526581145911,False,False
breakout_distance_atr,future_return_15m,-0.1752972502956964,-0.2327098264519604,-0.0800263208200321,5295,1807,1716,negative,negative,negative,3,True,negative,0.0800263208200321,0.2327098264519604,False,False
breakout_distance_atr,future_return_30m,-0.1672762690711999,-0.2440010693931934,-0.1209093667933563,5295,1807,1716,negative,negative,negative,3,True,negative,0.1209093667933563,0.2440010693931934,False,False
breakout_distance_atr,future_return_60m,-0.1464083662559469,-0.2390253658994377,-0.1192835334349365,5295,1807,1716,negative,negative,negative,3,True,negative,0.1192835334349365,0.2390253658994377,True,False
breakout_distance_atr,mae_atr,0.2126650476331195,0.1941925733537342,0.1339971233034163,5295,1807,1716,positive,positive,positive,3,True,positive,0.1339971233034163,0.2126650476331195,False,False
breakout_distance_atr,mfe_atr,0.0247442082630349,-0.099642306551357,0.0126842527685463,5295,1807,1716,positive,negative,positive,3,False,,0.0126842527685463,0.099642306551357,False,False
close_location_in_donchian,future_return_120m,,,,5289,1805,1715,unknown,unknown,unknown,0,False,,,,False,False
close_location_in_donchian,future_return_15m,,,,5289,1805,1715,unknown,unknown,unknown,0,False,,,,False,False
close_location_in_donchian,future_return_30m,,,,5289,1805,1715,unknown,unknown,unknown,0,False,,,,False,False
close_location_in_donchian,future_return_60m,,,,5289,1805,1715,unknown,unknown,unknown,0,False,,,,False,False
close_location_in_donchian,mae_atr,,,,5289,1805,1715,unknown,unknown,unknown,0,False,,,,False,False
close_location_in_donchian,mfe_atr,,,,5289,1805,1715,unknown,unknown,unknown,0,False,,,,False,False
donchian_width_atr,future_return_120m,0.0109068615094703,0.0458343258035286,-0.0064418839810184,5295,1807,1716,positive,positive,negative,3,False,,0.0064418839810184,0.0458343258035286,False,False
donchian_width_atr,future_return_15m,0.0220516121591515,0.0289031153997893,0.0692530319627794,5295,1807,1716,positive,positive,positive,3,True,positive,0.0220516121591515,0.0692530319627794,False,False
donchian_width_atr,future_return_30m,0.020683477106059,0.0231302567344827,0.060592383406337,5295,1807,1716,positive,positive,positive,3,True,positive,0.020683477106059,0.060592383406337,False,False
donchian_width_atr,future_return_60m,0.0160300992706858,0.0405683658287392,0.0129837309944996,5295,1807,1716,positive,positive,positive,3,True,positive,0.0129837309944996,0.0405683658287392,False,False
donchian_width_atr,mae_atr,0.1769047968795683,0.0680197832681074,0.0377329810791931,5295,1807,1716,positive,positive,positive,3,True,positive,0.0377329810791931,0.1769047968795683,False,False
donchian_width_atr,mfe_atr,0.1580184458384584,0.081912429594797,0.1322189887461949,5295,1807,1716,positive,positive,positive,3,True,positive,0.081912429594797,0.1580184458384584,False,False
ema_spread_pct,future_return_120m,0.0153478775142358,0.0070345450164856,-0.0368666598992392,5295,1807,1716,positive,positive,negative,3,False,,0.0070345450164856,0.0368666598992392,False,False
ema_spread_pct,future_return_15m,0.0320499437052299,0.015054422481905,-0.0212188546131218,5295,1807,1716,positive,positive,negative,3,False,,0.015054422481905,0.0320499437052299,False,False
