policy_name,train_signal_count,validation_signal_count,oos_signal_count,train_median_future_return_120m,validation_median_future_return_120m,oos_median_future_return_120m,train_best_expectancy_r,validation_best_expectancy_r,oos_best_expectancy_r,train_positive_rate_120m,validation_positive_rate_120m,oos_positive_rate_120m,train_return_direction,validation_return_direction,oos_return_direction,train_expectancy_direction,validation_expectancy_direction,oos_expectancy_direction,available_return_split_count,available_expectancy_split_count,return_direction_consistent,expectancy_direction_consistent,consistent_return_direction,consistent_expectancy_direction,positive_split_count,positive_splits,stable_candidate,single_split_only,strategy_v2_candidate
htf_1h_15m_structure_5m_pullback_reclaim,1352,483,456,-0.000296693937728,-0.0006036872224417,-0.0006817016571809,0.0690627448925448,0.0284129226580703,-0.0096168783410713,0.4681952662721893,0.4472049689440994,0.4385964912280701,negative,negative,negative,positive,positive,negative,3,3,True,False,negative,,0,,False,False,False
htf_1h_15m_structure_5m_pullback_reclaim_strict,412,159,145,-0.0001800541152666,-0.0002733940193664,-0.0002271968874026,0.1507170949428019,0.0155320902826371,-0.0013985025640767,0.4757281553398058,0.4591194968553459,0.4896551724137931,negative,negative,negative,positive,positive,negative,3,3,True,False,negative,,0,,False,False,False
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,836,316,304,-0.0002637147295594,-0.0004104847032527,-0.0004811932502767,0.1251678905957377,0.1083923131335287,-0.0078983315649308,0.4677033492822967,0.4556962025316455,0.4572368421052631,negative,negative,negative,positive,positive,negative,3,3,True,False,negative,,0,,False,False,False
htf_1h_15m_structure_no_overextension,2881,1012,999,-0.0002570131787608,-0.0006133889837118,-0.0004915696513113,0.0615440565860722,-0.0168108367553782,-0.0126073925167167,0.4703228045817424,0.4268774703557312,0.4524524524524524,negative,negative,negative,positive,negative,negative,3,3,True,False,negative,,0,,False,False,False
htf_1h_15m_structure_strict_vol_cap,1863,661,683,-0.000364106329353,-0.0004958040711151,-0.0006041481945094,0.0761722019991355,-0.0042378409325576,-0.0333918821575396,0.4460547504025764,0.4311649016641452,0.4407027818448023,negative,negative,negative,positive,negative,negative,3,3,True,False,negative,,0,,False,False,False
htf_1h_15m_structure_with_vol_cap,2938,1023,1049,-0.0002859073461652,-0.0004879338473475,-0.0006041481945094,0.0883915987000468,0.0024093029232981,-0.0178764092762541,0.4628999319264806,0.4340175953079179,0.44232602478551,negative,negative,negative,positive,positive,negative,3,3,True,False,negative,,0,,False,False,False
htf_1h_ema_15m_donchian_structure,4154,1553,1633,-0.0005908986134305,-0.0007992733878292,-0.0009046270025225,0.0248308498943307,-0.0362338368473378,-0.0546435254896504,0.4398170438131921,0.4236960721184803,0.423406862745098,negative,negative,negative,positive,negative,negative,3,3,True,False,negative,,0,,False,False,False
htf_1h_ema_15m_ema_structure,4726,1635,1597,-0.0004510123524459,-0.0007524504581289,-0.0007637939107488,0.0537801641416682,-0.0184782998839753,-0.0272830130109561,0.4526026237833263,0.4214067278287461,0.4285714285714285,negative,negative,negative,positive,negative,negative,3,3,True,False,negative,,0,,False,False,False
htf_1h_ema_15m_vwap_structure,5076,1720,1691,-0.0003904445229068,-0.000704340099474,-0.0006709578889396,0.0445109604760133,-0.0178725270659135,-0.0238362925782083,0.4600078802206462,0.4232558139534884,0.4414201183431953,negative,negative,negative,positive,negative,negative,3,3,True,False,negative,,0,,False,False,False
htf_1h_ema_regime_only,8261,2919,2847,-0.0003156708004509,-0.0004476275738585,-0.0003606733672817,0.0283451366545181,0.0227317896942381,-0.0087375796481309,0.4649558164871081,0.4590613223706749,0.471890372452565,negative,negative,negative,positive,positive,negative,3,3,True,False,negative,,0,,False,False,False
