variant,split,symbol,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl
A,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,23,387.3550280643094,341.3550280643094,340.2837981830472
A,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,1028.7727877732148,976.7727877732146,970.7708810308924
A,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,23,866.3023432099086,820.3023432099086,818.9901476759874
A,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,27,255.11269257536102,201.112692575361,202.0518484386207
A,oos_ext,SOLUSDT_SWAP_OKX.GLOBAL,19,980.951973884715,942.951973884715,936.7070175159846
A,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,34,551.1238046748689,483.1238046748689,479.25949927477484
A,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,1730.5628490183874,1652.5628490183874,1643.1584715404588
A,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,37,435.9451865279291,361.9451865279291,354.90094027211853
A,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,66,593.7683861458215,461.7683861458215,430.27204535129005
A,train_ext,SOLUSDT_SWAP_OKX.GLOBAL,55,6680.423350289341,6570.423350289341,6558.603870912008
A,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,33,372.9221219343954,306.9221219343954,308.7994117440022
A,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,1042.2740309530898,1004.2740309530898,995.9813548886568
A,validation_ext,ETHUSDT_SWAP_OKX.GLOBAL,34,284.68649138509033,216.6864913850903,217.40909767089775
A,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,55,1116.7501578979789,1006.7501578979789,1005.4712200366305
A,validation_ext,SOLUSDT_SWAP_OKX.GLOBAL,18,1228.1583910686486,1192.1583910686486,1187.2779591179747
B,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,23,284.5608251578643,238.56082515786431,237.6557073810207
B,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,513.24470925163,461.24470925162996,462.80484972369214
B,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,23,139.3915850998205,93.3915850998205,93.7105784639372
B,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,27,156.4344732453231,102.43447324532312,102.4974172888288
B,oos_ext,SOLUSDT_SWAP_OKX.GLOBAL,19,481.4217442682857,443.4217442682857,444.15594112114945
B,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,34,230.68909370804647,162.68909370804647,162.30198012132126
B,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,497.3978912798895,419.39789127988945,423.8954108163137
B,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,37,87.67136075172692,13.671360751726935,16.006709770891334
B,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,66,268.2850601320019,136.2850601320019,135.7467010901247
B,train_ext,SOLUSDT_SWAP_OKX.GLOBAL,55,1771.049242390556,1661.049242390556,1666.592530737962
B,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,33,241.70369055239613,175.70369055239613,175.68019160065413
B,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,253.0590847825204,215.0590847825204,214.3308300141727
B,validation_ext,ETHUSDT_SWAP_OKX.GLOBAL,34,123.16531131187435,55.16531131187435,56.73065776680015
B,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,55,577.5032501323499,467.50325013234993,469.726728470895
B,validation_ext,SOLUSDT_SWAP_OKX.GLOBAL,18,37.33699274622132,1.3369927462213234,1.535086262452225
BC,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,23,425.64755480827205,379.64755480827205,382.804514286492
BC,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,1260.13036017286,1208.13036017286,1210.2807152152704
BC,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,23,99.28144127670527,53.28144127670527,53.11205875866647
BC,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,27,553.4158229543987,499.41582295439866,503.36770121460387
BC,oos_ext,SOLUSDT_SWAP_OKX.GLOBAL,19,884.091580898777,846.091580898777,837.1769388790497
BC,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,34,381.57765170100254,313.57765170100254,296.93813693900927
BC,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,673.7522147177885,595.7522147177885,593.6392662373624
BC,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,37,227.12017978908534,153.12017978908534,150.7061732403776
BC,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,66,759.9772584004872,627.9772584004874,604.823667186513
BC,train_ext,SOLUSDT_SWAP_OKX.GLOBAL,55,7681.544153893538,7571.544153893538,7501.808613021981
BC,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,33,416.0730092874727,350.0730092874727,343.2264408244668
BC,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,4882.141890867107,4844.141890867107,4818.547921094185
BC,validation_ext,ETHUSDT_SWAP_OKX.GLOBAL,34,341.9057938779027,273.9057938779027,276.70459233461634
BC,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,55,1969.7318730646325,1859.7318730646327,1845.5469032190379
BC,validation_ext,SOLUSDT_SWAP_OKX.GLOBAL,18,2597.9643510159626,2561.9643510159626,2558.5159112687
C,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,23,112.59714877359501,66.597148773595,65.34213778368782
