variant,split,symbol,trade_count,total_no_cost_pnl,top_5pct_contribution,concentration_pass
A,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,23,387.3550280643093,0.34569840055773776,True
A,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,34,551.1238046748689,0.23148977186057557,True
A,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,33,372.92212193439536,0.41512435481290516,True
B,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,23,284.5608251578643,0.27372128021575753,True
B,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,34,230.6890937080465,0.28647223070489086,True
B,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,33,241.7036905523961,0.4018149016815485,True
BC,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,23,425.647554808272,0.3450258614159616,True
BC,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,34,381.57765170100254,0.40312123285887697,True
BC,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,33,416.07300928747276,0.3586729268618572,True
C,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,23,112.597148773595,1.3042907023571237,True
C,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,34,598.2219456919951,0.44549972748468397,True
C,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,33,422.8207340930637,0.43423173198105275,True
D,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,27,371.4262691629298,0.28477897130927865,True
D,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,42,1015.7820863644652,0.48781829554311007,True
D,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,21,97.98112217188185,1.0617277833527559,True
E,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,23,-67.34732222755369,-1.5327751433977497,True
E,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,34,549.021532855697,0.4932014939445323,True
E,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,33,205.6092080024349,0.5251392514099225,True
A,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,23,866.3023432099083,0.6486707252547215,True
A,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,37,435.9451865279291,0.36511129992274943,True
A,validation_ext,ETHUSDT_SWAP_OKX.GLOBAL,34,284.6864913850902,0.9634580664590846,True
B,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,23,139.39158509982045,0.852759882213724,True
B,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,37,87.6713607517269,0.5264450889859342,True
B,validation_ext,ETHUSDT_SWAP_OKX.GLOBAL,34,123.16531131187435,0.8845487646647096,True
BC,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,23,99.28144127670527,1.1392422258537995,True
BC,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,37,227.1201797890853,0.24319185458392312,True
BC,validation_ext,ETHUSDT_SWAP_OKX.GLOBAL,34,341.9057938779026,0.5769861780248569,True
C,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,23,198.27199111969975,1.1543136228793491,True
C,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,37,139.25095633661056,1.1043991035496086,True
