lookback,atr_mult,max_hold,train_pnl,validation_pnl,oos_pnl
8,1.0,50,18970.511755889966,7489.7180034806515,4970.197301047583
8,1.0,55,19173.526040901066,7759.6575237521865,5620.3159455210425
8,1.0,60,19354.44801536877,7741.921206470922,5856.372071375358
8,1.0,65,21344.478869331444,7846.14597402666,5734.753278185832
8,1.0,70,22030.521924858713,7447.697087753494,5532.763394729514
8,1.0,20,14508.700696858563,5789.633380749942,3914.414809056684
8,1.0,40,17590.302151218108,6788.674202156768,4610.012761650085
8,1.0,80,22071.692403251953,7874.340426342768,5631.538273049363
8,1.5,50,21416.805142190737,7002.96983806858,5208.081531537608
8,1.5,55,21462.06319268374,6887.212293634893,5546.436034414521
8,1.5,60,21382.603798149456,6888.671253727809,5761.682481995604
8,1.5,65,23330.338570854838,6929.03659165101,5345.394841512686
8,1.5,70,23927.37480777241,6672.015569836305,5033.632017754548
8,1.5,20,14442.6983043779,5770.20400053674,3568.3490738339906
8,1.5,40,19048.27268230684,6409.305271987419,4559.133672726025
8,1.5,80,24305.812787933635,6989.8801277139855,5206.618103602446
8,2.0,50,20523.738467547482,6804.301931460427,4477.192298364633
8,2.0,55,20271.168689501865,6810.132924589414,4934.492249553579
8,2.0,60,19861.529371033645,6616.512725342912,5021.184647701452
8,2.0,65,21776.67900277452,6715.3284829971335,4572.550244638701
8,2.0,70,22099.5981189164,6511.266264579915,4115.417375658144
8,2.0,20,13033.370912460272,5438.651640517195,3300.229505134208
8,2.0,40,18216.22466695919,6038.109642524607,4136.899569640744
8,2.0,80,22351.883412396084,6798.028885296828,4355.068098219693
8,2.5,50,19968.33540876886,6029.992311339308,5012.281876281535
8,2.5,55,20111.85075925234,5884.491477182748,5484.3803548811275
8,2.5,60,19517.878058953953,5338.293676348254,5728.178138655352
8,2.5,65,21585.58976871804,5823.618394379469,5325.013580244602
8,2.5,70,21755.050707176008,5482.620097499344,4723.829061971407
8,2.5,20,12556.589984858369,4511.579196631942,3692.6765088430366
8,2.5,40,17172.55803976357,5064.100864256794,4499.536478617053
8,2.5,80,21973.935329103835,5502.442537352173,5092.209323030311
8,3.0,50,19530.666969480993,6254.243677368386,4297.157122292322
8,3.0,55,19639.75327031942,6011.018427036543,4868.899348344681
8,3.0,60,19195.587724404537,5272.874701151044,5194.687303421957
8,3.0,65,21046.498018506398,5763.139224678066,4670.20124835826
8,3.0,70,21656.886528428775,5435.035647263054,4210.144923857242
8,3.0,20,12171.790262846709,4191.558532816177,2990.5825719027484
8,3.0,40,16702.30586114811,5100.536992635778,3799.038318405821
8,3.0,80,21709.356428057567,5176.895907376136,4694.472995899261
10,1.0,50,16318.55837090914,5163.463437275908,4562.877414340579
10,1.0,55,16600.90475099467,5277.512111587952,5157.353085196324
10,1.0,60,16815.246801514433,5237.328312557539,5431.6692173890715
10,1.0,65,18806.531596018733,5444.148793029612,5228.138289287631
10,1.0,70,19442.99263130263,5335.290113177845,5052.408765840133
10,1.0,20,13167.19518445602,4920.009321276717,3859.8129884310556
10,1.0,40,16147.279374734542,5324.965223457033,4120.324230070534
10,1.0,80,19638.25777481123,5755.31489235032,4862.966258204523
10,1.5,50,18232.148432078524,5088.367450663001,4071.0227709644096
10,1.5,55,18303.654066588464,4876.367088296207,4266.804934193082
10,1.5,60,18243.10370435661,4756.711689773915,4598.565887757553
10,1.5,65,20305.715355388336,4951.8882643798,4258.261652903668
10,1.5,70,20809.275265025066,4917.969457017837,4054.4323643975385
10,1.5,20,13289.161493518783,5088.8749429896825,3205.0512188717457
10,1.5,40,17366.62478187314,5480.812719362542,3501.277502694992
10,1.5,80,21372.331640961886,5167.663671938842,4148.781538072404
10,2.0,50,17385.599552026746,4838.772543770194,3496.969269881519
10,2.0,55,17500.19789993616,4472.501505129972,4021.282056505921
10,2.0,60,17407.275388595506,4328.770856509209,4319.4199230222675
10,2.0,65,19488.22746779154,4805.7906641114505,3954.1065638837895
10,2.0,70,19847.493949835785,4934.445476504643,3514.8348593553055
10,2.0,20,12351.45761563088,5003.063722742619,2949.895409654763
10,2.0,40,16242.218329866246,5431.816112086573,3164.535816870195
10,2.0,80,20214.70511019226,5191.609928423547,3608.8671155964394
10,2.5,50,16681.45462795334,4576.328334110535,3836.0951551885046
10,2.5,55,17133.24926180132,4006.78625695761,4340.394805811635
10,2.5,60,17239.03372227292,3490.1332436528237,4810.353049134308
10,2.5,65,19187.022005975647,4250.813694462415,4368.2605193130075
10,2.5,70,19413.710732892723,4337.017353911644,3798.121474194533
10,2.5,20,11627.913503113054,4542.106112058317,3231.9249688677273
10,2.5,40,14997.536436106295,5147.013893000982,3424.6500301814285
10,2.5,80,19687.410392413636,4265.329468000171,4142.166059115002
10,3.0,50,16697.51859253448,4333.247052935815,3585.532797576774
10,3.0,55,17013.75090462555,3678.2787187519953,4202.63252959196
10,3.0,60,17176.25227393584,3115.82210120699,4753.128341803753
10,3.0,65,19314.205812775428,3986.425584172326,4157.917143703656
10,3.0,70,19754.23056482608,3995.201069038284,3715.0385100200556
10,3.0,20,11552.582719784823,4089.9086058682383,3066.3325453310504
10,3.0,40,14814.461820399003,4834.141225513169,3165.553291977661
10,3.0,80,19938.326072841148,3545.612851959897,4166.2155438611
12,1.0,50,12827.222840035116,4386.872798201963,4379.958777061504
12,1.0,55,14161.24427021111,4385.895508255922,4881.568784159859
12,1.0,60,14211.13781700263,4556.719623834873,5101.823124769742
12,1.0,65,17184.378715290153,4668.146612481278,4625.307360661682
12,1.0,70,18816.818145886813,4736.965889013094,4427.482014714117
12,1.0,20,11549.265151718544,4388.047460895228,3723.1576514649314
12,1.0,40,14506.936080761805,4768.314615107816,4047.543665762683
12,1.0,80,19005.992006714056,5651.477456498349,4482.431454039584
12,1.5,50,13640.891525943693,4834.642527502671,4110.478738397916
12,1.5,55,14923.500381576689,4591.201823980331,4266.969830072621
12,1.5,60,14908.533918387742,4624.890844185205,4514.290862078287
12,1.5,65,17908.165224638247,4751.998993283479,3950.4998582083335
12,1.5,70,19575.52810613603,4795.363216547186,3779.247139868914
12,1.5,20,11465.46769164144,4839.462047564998,3301.533767814364
