hour,entry_count,future_return_5m_mean,future_return_5m_median,mfe_5m_mean,mfe_5m_median,mae_5m_mean,mae_5m_median,future_return_5m_positive_rate,future_return_15m_mean,future_return_15m_median,mfe_15m_mean,mfe_15m_median,mae_15m_mean,mae_15m_median,future_return_15m_positive_rate,future_return_30m_mean,future_return_30m_median,mfe_30m_mean,mfe_30m_median,mae_30m_mean,mae_30m_median,future_return_30m_positive_rate,future_return_60m_mean,future_return_60m_median,mfe_60m_mean,mfe_60m_median,mae_60m_mean,mae_60m_median,future_return_60m_positive_rate,future_return_120m_mean,future_return_120m_median,mfe_120m_mean,mfe_120m_median,mae_120m_mean,mae_120m_median,future_return_120m_positive_rate,mfe_atr_median,mfe_atr_mean,mae_atr_median,mae_atr_mean,take_profit_first_rate,stop_first_rate
0,103,-0.0017382857980813744,-0.0009238364639947143,0.0034380616712368422,0.0011728032453697382,0.005302733540245051,0.0026425433073724294,0.4077669902912621,-0.002891574446600206,-0.0007902948922118598,0.004624367156083942,0.0020617371752045224,0.007660135170711122,0.004180716225287031,0.3786407766990291,-0.002978087191772918,-0.00204693867712869,0.005932085744413941,0.0026386053415261247,0.009594717604264755,0.005341371105884943,0.34951456310679613,-0.0026389759858885926,-0.0023212450603354823,0.007870968655414815,0.004320317429638515,0.01148625232960945,0.00833665024895185,0.36893203883495146,-0.0020800589836872984,-0.0013703497925823562,0.011260122158181281,0.0073641576962417184,0.013743396447085584,0.010164994455929045,0.4174757281553398,3.8695172435169765,5.885522917672355,5.131775492087073,5.749186739736,0.2524271844660194,0.7475728155339806
1,116,-0.0007264031651400598,-0.0003441559478809694,0.0032719432414588245,0.001199139858023847,0.0031970986700378505,0.0017715467286428773,0.41379310344827586,-0.0009478904415515691,-0.000553383097576997,0.004639458301933239,0.0018757505143577168,0.004954885472360107,0.0032950132448551278,0.4051724137931034,-0.0006045769838521079,-0.00029947341600390095,0.006639335439536725,0.0031130636023227205,0.006388628440140678,0.004107153773570128,0.45689655172413796,-0.0004890511569841811,-0.0005316370072882873,0.009014639541603413,0.0049447421065166065,0.00837845117527109,0.005918740640281667,0.45689655172413796,0.0015001932759755822,0.00021157113657944477,0.013038388853549627,0.01111651777277026,0.01011333874537538,0.007954320730367162,0.5,5.873518363458732,7.766477024747851,4.311595310883703,6.081655848847649,0.3103448275862069,0.6810344827586207
2,112,-0.0011312161111661687,-0.00023471402385268696,0.0019861742158208346,0.0007969764284837192,0.0035240864356909417,0.0016087253417094254,0.375,-0.0009014456537639561,-0.00010341395290722996,0.003514174941984318,0.0018917234841643565,0.004413239329962828,0.0024029648567042462,0.48214285714285715,-2.6588253092880367e-05,-2.669109623463863e-05,0.005401353414423283,0.0028519155213640405,0.00530520340149297,0.0029572376667484713,0.5,0.00046683079862585555,0.0009688853798092216,0.00791438004041028,0.004544315338317614,0.006482321339830207,0.003623720118223286,0.5625,0.00037001609040839076,-0.0003511868743034466,0.010182188419316273,0.007607472620899078,0.00894785316285102,0.0057456159607184535,0.45535714285714285,4.459363547172869,7.183718829829402,4.133762540676457,6.506302627461865,0.3125,0.6875
3,103,-0.0006612879397330453,-0.00022969752914146985,0.001992650776581887,0.0007943635133230263,0.00247778893251865,0.0014375139122637733,0.44660194174757284,-0.0010354223925341445,-0.0004574393359200681,0.0031691685741762703,0.0014613999530698164,0.003593164016871767,0.0019368295589988081,0.4174757281553398,-0.000989289504696244,-0.00010980499808818802,0.00439821651507618,0.002248322601520513,0.004982971631507431,0.0027690828816818213,0.49514563106796117,-0.002019820219865408,-0.0008069109550028479,0.006173735663616734,0.0042960484331441545,0.007076715736795455,0.004031669322914049,0.3786407766990291,-0.0021683546827235053,-0.001479526234401883,0.007716358806447132,0.005598536703533945,0.008708952381192472,0.005237258675082126,0.3883495145631068,4.165630183879908,6.388081372711804,4.519641791248691,7.312140728029408,0.32038834951456313,0.6699029126213593
4,106,-0.0002136275683616187,-0.0002122515849778985,0.0019879380658827197,0.0006281442659542973,0.0019726404884749067,0.0012928431261863638,0.4339622641509434,-0.0005255336633388367,-0.00037330226220270854,0.0029717383084738778,0.0015331199243501464,0.0029966799410257867,0.0019022828842868594,0.4056603773584906,-0.0005139554875852275,-0.0006671748787910078,0.004360909510035083,0.0022427688830549504,0.0038137992412253575,0.002577803888037494,0.4339622641509434,-0.0007253000056733065,-0.0008935962142901611,0.005703929528168913,0.003378142676529779,0.005385504353903462,0.0035916050153713096,0.3867924528301887,-0.0004621745812975226,-0.0005853182989375348,0.007568568731864305,0.0054837960073597265,0.0069247379251468405,0.004584815541089428,0.4339622641509434,4.165154954469847,8.303572803937488,4.337522011105369,6.473236730944934,0.3584905660377358,0.6320754716981132
5,112,7.50619967140947e-05,-5.241153505475123e-05,0.001938138882847265,0.0009356919132693127,0.0015427850793046313,0.0011907887098990112,0.4732142857142857,0.00041370662622622925,-6.562910856091002e-05,0.0031758803873723662,0.0018898249286273604,0.002364127586835975,0.002048337779160704,0.4732142857142857,0.0001728867985222201,-0.0003812435356260994,0.004296132128382349,0.0027148098111447975,0.003181742390103967,0.0026199869479375123,0.45535714285714285,-0.00016619223148702067,-0.0006172863406233976,0.005720346125519158,0.0034033399996192737,0.004476857852606347,0.0035010639593976356,0.4107142857142857,-8.183078993609824e-05,-0.0008957640969199817,0.007868413115851161,0.004753323376915327,0.005854372627035326,0.004357425860359589,0.44642857142857145,4.552881289613866,7.985863015631891,4.872376422552991,6.433253216826529,0.36607142857142855,0.6339285714285714
6,117,-7.951437206619153e-05,-5.5819742611742114e-05,0.0017919967679634128,0.0008903417533431701,0.0016222450134757334,0.0012316368951968536,0.49572649572649574,-0.0001853067756389603,-0.00019250672738569468,0.0028253625035139255,0.001643202012415304,0.002580607827807482,0.001980836463048108,0.4700854700854701,-0.00022911063653367658,-0.0005468949224125146,0.0037154023166203675,0.002155075439481456,0.0033096644041866446,0.0027588221967678145,0.4444444444444444,0.00010539162795601369,-0.0002437268269102852,0.005683677681677062,0.0035281853901050135,0.004245022687924514,0.0036364824224388278,0.47863247863247865,0.00020807718488768495,0.000177106519615796,0.00813988971101029,0.005496626809925876,0.006799110217759801,0.004645345550601692,0.5128205128205128,6.196000511778022,9.480034219277496,5.068453381773327,6.7923098153783785,0.37606837606837606,0.6239316239316239
7,99,-0.00021853542040997081,-8.058776740483412e-05,0.0018755434171380413,0.0009519517765911173,0.0014793470690383905,0.0010996457357521578,0.47474747474747475,-0.0005698427810915299,-0.00047898198455815805,0.003199518280352943,0.0018855064796412285,0.002516921782102689,0.0017888112269400193,0.41414141414141414,-0.0005471904270735658,-0.0008296524164038519,0.004162597048179119,0.0025302719705207104,0.003552761805573275,0.0025433836713395375,0.37373737373737376,-0.0007147755419691132,-0.0008039871155645731,0.006147885334622234,0.0037492426820261338,0.00487355475517671,0.0032711394905099466,0.40404040404040403,-0.0003747084039123805,-0.0011024925748499151,0.00821371765872317,0.005459031693066816,0.007371361708366043,0.005258749069247952,0.45454545454545453,6.406048634622663,8.195905329033716,5.733033286586286,7.109175437215294,0.42424242424242425,0.5757575757575758
8,110,-0.000652332548003897,-0.0002942340879169338,0.0016993820457346627,0.0008012329842119492,0.0023049245854663888,0.0013865558348456544,0.41818181818181815,-0.0008804837120460871,-0.00040984810854937347,0.002950540181737968,0.0015103921170072617,0.003632606269520786,0.0022477860881916258,0.39090909090909093,-0.0011944164091307037,-0.0005574114265398857,0.003936361533996701,0.0021185535257739656,0.004701763126842672,0.0030318806841537686,0.41818181818181815,-0.0019682156190954886,-0.0011887589032400028,0.0047167272461211,0.002954628539239108,0.006201759536683913,0.004475377037956465,0.4,-0.0019415511187795167,-0.0016505503205906814,0.00668265455361892,0.004974858809302044,0.008391842556145033,0.006246081896931372,0.38181818181818183,4.422979022906901,6.262403168854621,6.596694808437012,7.413045973551171,0.3090909090909091,0.6909090909090909
9,99,-0.00011043453371482981,-0.00021191249287821586,0.002630665168880915,0.0008477589888976275,0.002436191829977488,0.0012496303668039586,0.43434343434343436,-0.00036970800528724,-0.0001721313421496237,0.004259083152828605,0.0017053413727997192,0.0032491230126282483,0.0020444711451012942,0.46464646464646464,-0.0003053113437800482,-0.000297810679514544,0.005611401916154445,0.002209270116578535,0.004116294035175254,0.0026644606304420705,0.46464646464646464,-0.0006004612076830758,-0.0005256669976422135,0.007840566195926478,0.0037040199934768093,0.005885399565820084,0.0035980438658856375,0.42424242424242425,-0.0011291299234906704,-0.0007194715154686376,0.009597127410636461,0.0045917406608051055,0.008200033866253065,0.004804114465253019,0.45454545454545453,5.7730786865759836,7.313921138049453,4.676335817477361,6.924340059325573,0.41414141414141414,0.5858585858585859
