policy_name,entry_count,skipped_count,avg_return,median_return,win_rate,avg_r,median_r,expectancy_r,max_drawdown_r_est,best_horizon,best_stop_atr,best_tp_atr,stop_first_rate,tp_first_rate,horizon_exit_rate,notes
skip_large_breakout_gt_1atr,4658,637,-7.733809897285453e-05,-0.0010099350668147512,0.45835122370115927,0.012950458541533292,-0.18784537145018987,0.012950458541533292,123.38365600069518,120,4.0,5.0,0.40790038643194504,0.3385573207385144,0.25354229282954055,"Immediate entry, but skip breakout_distance_atr > 1."
small_to_mid_breakout_0_25_to_1atr,1973,3322,-0.0001984208795500564,-0.0005574136008918618,0.4607197161682717,0.009411376823681284,-0.12163023393414961,0.009411376823681284,67.41449789954902,60,4.0,5.0,0.34921439432336543,0.2868727825646224,0.3639128231120122,Immediate entry only when 0.25 <= breakout_distance_atr <= 1.
skip_large_breakout_gt_2atr,4965,330,-0.00022283611306225874,-0.0011431665195321622,0.4503524672708963,-0.0022041627209726253,-0.22730807061138117,-0.0022041627209726253,136.3867133202759,120,4.0,5.0,0.4173212487411883,0.33534743202416917,0.2473313192346425,"Immediate entry, but skip breakout_distance_atr > 2."
pullback_to_breakout_level_10bar,4762,533,-0.00027030134088156535,-0.001111020359967238,0.4491810163796724,-0.012429922961752653,-0.21689919126681598,-0.012429922961752653,150.90976499442013,120,4.0,5.0,0.41054178916421674,0.31940361192776145,0.27005459890802186,Wait up to ten 1m bars for a pullback touch of the original breakout level.
pullback_to_breakout_level_5bar,4510,785,-0.0002858554192215467,-0.0011328546169538526,0.44811529933481153,-0.01473304457291394,-0.22653178819842862,-0.01473304457291394,149.1704236081833,120,4.0,5.0,0.40931263858093125,0.3170731707317073,0.2736141906873614,Wait up to five 1m bars for a pullback touch of the original breakout level.
immediate_baseline,5295,0,-0.0005354336927159028,-0.0013663154363708111,0.43569405099150144,-0.034654394632135536,-0.3226521325454606,-0.034654394632135536,233.61364637620295,120,4.0,5.0,0.43890462700661,0.3263456090651558,0.23474976392823418,Signal time immediate entry at trace price.
delayed_confirm_3bar,2264,3031,-0.00034290857514418163,-0.0007794121055620452,0.43904593639575973,-0.03766018930845373,-0.14762989467667453,-0.03766018930845373,104.77502727233764,60,4.0,5.0,0.3573321554770318,0.2539752650176678,0.38869257950530034,Wait three 1m bars; enter at the third bar close only if close still confirms the breakout side.
delayed_confirm_1bar,2379,2916,-0.0005316511403100595,-0.001454233018827648,0.4266498528793611,-0.05029295330366025,-0.3962738391623046,-0.05029295330366025,122.21465277115651,120,4.0,5.0,0.45397225725094575,0.3270281630937369,0.21899957965531736,Wait one 1m bar; enter at that bar close only if close still confirms the breakout side.
momentum_followthrough_3bar,1750,3545,-0.0004241150216171279,0.00036002726923279986,0.5428571428571428,-0.058761761987106816,0.08411060816393678,-0.058761761987106816,102.78797344001164,15,4.0,1.5,0.124,0.4217142857142857,0.4542857142857143,Wait three 1m bars; enter only after at least 0.25 ATR favorable follow-through.
avoid_stop_first_profile,2113,3182,-0.0005572152824274156,0.0006412519119896703,0.5177472787505916,-0.0616087501076464,0.12187834327962672,-0.0616087501076464,140.77829255567102,120,4.0,3.0,0.39138665404637957,0.46568859441552296,0.1429247515380975,Use the first three 1m bars as a gate; skip early 1 ATR adverse-first profiles.
