datetime,vt_orderid,symbol,exchange,type,direction,offset,price,volume,traded,status,gateway_name,orderid,reference
2025-01-01 17:12:00+08:00,BACKTESTING.1,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,93254.0,3.57,3.57,全部成交,BACKTESTING,1,
2025-01-01 17:14:00+08:00,BACKTESTING.2,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,93317.3,3.57,3.57,全部成交,BACKTESTING,2,
2025-01-01 17:23:00+08:00,BACKTESTING.3,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,93164.9,3.57,3.57,全部成交,BACKTESTING,3,
2025-01-01 17:26:00+08:00,BACKTESTING.4,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,93031.8,3.57,3.57,全部成交,BACKTESTING,4,
2025-01-01 18:40:00+08:00,BACKTESTING.5,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,93360.7,3.57,3.57,全部成交,BACKTESTING,5,
2025-01-01 18:43:00+08:00,BACKTESTING.6,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,93405.1,3.57,3.57,全部成交,BACKTESTING,6,
2025-01-01 19:02:00+08:00,BACKTESTING.7,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,93238.7,3.57,3.57,全部成交,BACKTESTING,7,
2025-01-01 19:07:00+08:00,BACKTESTING.8,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,93319.3,3.57,3.57,全部成交,BACKTESTING,8,
2025-01-01 20:21:00+08:00,BACKTESTING.9,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,93660.1,3.55,3.55,全部成交,BACKTESTING,9,
2025-01-01 20:28:00+08:00,BACKTESTING.10,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,93975.9,3.55,0.0,已撤销,BACKTESTING,10,
2025-01-01 20:35:00+08:00,BACKTESTING.11,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,93786.5,3.55,3.55,全部成交,BACKTESTING,11,
2025-01-01 21:04:00+08:00,BACKTESTING.12,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,93911.2,3.54,3.54,全部成交,BACKTESTING,12,
2025-01-01 21:08:00+08:00,BACKTESTING.13,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,93781.3,3.54,0.0,已撤销,BACKTESTING,13,
2025-01-01 21:10:00+08:00,BACKTESTING.14,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,93699.8,3.54,3.54,全部成交,BACKTESTING,14,
2025-01-01 21:51:00+08:00,BACKTESTING.15,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,93928.8,3.54,3.54,全部成交,BACKTESTING,15,
2025-01-01 22:00:00+08:00,BACKTESTING.16,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,94134.5,3.54,3.54,全部成交,BACKTESTING,16,
2025-01-01 22:03:00+08:00,BACKTESTING.17,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,94348.1,3.53,3.53,全部成交,BACKTESTING,17,
2025-01-01 22:07:00+08:00,BACKTESTING.18,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,94253.2,3.53,3.53,全部成交,BACKTESTING,18,
2025-01-01 22:47:00+08:00,BACKTESTING.19,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,94184.6,3.53,3.53,全部成交,BACKTESTING,19,
2025-01-01 22:53:00+08:00,BACKTESTING.20,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,94112.7,3.53,3.53,全部成交,BACKTESTING,20,
2025-01-01 23:47:00+08:00,BACKTESTING.21,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,94383.4,3.53,3.53,全部成交,BACKTESTING,21,
2025-01-01 23:59:00+08:00,BACKTESTING.22,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,94452.4,3.53,3.53,全部成交,BACKTESTING,22,
2025-01-02 02:31:00+08:00,BACKTESTING.23,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,94287.3,3.53,3.53,全部成交,BACKTESTING,23,
2025-01-02 02:51:00+08:00,BACKTESTING.24,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,94263.0,3.53,3.53,全部成交,BACKTESTING,24,
2025-01-02 02:57:00+08:00,BACKTESTING.25,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,94389.2,3.53,3.53,全部成交,BACKTESTING,25,
2025-01-02 03:15:00+08:00,BACKTESTING.26,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,94263.9,3.53,3.53,全部成交,BACKTESTING,26,
2025-01-02 03:36:00+08:00,BACKTESTING.27,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,94400.2,3.53,3.53,全部成交,BACKTESTING,27,
2025-01-02 03:46:00+08:00,BACKTESTING.28,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,94644.4,3.53,3.53,全部成交,BACKTESTING,28,
2025-01-02 04:49:00+08:00,BACKTESTING.29,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,94856.2,3.51,3.51,全部成交,BACKTESTING,29,
2025-01-02 04:57:00+08:00,BACKTESTING.30,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,94784.4,3.51,3.51,全部成交,BACKTESTING,30,
2025-01-02 05:21:00+08:00,BACKTESTING.31,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,94995.1,3.5,3.5,全部成交,BACKTESTING,31,
2025-01-02 05:25:00+08:00,BACKTESTING.32,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,94982.2,3.5,3.5,全部成交,BACKTESTING,32,
2025-01-02 05:59:00+08:00,BACKTESTING.33,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,94979.4,3.5,3.5,全部成交,BACKTESTING,33,
2025-01-02 06:03:00+08:00,BACKTESTING.34,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,94884.6,3.5,3.5,全部成交,BACKTESTING,34,
2025-01-02 06:43:00+08:00,BACKTESTING.35,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,94899.5,3.51,3.51,全部成交,BACKTESTING,35,
2025-01-02 06:47:00+08:00,BACKTESTING.36,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,94910.0,3.51,3.51,全部成交,BACKTESTING,36,
2025-01-02 07:08:00+08:00,BACKTESTING.37,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,94940.2,3.51,3.51,全部成交,BACKTESTING,37,
2025-01-02 07:13:00+08:00,BACKTESTING.38,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,94839.0,3.51,3.51,全部成交,BACKTESTING,38,
2025-01-02 07:44:00+08:00,BACKTESTING.39,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,94740.2,3.51,3.51,全部成交,BACKTESTING,39,
2025-01-02 07:49:00+08:00,BACKTESTING.40,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,94642.5,3.51,3.51,全部成交,BACKTESTING,40,
2025-01-02 08:02:00+08:00,BACKTESTING.41,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,94556.4,3.52,3.52,全部成交,BACKTESTING,41,
2025-01-02 08:06:00+08:00,BACKTESTING.42,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,94561.0,3.52,3.52,全部成交,BACKTESTING,42,
2025-01-02 08:17:00+08:00,BACKTESTING.43,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,94474.9,3.52,3.52,全部成交,BACKTESTING,43,
2025-01-02 08:18:00+08:00,BACKTESTING.44,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,94507.0,3.52,3.52,全部成交,BACKTESTING,44,
2025-01-02 08:46:00+08:00,BACKTESTING.45,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,95309.3,2.53,2.53,全部成交,BACKTESTING,45,
2025-01-02 08:55:00+08:00,BACKTESTING.46,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,95203.1,2.53,2.53,全部成交,BACKTESTING,46,
2025-01-02 09:07:00+08:00,BACKTESTING.47,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,95524.2,3.08,3.08,全部成交,BACKTESTING,47,
2025-01-02 09:11:00+08:00,BACKTESTING.48,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,95378.5,3.08,0.0,已撤销,BACKTESTING,48,
2025-01-02 09:13:00+08:00,BACKTESTING.49,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,95343.3,3.08,3.08,全部成交,BACKTESTING,49,
2025-01-02 10:07:00+08:00,BACKTESTING.50,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,95039.6,3.5,3.5,全部成交,BACKTESTING,50,
2025-01-02 10:14:00+08:00,BACKTESTING.51,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,95032.8,3.5,3.5,全部成交,BACKTESTING,51,
2025-01-02 12:00:00+08:00,BACKTESTING.52,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,95154.3,3.5,3.5,全部成交,BACKTESTING,52,
2025-01-02 12:01:00+08:00,BACKTESTING.53,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,95045.7,3.5,3.5,全部成交,BACKTESTING,53,
2025-01-02 12:10:00+08:00,BACKTESTING.54,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,95235.2,3.5,3.5,全部成交,BACKTESTING,54,
2025-01-02 12:16:00+08:00,BACKTESTING.55,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,95176.9,3.5,3.5,全部成交,BACKTESTING,55,
2025-01-02 12:31:00+08:00,BACKTESTING.56,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,95312.4,3.49,3.49,全部成交,BACKTESTING,56,
2025-01-02 12:37:00+08:00,BACKTESTING.57,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,95458.9,3.49,3.49,全部成交,BACKTESTING,57,
2025-01-02 13:23:00+08:00,BACKTESTING.58,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,95670.9,3.48,3.48,全部成交,BACKTESTING,58,
2025-01-02 13:48:00+08:00,BACKTESTING.59,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,95720.5,3.48,3.48,全部成交,BACKTESTING,59,
2025-01-02 14:37:00+08:00,BACKTESTING.60,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,95556.6,3.48,0.0,已撤销,BACKTESTING,60,
2025-01-02 15:08:00+08:00,BACKTESTING.61,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,95688.1,3.48,3.48,全部成交,BACKTESTING,61,
2025-01-02 15:22:00+08:00,BACKTESTING.62,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,95814.8,3.48,3.48,全部成交,BACKTESTING,62,
2025-01-02 15:38:00+08:00,BACKTESTING.63,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,95888.2,3.47,3.47,全部成交,BACKTESTING,63,
2025-01-02 15:43:00+08:00,BACKTESTING.64,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,95827.5,3.47,3.47,全部成交,BACKTESTING,64,
2025-01-03 00:24:00+08:00,BACKTESTING.65,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,97231.2,2.52,2.52,全部成交,BACKTESTING,65,
