hour,entry_count,future_return_5m_mean,future_return_5m_median,mfe_5m_mean,mfe_5m_median,mae_5m_mean,mae_5m_median,future_return_5m_positive_rate,future_return_15m_mean,future_return_15m_median,mfe_15m_mean,mfe_15m_median,mae_15m_mean,mae_15m_median,future_return_15m_positive_rate,future_return_30m_mean,future_return_30m_median,mfe_30m_mean,mfe_30m_median,mae_30m_mean,mae_30m_median,future_return_30m_positive_rate,future_return_60m_mean,future_return_60m_median,mfe_60m_mean,mfe_60m_median,mae_60m_mean,mae_60m_median,future_return_60m_positive_rate,future_return_120m_mean,future_return_120m_median,mfe_120m_mean,mfe_120m_median,mae_120m_mean,mae_120m_median,future_return_120m_positive_rate,mfe_atr_median,mfe_atr_mean,mae_atr_median,mae_atr_mean,take_profit_first_rate,stop_first_rate
0,327,-0.0013432758822352648,-0.0004433400039583417,0.0022729947709382702,0.0008433186070411363,0.003658240063800312,0.0016456294990194538,0.4036697247706422,-0.0016730480106818255,-0.000438888888888835,0.003387147384488046,0.0014795805752900342,0.005267614525206366,0.0026588460246505636,0.40978593272171254,-0.0017039982774664634,-0.0008831446384314649,0.004678894797822901,0.0020898398410046128,0.006432086495816159,0.0033254838252937974,0.37920489296636084,-0.0014250476411038896,-0.0009765086230676447,0.006457211777030925,0.0033034896569860525,0.008063333581150946,0.004615354481285465,0.43730886850152906,-0.0012852194352904126,-0.001285173096159934,0.008955661228553744,0.005400514443103958,0.010154289972584598,0.007357904210141565,0.3761467889908257,3.389693183707133,5.815859682483176,4.686270065901062,5.748646254667679,0.2599388379204893,0.7370030581039755
1,311,-0.00047245398651448144,-0.00012817488255268973,0.0024465849764708,0.0008702847520787549,0.002571334700880766,0.0014267561788596868,0.4533762057877814,-0.0006717320079488883,-0.00028534815068457614,0.0035081223388187793,0.0014523937083458774,0.003818563896797518,0.0022387918113343577,0.43729903536977494,-0.0005786399366535436,-0.000417289414315164,0.005122578183603547,0.002197835082568514,0.004849398796686579,0.002893785944501934,0.43729903536977494,-0.00046465260163966834,-0.0006602500784046968,0.006698125281810544,0.0033527236625777255,0.006408621832637446,0.0038716762509175464,0.42443729903536975,0.0002034021268826829,-0.000687184109472739,0.009238073543636413,0.0052231341174241415,0.008016200760937921,0.005536610383258033,0.47266881028938906,3.7794758203752252,6.264463134658162,3.9299917644437175,5.264508991547662,0.3183279742765273,0.6720257234726688
2,288,-0.0005746248503723283,-0.0001095905399723139,0.0016525773744830653,0.0008521364919061538,0.002435376082872421,0.001195041987620377,0.4513888888888889,-0.0007382825635645828,-0.00012104138891626311,0.0028422841622605137,0.0015381824742706108,0.0034003710381920924,0.0019391810350166414,0.4583333333333333,-0.00029905815493287143,-0.00037678326556519196,0.00408257378754107,0.0020427793102118287,0.004299085843239174,0.0026984177813676657,0.4270833333333333,-0.00041308915926862027,2.5953353173481763e-06,0.005690941054319699,0.0029810949504455175,0.005380866828034032,0.003522277450117955,0.5,-0.0008861982994759422,-0.000897279191639981,0.007621787916338052,0.004679494768579222,0.0077548976008143256,0.004982166747897483,0.4131944444444444,3.376375683038835,5.770603467322593,3.96658186113756,5.841885118138037,0.2916666666666667,0.6944444444444444
3,304,-0.0004071242251041765,-0.0001711367393885601,0.0017794895619829137,0.0007930158839728302,0.002180511613165903,0.0012969761043172758,0.45723684210526316,-0.0008427472931166543,-0.0004527063365871825,0.0026730271548912254,0.0013100091017308878,0.003298990334712524,0.001915357307459319,0.4342105263157895,-0.0010158229625190517,-0.0005554172375555515,0.0036508355239537435,0.0018187095400030318,0.004399649388418811,0.0025491981370731566,0.4440789473684211,-0.001700294141469889,-0.0010300895815483963,0.00515007791862729,0.0023019015785066326,0.006200106425305017,0.00397106943508105,0.3815789473684211,-0.0020459894015841403,-0.0015156410922146947,0.006448411209594373,0.003482430508749396,0.008044559496575177,0.005152183381407285,0.3782894736842105,2.826473857676625,5.378434702682125,4.209271606900046,6.287396891134347,0.3157894736842105,0.6743421052631579
4,299,-0.0006611151048024498,-0.0001865839445950937,0.0016254583512247671,0.0005984580903319682,0.002100311133029358,0.0012521656200046656,0.4280936454849498,-0.001038958437928084,-0.00032826849598605376,0.00233696549037684,0.0011324200913242009,0.003197875850163706,0.0019288901110507252,0.4180602006688963,-0.001455972994190835,-0.0007706624789159084,0.003277122640778251,0.0016337354419258595,0.0042925437688329845,0.0025822800665803603,0.3879598662207358,-0.0013997808878466306,-0.0009731671620132412,0.004754295554097455,0.0021034530407948175,0.005615141816559993,0.0036664200606608007,0.38127090301003347,-0.0011507361180264125,-0.0006027188896282363,0.006471493101687125,0.0037232092358326203,0.007150376684578873,0.0047480407154360405,0.43812709030100333,3.263411537466882,6.186458152254393,4.163251820175053,6.348614731070963,0.2909698996655518,0.6923076923076923
5,322,-4.227092084687077e-05,-0.00020784802101907012,0.0017968689219883727,0.0007681719234823644,0.0018252587278663173,0.0011550631018375154,0.4409937888198758,-0.00021744171808453923,-0.00042212591273219893,0.0028134075558196637,0.0012910612462443717,0.002689952548334309,0.002017497931906008,0.40683229813664595,-0.0005594047229594622,-0.0005176635788113251,0.003687989688612794,0.0018049040106077887,0.003592061746510673,0.0024897873863206875,0.40993788819875776,-0.0007320103530199751,-0.0005035468585371307,0.005050933036764788,0.0027049105616222995,0.0047711439751687386,0.0033946604621565703,0.422360248447205,-0.0005677696039602028,-0.0005953884437779459,0.006958440700851389,0.0037169407087088912,0.0061290387372573635,0.0042664707216793045,0.4440993788819876,3.7415022941481038,7.211853102399879,4.088735089285092,6.082412252903511,0.32298136645962733,0.6677018633540373
6,312,-0.00028797573675541307,-7.297962113288976e-05,0.0017203654384508838,0.00082490810939432,0.0017067466202505123,0.0011702813849808055,0.46474358974358976,-0.0002688520459670389,-0.00011141698981973538,0.0026825793623074814,0.0013906306278313493,0.00261321032755325,0.0017491046929173789,0.47435897435897434,-0.00025274139691182276,-0.00020795880168524928,0.0035383882044822145,0.0018609357630620343,0.0032549687314409304,0.0022068802238909375,0.4583333333333333,3.0308743063184647e-05,0.00013078344569714416,0.005255455342100882,0.002936846587032378,0.004209094168894199,0.0028595848718566195,0.5128205128205128,-6.106961270191325e-05,0.00019856059513502483,0.007682182300278177,0.005201754263235005,0.00622945400168196,0.004248534375288746,0.5224358974358975,4.73445925696498,8.851931479937411,3.7348984371767835,5.834756784234533,0.34935897435897434,0.6378205128205128
7,308,-0.00032301713805503213,-5.064213992107524e-05,0.001438791339089139,0.0007334555109664346,0.001682233054394626,0.0011532964261259577,0.4577922077922078,-0.0005807065144950599,-0.00022573024760907842,0.0026050012554173934,0.0013378297690851233,0.0025653377005691756,0.001679898407404783,0.44155844155844154,-0.0005754808177640329,-0.000553721101905273,0.0036585819967695082,0.0019266913392353264,0.003420030767835636,0.0023717894635299757,0.39935064935064934,-0.0009991932439390504,-0.0006814873885055673,0.005270330732002121,0.0030464496376110053,0.004779878783854751,0.0032492498963554543,0.41883116883116883,-0.0008183878377086081,-0.001033522794842391,0.0072760046365044255,0.00469400467413662,0.006942961356800923,0.00503913444779636,0.4155844155844156,4.552010862795945,7.56431383720701,4.863955751943589,6.481042111462554,0.37337662337662336,0.6233766233766234
8,316,-0.0008707086507835921,-0.00020222598565120158,0.001610265014981463,0.0008585383432502163,0.0024541233825771365,0.0013699329809727652,0.43037974683544306,-0.0008792354701259777,-0.0004484934853678093,0.0027986354183061274,0.0013924891658035569,0.0036002513550643465,0.002131213020793011,0.40189873417721517,-0.0011287924601563071,-0.0007153732539050042,0.003801703586931018,0.0021580590654553993,0.004521946561106096,0.0030318806841537686,0.4208860759493671,-0.0016349437694235084,-0.0010783370818778894,0.005016870811703361,0.0030094974875378056,0.005896796209347953,0.004041225986746702,0.379746835443038,-0.001586692927794184,-0.0015314743506213949,0.006697693324292192,0.004466547574846877,0.007888094756535076,0.005733816608612904,0.39556962025316456,3.9086529880893317,6.144154336420762,4.9063014165063645,6.536180492216501,0.310126582278481,0.6867088607594937
9,288,-0.000609873315092492,-0.0003244992664475673,0.0018616900967538556,0.0007670773821546391,0.002511511886901947,0.0014009216388940111,0.4166666666666667,-0.0011391477316740988,-0.0005759015136327958,0.0029866378997688513,0.0014820416068427383,0.003659822216119166,0.0021498568673278895,0.4027777777777778,-0.0013665483722082271,-0.0008154423299785939,0.004020614722749869,0.0018829539704506226,0.0047545835601360735,0.0029460142565846574,0.3854166666666667,-0.0014229356398839828,-0.0008654233051881989,0.005645558981027636,0.0027962897203471252,0.006033789191164146,0.004163574788374071,0.3819444444444444,-0.0017362473057519012,-0.0009572719604924722,0.007169591181685574,0.004259587722764138,0.007901704533276413,0.00521390512594453,0.4166666666666667,3.481132829312645,5.911873902002446,4.361258736678794,6.196056012452498,0.3298611111111111,0.6666666666666666
