policy_name,base_policy_name,atr_mult,timeframe,train_trade_count,validation_trade_count,oos_trade_count,train_no_cost_net_pnl,validation_no_cost_net_pnl,oos_no_cost_net_pnl,train_net_pnl,validation_net_pnl,oos_net_pnl,train_cost_drag,validation_cost_drag,oos_cost_drag,train_max_ddpercent,validation_max_ddpercent,oos_max_ddpercent,train_top_5pct_trade_pnl_contribution,validation_top_5pct_trade_pnl_contribution,oos_top_5pct_trade_pnl_contribution,train_no_cost_positive,validation_no_cost_positive,oos_no_cost_positive,oos_cost_aware_nonnegative,oos_cost_drag_explainable,drawdown_controlled,trade_count_sufficient,stable_candidate,strategy_v2_candidate
tf_4h_donchian_20_with_risk_filters_atr5,tf_4h_donchian_20_with_risk_filters,5.0,4h,4.0,4.0,5.0,-1.6273300000000004,-1.0919800000000004,1.0401200000000013,-1.6680692150000005,-1.1299098100000005,0.9995392700000012,0.0407392149999998,0.03792981,0.0405807300000001,0.0333613843000057,0.0225981961999968,0.0116979330412385,0.1924320628385914,-0.1086949143312597,1.4973676471960906,False,False,True,True,False,True,False,False,False
tf_4h_donchian_20_with_risk_filters_atr3,tf_4h_donchian_20_with_risk_filters,3.0,4h,4.0,4.0,5.0,-1.416190000000001,-0.9068400000000008,1.0355300000000005,-1.4570203850000012,-0.9448623800000008,0.9949469750000004,0.0408303850000002,0.03802238,0.0405830249999999,0.029140407699997,0.018897247599998,0.0104820476166186,0.1820268801524007,-0.129982368437613,1.4385340233835062,False,False,True,True,False,True,False,False,False
tf_4h_donchian_20_with_risk_filters_atr4,tf_4h_donchian_20_with_risk_filters,4.0,4h,4.0,4.0,5.0,-1.61147,-1.0919800000000004,0.8018300000000018,-1.652201285,-1.1299098100000005,0.7611301250000017,0.0407312849999998,0.03792981,0.0406998750000001,0.0330440257000009,0.0225981961999968,0.0116984906699623,0.1942802023665052,-0.1086949143312597,1.6531583479237502,False,False,True,True,False,True,False,False,False
tf_4h_donchian_20_10_atr5,tf_4h_donchian_20_10,5.0,4h,28.0,11.0,10.0,-7.165310000000001,-1.1432300000000015,0.8053199999999984,-7.453522065000002,-1.253875405000002,0.728355049999998,0.2882120650000015,0.1106454050000003,0.0769649500000003,0.1490704412999912,0.041413818507044,0.0222885261925741,-0.1742686703913312,-0.4221249638435961,2.054873876415086,False,False,True,True,False,True,True,False,False
tf_4h_ema_cross_atr_trail_atr3,tf_4h_ema_cross_atr_trail,3.0,4h,74.0,32.0,26.0,-1.6104899999999975,-1.410280000000002,0.5369900000000022,-2.3729105049999983,-1.727776610000002,0.3376273450000023,0.7624205050000008,0.31749661,0.1993626549999999,0.050484257250948,0.0431846491361618,0.0272624066941903,-1.3687924294473142,-1.094149914438301,5.920157400165516,False,False,True,True,False,True,True,False,False
tf_4h_donchian_20_10_atr3,tf_4h_donchian_20_10,3.0,4h,32.0,11.0,11.0,-6.4765500000000005,-0.9105400000000036,0.366909999999998,-6.803751195,-1.0212146200000038,0.2831196649999976,0.3272011949999998,0.1106746200000001,0.0837903350000004,0.1360750238999935,0.0367613631614825,0.0298825715754263,-0.2022071200973714,-0.5182966436575285,5.055336142051495,False,False,True,True,False,True,True,False,False
tf_4h_ema_cross_atr_trail_atr5,tf_4h_ema_cross_atr_trail,5.0,4h,74.0,32.0,25.0,-2.1944299999999983,-1.410280000000002,0.471530000000003,-2.957142474999999,-1.727776610000002,0.2793054550000028,0.7627124750000007,0.31749661,0.1922245450000001,0.0621685429003762,0.0431846491361618,0.0272627245961109,-1.0422145165663692,-1.094149914438301,7.390545648311733,False,False,True,True,False,True,True,False,False
tf_4h_ema_cross_atr_trail_atr4,tf_4h_ema_cross_atr_trail,4.0,4h,74.0,32.0,26.0,-2.1944299999999983,-1.410280000000002,0.3402400000000037,-2.957142474999999,-1.727776610000002,0.1408028100000036,0.7627124750000007,0.31749661,0.1994371900000001,0.0621685429003762,0.0431846491361618,0.0272634795783248,-1.0422145165663692,-1.094149914438301,12.967145826137653,False,False,True,True,False,True,True,False,False
tf_4h_donchian_20_10_atr4,tf_4h_donchian_20_10,4.0,4h,29.0,11.0,11.0,-6.847660000000001,-1.1432300000000015,0.1332099999999992,-7.146693920000002,-1.253875405000002,0.0493028149999988,0.2990339200000012,0.1106454050000003,0.0839071850000003,0.1429338783999992,0.041413818507044,0.0310996227705861,-0.1731806012478561,-0.4221249638435961,25.521232813989016,False,False,True,True,False,True,True,False,False
tf_1h_donchian_55_with_risk_filters_atr3,tf_1h_donchian_55_with_risk_filters,3.0,1h,2.0,2.0,2.0,-0.3345199999999997,-0.0148699999999997,-0.3960199999999997,-0.3557125499999997,-0.0352119049999997,-0.4141999399999997,0.0211925499999999,0.020341905,0.0181799399999999,0.0071142510000026,0.0039789100999951,0.0082839987999977,0.1350285223279295,-4.649950066603929,0.0856350437906865,False,False,False,False,False,True,False,False,False
