policy_name,date,trade_count,gross_pnl,net_pnl,no_cost_net_pnl,fee_total,slippage_total,cumulative_net_pnl,equity
v3_1d_donchian_20_10_atr4,2026-01-31,1,-0.97955,-0.9884891650000001,-0.97955,0.008899165,4e-05,-0.9884891650000001,4999.011510835
v3_1d_donchian_20_10_atr4,2026-02-02,1,-1.5745099999999999,-1.577677305,-1.5745099999999999,0.003127305,4e-05,-2.5661664699999998,4997.43383353
v3_1d_donchian_20_10_atr4,2026-03-05,3,1.3391399999999989,1.3297784699999988,1.3391399999999989,0.008881530000000002,0.00048,-1.2363880000000012,4998.763612
v3_1d_donchian_20_10_atr4,2026-03-23,1,-0.012579999999999992,-0.012714109999999992,-0.012579999999999992,9.411e-05,4e-05,-1.249102110000001,4998.75089789
v3_1d_donchian_20_10_atr4,2026-03-28,1,-0.5934800000000003,-0.6004215200000004,-0.5934800000000003,0.006901520000000001,4e-05,-1.8495236300000015,4998.15047637
v3_1d_donchian_20_10_atr4,2026-03-31,1,-0.13030000000000003,-0.13157335000000003,-0.13030000000000003,0.00087335,0.0004,-1.9810969800000016,4998.01890302
v3_1d_donchian_55_20_atr5,2026-01-31,1,-1.3702100000000006,-1.3793444950000007,-1.3702100000000006,0.009094495000000001,4e-05,-1.3793444950000007,4998.620655505
v3_1d_donchian_55_20_atr5,2026-02-06,1,-1.92164,-1.92463374,-1.92164,0.00295374,4e-05,-3.3039782350000007,4996.696021765
v3_1d_donchian_55_20_atr5,2026-03-05,1,0.6757399999999995,0.6681638699999994,0.6757399999999995,0.007536130000000001,4e-05,-2.635814365000001,4997.364185635
v3_1d_donchian_55_20_atr5,2026-03-14,1,0.006010000000000008,0.005866595000000008,0.006010000000000008,0.000103405,4e-05,-2.629947770000001,4997.37005223
v3_1d_donchian_55_20_atr5,2026-03-17,1,-0.09519999999999997,-0.09649089999999996,-0.09519999999999997,0.0008909,0.0004,-2.726438670000001,4997.27356133
v3_1d_ema_50_200_atr5,2026-01-04,1,-0.3714800000000003,-0.3805066300000003,-0.3714800000000003,0.00898663,4e-05,-0.3805066300000003,4999.61949337
v3_1d_ema_50_200_atr5,2026-01-05,1,-0.285,-0.2883965,-0.285,0.0013965000000000002,0.002,-0.6689031300000003,4999.33109687
v3_1d_ema_50_200_atr5,2026-01-06,2,-0.08402999999999995,-0.08596155499999994,-0.08402999999999995,0.0014915550000000003,0.00044,-0.7548646850000003,4999.245135315
v3_1d_ema_50_200_atr5,2026-01-07,1,-0.06286000000000012,-0.06615512000000012,-0.06286000000000012,0.00325512,4e-05,-0.8210198050000004,4999.178980195
v3_1d_ema_50_200_atr5,2026-01-09,1,-0.001699999999999875,-0.0034764499999998754,-0.001699999999999875,0.0013764500000000002,0.0004,-0.8244962550000002,4999.175503745
v3_1d_ema_50_200_atr5,2026-01-10,1,-0.24861000000000058,-0.25774789500000056,-0.24861000000000058,0.009097895000000002,4e-05,-1.0822441500000008,4998.91775585
v3_1d_ema_50_200_atr5,2026-01-14,1,-0.0023900000000000076,-0.002564925000000008,-0.0023900000000000076,0.00013492499999999999,4e-05,-1.0848090750000008,4998.915190925
v3_1d_ema_50_200_atr5,2026-01-15,2,-0.3021,-0.30886765,-0.3021,0.00472765,0.00204,-1.3936767250000008,4998.606323275
v3_1d_ema_50_200_atr5,2026-01-18,2,-0.11933000000000005,-0.12282113500000004,-0.11933000000000005,0.0034111350000000005,8e-05,-1.5164978600000008,4998.48350214
v3_1d_ema_50_200_atr5,2026-03-14,1,0.027620000000000006,0.027465790000000007,0.027620000000000006,0.00011420999999999999,4e-05,-1.4890320700000008,4998.51096793
v3_1d_ema_50_200_atr5,2026-03-17,1,1.794379999999999,1.786115199999999,1.794379999999999,0.0082248,4e-05,0.2970831299999981,5000.29708313
v3_1d_ema_50_200_atr5,2026-03-18,1,-0.059000000000000004,-0.061346500000000005,-0.059000000000000004,0.0023065,4e-05,0.2357366299999981,5000.23573663
v3_1d_ema_50_200_atr5,2026-03-31,3,0.6421899999999999,0.6376309949999999,0.6421899999999999,0.0021190049999999998,0.00244,0.873367624999998,5000.873367625
v3_4h_donchian_100_30_atr5,2026-01-05,1,-0.6973800000000001,-0.7010284800000002,-0.6973800000000001,0.0036084800000000003,4e-05,-0.7010284800000002,4999.29897152
v3_4h_donchian_100_30_atr5,2026-01-19,1,0.024080000000000292,0.014719140000000292,0.024080000000000292,0.00932086,4e-05,-0.6863093399999999,4999.31369066
v3_4h_donchian_100_30_atr5,2026-02-10,1,0.03048,0.030330580000000003,0.03048,0.00010941999999999999,4e-05,-0.6559787599999999,4999.34402124
v3_4h_donchian_100_30_atr5,2026-02-21,1,1.997990000000001,1.990155915000001,1.997990000000001,0.007794085000000001,4e-05,1.3341771550000012,5001.334177155
v3_4h_donchian_100_30_atr5,2026-02-26,1,-0.0076900000000000015,-0.007819505000000001,-0.0076900000000000015,8.950500000000002e-05,4e-05,1.326357650000001,5001.32635765
v3_4h_donchian_100_30_atr5,2026-03-04,1,-0.6659900000000009,-0.6728069650000009,-0.6659900000000009,0.006776965000000001,4e-05,0.6535506850000001,5000.653550685
v3_4h_donchian_100_30_atr5,2026-03-05,1,0.2713,0.26984644999999996,0.2713,0.00105355,0.0004,0.9233971350000001,5000.923397135
v3_4h_donchian_100_30_atr5,2026-03-08,2,-1.5782200000000004,-1.5873747600000003,-1.5782200000000004,0.009074760000000001,8e-05,-0.6639776250000002,4999.336022375
v3_4h_donchian_100_30_atr5,2026-03-11,1,-0.5505499999999998,-0.5524759249999998,-0.5505499999999998,0.001885925,4e-05,-1.21645355,4998.78354645
v3_4h_donchian_100_30_atr5,2026-03-17,1,-0.0022699999999999856,-0.0024092649999999855,-0.0022699999999999856,9.926499999999999e-05,4e-05,-1.218862815,4998.781137185
v3_4h_donchian_100_30_atr5,2026-03-31,1,-0.0656300000000003,-0.0723075950000003,-0.0656300000000003,0.006637595000000001,4e-05,-1.2911704100000003,4998.70882959
v3_4h_donchian_20_10_atr4,2026-01-03,1,-0.19699999999999995,-0.20027849999999994,-0.19699999999999995,0.0012784999999999997,0.002,-0.20027849999999994,4999.7997215
v3_4h_donchian_20_10_atr4,2026-01-05,1,-0.6502200000000002,-0.6538449000000003,-0.6502200000000002,0.0035849000000000002,4e-05,-0.8541234000000002,4999.1458766
v3_4h_donchian_20_10_atr4,2026-01-08,1,-0.20096000000000058,-0.21007407000000058,-0.20096000000000058,0.009074069999999998,4e-05,-1.0641974700000008,4998.93580253
v3_4h_donchian_20_10_atr4,2026-01-12,1,-0.3381900000000009,-0.34737268500000085,-0.3381900000000009,0.009142685000000001,4e-05,-1.4115701550000015,4998.588429845
v3_4h_donchian_20_10_atr4,2026-01-16,1,-0.08300000000000002,-0.08643050000000002,-0.08300000000000002,0.0014305,0.002,-1.4980006550000016,4998.501999345
v3_4h_donchian_20_10_atr4,2026-01-19,1,0.02111999999999971,0.011757659999999708,0.02111999999999971,0.00932234,4e-05,-1.486242995000002,4998.513757005
v3_4h_donchian_20_10_atr4,2026-01-28,2,0.1560000000000003,0.15095030000000031,0.1560000000000003,0.0026497,0.0024000000000000002,-1.3352926950000017,4998.664707305
v3_4h_donchian_20_10_atr4,2026-01-30,2,-0.12146999999999994,-0.12327541499999994,-0.12146999999999994,0.001365415,0.00044,-1.4585681100000016,4998.54143189
v3_4h_donchian_20_10_atr4,2026-02-03,1,0.07150000000000004,0.06836125000000004,0.07150000000000004,0.00113875,0.002,-1.3902068600000015,4998.60979314
v3_4h_donchian_20_10_atr4,2026-02-10,2,0.19635,0.188860975,0.19635,0.007409025,8e-05,-1.2013458850000016,4998.798654115
v3_4h_donchian_20_10_atr4,2026-02-14,3,0.7631700000000003,0.7506317950000002,0.7631700000000003,0.010458205000000002,0.0020800000000000003,-0.4507140900000013,4999.54928591
v3_4h_donchian_20_10_atr4,2026-02-17,2,-0.04405000000000006,-0.04720742500000007,-0.04405000000000006,0.0011174249999999998,0.00204,-0.49792151500000137,4999.502078485
v3_4h_donchian_20_10_atr4,2026-02-20,1,-0.1993800000000003,-0.20619031000000032,-0.1993800000000003,0.006770310000000001,4e-05,-0.7041118250000017,4999.295888175
v3_4h_donchian_20_10_atr4,2026-02-21,2,-0.09580999999999996,-0.09720861499999997,-0.09580999999999996,0.0009586150000000001,0.00044,-0.8013204400000017,4999.19867956
v3_4h_donchian_20_10_atr4,2026-02-23,1,-0.0011999999999999923,-0.0013339499999999924,-0.0011999999999999923,9.395000000000001e-05,4e-05,-0.8026543900000016,4999.19734561
v3_4h_donchian_20_10_atr4,2026-02-25,1,-0.25191999999999987,-0.25398442999999987,-0.25191999999999987,0.00202443,4e-05,-1.0566388200000016,4998.94336118
v3_4h_donchian_20_10_atr4,2026-02-26,2,-0.2784500000000001,-0.2881559250000001,-0.2784500000000001,0.0076659250000000005,0.00204,-1.3447947450000015,4998.655205255
v3_4h_donchian_20_10_atr4,2026-02-27,2,-0.11310000000000009,-0.11736195000000009,-0.11310000000000009,0.0018619499999999998,0.0024000000000000002,-1.4621566950000018,4998.537843305
v3_4h_donchian_20_10_atr4,2026-03-05,2,-0.415,-0.42049549999999997,-0.415,0.0034555000000000002,0.00204,-1.8826521950000017,4998.117347805
v3_4h_donchian_20_10_atr4,2026-03-06,1,-0.13751000000000058,-0.14459120500000058,-0.13751000000000058,0.007041205000000001,4e-05,-2.0272434000000024,4997.9727566
v3_4h_donchian_20_10_atr4,2026-03-07,2,-0.15940000000000012,-0.16365220000000014,-0.15940000000000012,0.0018522,0.0024000000000000002,-2.1908956000000024,4997.8091044
v3_4h_donchian_20_10_atr4,2026-03-10,1,-0.2893899999999994,-0.2962175549999994,-0.2893899999999994,0.0067875550000000015,4e-05,-2.487113155000002,4997.512886845
v3_4h_donchian_20_10_atr4,2026-03-11,1,-0.5241500000000001,-0.5260627250000002,-0.5241500000000001,0.0018727250000000002,4e-05,-3.013175880000002,4996.98682412
v3_4h_donchian_20_10_atr4,2026-03-13,1,-0.06359999999999999,-0.06486379999999999,-0.06359999999999999,0.0008638000000000002,0.0004,-3.078039680000002,4996.92196032
v3_4h_donchian_20_10_atr4,2026-03-15,1,0.002080000000000002,0.001943520000000002,0.002080000000000002,9.648000000000001e-05,4e-05,-3.076096160000002,4996.92390384
v3_4h_donchian_20_10_atr4,2026-03-17,1,-0.004749999999999996,-0.004890504999999996,-0.004749999999999996,0.00010050500000000001,4e-05,-3.080986665000002,4996.919013335
v3_4h_donchian_20_10_atr4,2026-03-19,1,-0.05001000000000022,-0.05234785500000022,-0.05001000000000022,0.002297855,4e-05,-3.1333345200000022,4996.86666548
v3_4h_donchian_20_10_atr4,2026-03-22,1,-0.005200000000000102,-0.006500300000000102,-0.005200000000000102,0.0009003,0.0004,-3.139834820000002,4996.86016518
v3_4h_donchian_20_10_atr4,2026-03-25,3,-0.17618999999999946,-0.18641206499999946,-0.17618999999999946,0.008142065,0.0020800000000000003,-3.326246885000002,4996.673753115
v3_4h_donchian_20_10_atr4,2026-03-26,3,-0.11482999999999989,-0.11920442499999989,-0.11482999999999989,0.001934425,0.00244,-3.4454513100000015,4996.55454869
v3_4h_donchian_20_10_atr4,2026-03-27,1,-0.38098000000000004,-0.38343755,-0.38098000000000004,0.00241755,4e-05,-3.828888860000002,4996.17111114
v3_4h_donchian_20_10_atr4,2026-03-30,2,-0.10678000000000017,-0.11477289000000017,-0.10678000000000017,0.007552890000000001,0.00044,-3.9436617500000017,4996.05633825
v3_4h_donchian_20_10_atr4,2026-03-31,1,-0.06406999999999993,-0.06613160499999993,-0.06406999999999993,0.002021605,4e-05,-4.009793355000002,4995.990206645
v3_4h_donchian_55_20_atr4,2026-01-03,1,-0.19699999999999995,-0.20027849999999994,-0.19699999999999995,0.0012784999999999997,0.002,-0.20027849999999994,4999.7997215
v3_4h_donchian_55_20_atr4,2026-01-05,1,-0.6973800000000001,-0.7010284800000002,-0.6973800000000001,0.0036084800000000003,4e-05,-0.9013069800000001,4999.09869302
v3_4h_donchian_55_20_atr4,2026-01-08,1,-0.3352300000000003,-0.3444112050000003,-0.3352300000000003,0.009141205,4e-05,-1.2457181850000003,4998.754281815
v3_4h_donchian_55_20_atr4,2026-01-19,1,-0.44670000000000004,-0.45629625,-0.44670000000000004,0.00955625,4e-05,-1.7020144350000004,4998.297985565
v3_4h_donchian_55_20_atr4,2026-01-28,3,0.060600000000000015,0.055418550000000004,0.060600000000000015,0.0027414500000000003,0.00244,-1.6465958850000004,4998.353404115
v3_4h_donchian_55_20_atr4,2026-02-10,1,1.1761199999999998,1.1682752699999999,1.1761199999999998,0.007804729999999999,4e-05,-0.47832061500000056,4999.521679385
v3_4h_donchian_55_20_atr4,2026-02-15,1,0.11050000000000004,0.10740025000000004,0.11050000000000004,0.00109975,0.002,-0.37092036500000053,4999.629079635
v3_4h_donchian_55_20_atr4,2026-02-17,1,-0.0023000000000000043,-0.002435550000000004,-0.0023000000000000043,9.554999999999999e-05,4e-05,-0.37335591500000054,4999.626644085
v3_4h_donchian_55_20_atr4,2026-02-19,1,-0.09600000000000011,-0.09904400000000012,-0.09600000000000011,0.001044,0.002,-0.47239991500000067,4999.527600085
v3_4h_donchian_55_20_atr4,2026-02-26,3,-0.4324100000000006,-0.44347247500000064,-0.4324100000000006,0.008622475000000001,0.0024400000000000003,-0.9158723900000013,4999.08412761
v3_4h_donchian_55_20_atr4,2026-03-05,2,-0.43600000000000005,-0.441506,-0.43600000000000005,0.0034660000000000003,0.00204,-1.3573783900000014,4998.64262161
v3_4h_donchian_55_20_atr4,2026-03-07,2,-0.9644200000000008,-0.9738816600000009,-0.9644200000000008,0.00938166,8e-05,-2.3312600500000022,4997.66873995
v3_4h_donchian_55_20_atr4,2026-03-08,1,-0.08590000000000003,-0.08717495000000003,-0.08590000000000003,0.0008749500000000001,0.0004,-2.4184350000000023,4997.581565
v3_4h_donchian_55_20_atr4,2026-03-11,1,-0.5241500000000001,-0.5260627250000002,-0.5241500000000001,0.0018727250000000002,4e-05,-2.9444977250000024,4997.055502275
v3_4h_donchian_55_20_atr4,2026-03-16,1,-0.003089999999999993,-0.003228854999999993,-0.003089999999999993,9.8855e-05,4e-05,-2.9477265800000025,4997.05227342
v3_4h_donchian_55_20_atr4,2026-03-17,1,-0.004749999999999996,-0.004890504999999996,-0.004749999999999996,0.00010050500000000001,4e-05,-2.952617085000002,4997.047382915
v3_4h_donchian_55_20_atr4,2026-03-19,1,-0.41392999999999985,-0.41634696499999985,-0.41392999999999985,0.0023769650000000004,4e-05,-3.3689640500000024,4996.63103595
v3_4h_donchian_55_20_atr4,2026-03-25,2,-0.06326999999999994,-0.06634060499999994,-0.06326999999999994,0.001030605,0.00204,-3.435304655000002,4996.564695345
v3_4h_donchian_55_20_atr4,2026-03-31,2,0.0875499999999998,0.07870217499999979,0.0875499999999998,0.008767825000000002,8e-05,-3.3566024800000025,4996.64339752
