policy_name,time,net_pnl,no_cost_net_pnl,cumulative_net_pnl,cumulative_no_cost_net_pnl,equity,no_cost_equity,drawdown,ddpercent
v3_1d_donchian_20_10_atr4,2026-01-06T00:00:00+08:00,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0,0.0
v3_1d_donchian_20_10_atr4,2026-01-31T00:00:00+08:00,-0.9884891650000001,-0.97955,-0.988489164999919,-0.9795500000000175,4999.011510835,4999.02045,0.988489164999919,0.01976978329999838
v3_1d_donchian_20_10_atr4,2026-02-02T00:00:00+08:00,-1.577677305,-1.5745099999999999,-2.5661664700000983,-2.5540600000003906,4997.43383353,4997.44594,2.5661664700000983,0.05132332940000196
v3_1d_donchian_20_10_atr4,2026-03-05T00:00:00+08:00,1.2032861749999988,1.211129999999999,-1.3628802949997407,-1.3429299999997966,4998.637119705,4998.65707,1.3628802949997407,0.027257605899994816
v3_1d_donchian_20_10_atr4,2026-03-05T00:00:00+08:00,0.010468894999999999,0.01061,-1.3524114000001646,-1.3323200000004363,4998.6475886,4998.66768,1.3524114000001646,0.027048228000003293
v3_1d_donchian_20_10_atr4,2026-03-05T00:00:00+08:00,0.11602339999999996,0.11739999999999995,-1.236388000000261,-1.2149200000003475,4998.763612,4998.78508,1.236388000000261,0.02472776000000522
v3_1d_donchian_20_10_atr4,2026-03-23T00:00:00+08:00,-0.012714109999999992,-0.012579999999999992,-1.2491021100004218,-1.2274999999999636,4998.75089789,4998.7725,1.2491021100004218,0.02498204220000844
v3_1d_donchian_20_10_atr4,2026-03-28T00:00:00+08:00,-0.6004215200000004,-0.5934800000000003,-1.8495236299995668,-1.820980000000418,4998.15047637,4998.17902,1.8495236299995668,0.03699047259999134
v3_1d_donchian_20_10_atr4,2026-03-31T23:59:00+08:00,-0.13157335000000003,-0.13030000000000003,-1.9810969800000748,-1.9512800000002244,4998.01890302,4998.04872,1.9810969800000748,0.039621939600001495
v3_1d_donchian_55_20_atr5,2026-01-15T00:00:00+08:00,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0,0.0
v3_1d_donchian_55_20_atr5,2026-01-31T00:00:00+08:00,-1.3793444950000007,-1.3702100000000006,-1.3793444949997138,-1.3702100000000428,4998.620655505,4998.62979,1.3793444949997138,0.027586889899994277
v3_1d_donchian_55_20_atr5,2026-02-06T00:00:00+08:00,-1.92463374,-1.92164,-3.303978234999704,-3.291849999999613,4996.696021765,4996.70815,3.303978234999704,0.06607956469999407
v3_1d_donchian_55_20_atr5,2026-03-05T00:00:00+08:00,0.6681638699999994,0.6757399999999995,-2.635814365000442,-2.616109999999935,4997.364185635,4997.38389,2.635814365000442,0.052716287300008845
v3_1d_donchian_55_20_atr5,2026-03-14T00:00:00+08:00,0.005866595000000008,0.006010000000000008,-2.629947770000399,-2.610099999999875,4997.37005223,4997.3899,2.629947770000399,0.05259895540000798
v3_1d_donchian_55_20_atr5,2026-03-17T00:00:00+08:00,-0.09649089999999996,-0.09519999999999997,-2.7264386699998795,-2.7052999999996246,4997.27356133,4997.2947,2.7264386699998795,0.05452877339999759
v3_1d_ema_50_200_atr5,2026-01-02T00:00:00+08:00,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0,0.0
v3_1d_ema_50_200_atr5,2026-01-04T00:00:00+08:00,-0.3805066300000003,-0.3714800000000003,-0.3805066300001272,-0.3714799999997922,4999.61949337,4999.62852,0.3805066300001272,0.007610132600002543
v3_1d_ema_50_200_atr5,2026-01-05T00:00:00+08:00,-0.2883965,-0.285,-0.6689031300002171,-0.6564799999996467,4999.33109687,4999.34352,0.6689031300002171,0.013378062600004343
v3_1d_ema_50_200_atr5,2026-01-06T00:00:00+08:00,-0.013200555000000008,-0.013030000000000009,-0.6821036849996744,-0.6695099999997183,4999.317896315,4999.33049,0.6821036849996744,0.01364207369999349
v3_1d_ema_50_200_atr5,2026-01-06T00:00:00+08:00,-0.07276099999999994,-0.07099999999999994,-0.7548646850000296,-0.740509999999631,4999.245135315,4999.25949,0.7548646850000296,0.015097293700000592
v3_1d_ema_50_200_atr5,2026-01-07T00:00:00+08:00,-0.06615512000000012,-0.06286000000000012,-0.8210198050001054,-0.8033699999996315,4999.178980195,4999.19663,0.8210198050001054,0.016420396100002108
v3_1d_ema_50_200_atr5,2026-01-09T00:00:00+08:00,-0.0034764499999998754,-0.001699999999999875,-0.8244962549997581,-0.8050700000003417,4999.175503745,4999.19493,0.8244962549997581,0.016489925099995164
v3_1d_ema_50_200_atr5,2026-01-10T00:00:00+08:00,-0.25774789500000056,-0.24861000000000058,-1.082244150000406,-1.0536799999999857,4998.91775585,4998.94632,1.082244150000406,0.021644883000008122
v3_1d_ema_50_200_atr5,2026-01-14T00:00:00+08:00,-0.002564925000000008,-0.0023900000000000076,-1.0848090749996118,-1.056069999999636,4998.915190925,4998.94393,1.0848090749996118,0.021696181499992237
v3_1d_ema_50_200_atr5,2026-01-15T00:00:00+08:00,-0.07097375000000006,-0.06750000000000006,-1.1557828249997328,-1.123569999999745,4998.844217175,4998.87643,1.1557828249997328,0.023115656499994655
v3_1d_ema_50_200_atr5,2026-01-15T00:00:00+08:00,-0.23789389999999994,-0.23459999999999992,-1.3936767249997501,-1.3581700000004275,4998.606323275,4998.64183,1.3936767249997501,0.027873534499995006
v3_1d_ema_50_200_atr5,2026-01-18T00:00:00+08:00,-0.11852442500000003,-0.11521000000000003,-1.5122011499997825,-1.4733800000003612,4998.48779885,4998.52662,1.5122011499997825,0.030244022999995648
v3_1d_ema_50_200_atr5,2026-01-18T00:00:00+08:00,-0.004296710000000008,-0.004120000000000008,-1.5164978599996175,-1.4774999999999636,4998.48350214,4998.5225,1.5164978599996175,0.030329957199992347
v3_1d_ema_50_200_atr5,2026-03-14T00:00:00+08:00,0.027465790000000007,0.027620000000000006,-1.4890320699996664,-1.449880000000121,4998.51096793,4998.55012,1.4890320699996664,0.02978064139999333
v3_1d_ema_50_200_atr5,2026-03-17T00:00:00+08:00,1.786115199999999,1.794379999999999,0.29708312999991904,0.3445000000001528,5000.29708313,5000.3445,0.0,0.0
v3_1d_ema_50_200_atr5,2026-03-18T00:00:00+08:00,-0.061346500000000005,-0.059000000000000004,0.2357366300002468,0.28549999999995634,5000.23573663,5000.2855,0.06134649999967223,0.001226857104283724
v3_1d_ema_50_200_atr5,2026-03-31T23:59:00+08:00,0.5333282499999998,0.5364999999999999,0.7690648799998598,0.8220000000001164,5000.76906488,5000.822,0.0,0.0
v3_1d_ema_50_200_atr5,2026-03-31T23:59:00+08:00,0.09224505000000009,0.09350000000000008,0.8613099300000613,0.9155000000000655,5000.86130993,5000.9155,0.0,0.0
v3_1d_ema_50_200_atr5,2026-03-31T23:59:00+08:00,0.012057694999999993,0.012189999999999994,0.8733676250003555,0.9276900000004389,5000.873367625,5000.92769,0.0,0.0
v3_4h_donchian_100_30_atr5,2026-01-02T20:00:00+08:00,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0,0.0
v3_4h_donchian_100_30_atr5,2026-01-05T16:00:00+08:00,-0.7010284800000002,-0.6973800000000001,-0.7010284799998772,-0.6973799999996118,4999.29897152,4999.30262,0.7010284799998772,0.014020569599997545
v3_4h_donchian_100_30_atr5,2026-01-19T12:00:00+08:00,0.014719140000000292,0.024080000000000292,-0.6863093399997524,-0.6733000000003813,4999.31369066,4999.3267,0.6863093399997524,0.013726186799995049
v3_4h_donchian_100_30_atr5,2026-02-10T08:00:00+08:00,0.030330580000000003,0.03048,-0.6559787599999254,-0.6428200000000288,4999.34402124,4999.35718,0.6559787599999254,0.013119575199998509
v3_4h_donchian_100_30_atr5,2026-02-21T20:00:00+08:00,1.990155915000001,1.997990000000001,1.3341771550003614,1.3551699999998164,5001.334177155,5001.35517,0.0,0.0
v3_4h_donchian_100_30_atr5,2026-02-26T00:00:00+08:00,-0.007819505000000001,-0.0076900000000000015,1.3263576500003182,1.3474800000003597,5001.32635765,5001.34748,0.007819505000043137,0.00015634838071330894
v3_4h_donchian_100_30_atr5,2026-03-04T20:00:00+08:00,-0.6728069650000009,-0.6659900000000009,0.6535506849995727,0.6814899999999398,5000.653550685,5000.68149,0.6806264700007887,0.013608898063835473
v3_4h_donchian_100_30_atr5,2026-03-05T00:00:00+08:00,0.26984644999999996,0.2713,0.923397135000414,0.9527900000002774,5000.923397135,5000.95279,0.4107800199999474,0.008213408771529417
v3_4h_donchian_100_30_atr5,2026-03-08T04:00:00+08:00,-0.4418924800000006,-0.4349600000000006,0.481504655000208,0.5178299999997762,5000.481504655,5000.51783,0.8526725000001534,0.01704890074922357
v3_4h_donchian_100_30_atr5,2026-03-08T20:00:00+08:00,-1.1454822799999997,-1.1432599999999997,-0.6639776250003706,-0.6254300000000512,4999.336022375,4999.37457,1.998154780000732,0.03995243487483531
v3_4h_donchian_100_30_atr5,2026-03-11T12:00:00+08:00,-0.5524759249999998,-0.5505499999999998,-1.2164535499996418,-1.1759799999999814,4998.78354645,4998.82402,2.550630705000003,0.050999005758317964
v3_4h_donchian_100_30_atr5,2026-03-17T16:00:00+08:00,-0.0024092649999999855,-0.0022699999999999856,-1.2188628149997385,-1.1782499999999345,4998.781137185,4998.82175,2.5530399700001,0.05104717820420455
v3_4h_donchian_100_30_atr5,2026-03-31T23:59:00+08:00,-0.0723075950000003,-0.0656300000000003,-1.2911704099997223,-1.24387999999999,4998.70882959,4998.75612,2.6253475650000837,0.0524929443225789
v3_4h_donchian_20_10_atr4,2026-01-01T04:00:00+08:00,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0,0.0
v3_4h_donchian_20_10_atr4,2026-01-03T00:00:00+08:00,-0.20027849999999994,-0.19699999999999995,-0.20027850000042235,-0.19700000000011642,4999.7997215,4999.803,0.20027850000042235,0.004005570000008447
v3_4h_donchian_20_10_atr4,2026-01-05T16:00:00+08:00,-0.6538449000000003,-0.6502200000000002,-0.8541234000003897,-0.8472199999996519,4999.1458766,4999.15278,0.8541234000003897,0.017082468000007792
v3_4h_donchian_20_10_atr4,2026-01-08T00:00:00+08:00,-0.21007407000000058,-0.20096000000000058,-1.064197470000181,-1.0481799999997747,4998.93580253,4998.95182,1.064197470000181,0.02128394940000362
v3_4h_donchian_20_10_atr4,2026-01-12T12:00:00+08:00,-0.34737268500000085,-0.3381900000000009,-1.4115701549999358,-1.38637000000017,4998.588429845,4998.61363,1.4115701549999358,0.028231403099998716
v3_4h_donchian_20_10_atr4,2026-01-16T20:00:00+08:00,-0.08643050000000002,-0.08300000000000002,-1.4980006550003964,-1.469369999999799,4998.501999345,4998.53063,1.4980006550003964,0.02996001310000793
v3_4h_donchian_20_10_atr4,2026-01-19T12:00:00+08:00,0.011757659999999708,0.02111999999999971,-1.486242994999884,-1.448250000000371,4998.513757005,4998.55175,1.486242994999884,0.02972485989999768
v3_4h_donchian_20_10_atr4,2026-01-28T12:00:00+08:00,0.06428030000000022,0.06600000000000023,-1.42196269499982,-1.382249999999658,4998.578037305,4998.61775,1.42196269499982,0.0284392538999964
v3_4h_donchian_20_10_atr4,2026-01-28T20:00:00+08:00,0.08667000000000008,0.09000000000000008,-1.3352926950001347,-1.292250000000422,4998.664707305,4998.70775,1.3352926950001347,0.026705853900002692
