symbol,inst_id,split,trade_count,original_net_pnl,no_cost_pnl,funding_events_count,conservative_funding_cost,signed_funding_pnl,funding_adjusted_net_pnl_conservative,funding_adjusted_net_pnl_signed,notional
BTCUSDT_SWAP_OKX.GLOBAL,BTC-USDT-SWAP,oos_ext,214,-16.513203759999993,-14.435819999999993,3357,2.063809396391378,-0.6082910701087585,-18.57701315639137,-17.121494830108748,2073.19202
BTCUSDT_SWAP_OKX.GLOBAL,BTC-USDT-SWAP,train_ext,343,11.78040118000001,13.123520000000012,7999,3.7657830593723287,-2.8856627560513743,8.01461812062768,8.894738423948636,1316.99432
BTCUSDT_SWAP_OKX.GLOBAL,BTC-USDT-SWAP,validation_ext,207,-7.240460549999984,-5.540219999999985,4848,2.8448135300974577,-2.0556316736777593,-10.085274080097442,-9.296092223677745,1681.91356
DOGEUSDT_SWAP_OKX.GLOBAL,DOGE-USDT-SWAP,oos_ext,201,-9.197323249999998,-8.463499999999998,3550,0.43207409984142053,-0.06919901653926293,-9.629397349841419,-9.266522266539262,335.1575
DOGEUSDT_SWAP_OKX.GLOBAL,DOGE-USDT-SWAP,train_ext,318,-6.6380522299999924,-5.695659999999993,4622,0.6109519906004393,-0.2501586436764544,-7.2490042206004315,-6.888210873676447,303.96596
DOGEUSDT_SWAP_OKX.GLOBAL,DOGE-USDT-SWAP,validation_ext,209,3.4349675000000013,4.2310000000000025,4132,0.8280659516662877,-0.5923925783402243,2.6069015483337137,2.842574921659777,373.583
ETHUSDT_SWAP_OKX.GLOBAL,ETH-USDT-SWAP,oos_ext,198,-9.812780189999998,-9.123859999999997,3318,0.7036359567009842,-0.44931274407602323,-10.516416146700983,-10.262092934076021,680.77201
ETHUSDT_SWAP_OKX.GLOBAL,ETH-USDT-SWAP,train_ext,339,2.483955155000009,3.245570000000009,6047,1.7898621496490468,-1.2203768519846503,0.6940930053509626,1.263578303015359,743.99063
ETHUSDT_SWAP_OKX.GLOBAL,ETH-USDT-SWAP,validation_ext,269,3.46142991000001,4.18746000000001,5592,1.1449233955079547,-0.5197124998397656,2.316506514492055,2.9417174101602446,715.8348500000001
LINKUSDT_SWAP_OKX.GLOBAL,LINK-USDT-SWAP,oos_ext,220,0.1479795600000049,0.1906000000000051,4202,0.050593657781820775,-0.014377250849729295,0.09738590221818418,0.1336023091502756,33.7584
LINKUSDT_SWAP_OKX.GLOBAL,LINK-USDT-SWAP,train_ext,423,0.0680440000000091,0.1299000000000089,7995,0.1248833335852168,-0.0719818350795139,-0.05683933358520772,-0.003937835079504834,44.74935
LINKUSDT_SWAP_OKX.GLOBAL,LINK-USDT-SWAP,validation_ext,306,-0.46189541499999487,-0.4033099999999945,4882,0.06786831488369689,-0.03873526037492446,-0.5297637298836918,-0.5006306753749193,46.17644
SOLUSDT_SWAP_OKX.GLOBAL,SOL-USDT-SWAP,oos_ext,191,-0.6644671999999978,-0.29719999999999724,2782,0.3740136368556988,-0.18033724700238576,-1.0384808368556968,-0.844804447002384,292.55580000000003
SOLUSDT_SWAP_OKX.GLOBAL,SOL-USDT-SWAP,train_ext,345,-3.1849520349999914,-2.8301699999999914,5652,0.6022183348986168,-0.4358792603124131,-3.7871703698986083,-3.6208312953124047,214.95559
SOLUSDT_SWAP_OKX.GLOBAL,SOL-USDT-SWAP,validation_ext,168,-18.473357499999995,-18.140399999999996,2457,0.4270892319048302,-0.28674682158820525,-18.900446731904825,-18.760104321588198,265.3481
