policy_name,symbol_count,trade_count,long_count,short_count,active_symbol_count,no_cost_net_pnl,net_pnl,fee_total,slippage_total,cost_drag,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,largest_symbol_pnl_share,portfolio_turnover,max_concurrent_positions
v3_1d_ema_50_200_atr5,5,158,106,52,5,6.560810000000002,6.072423885000001,0.42066611500000006,0.06772,0.48838611500000084,0.27848101265822783,1.5067268107568608,0.4103647387499999,-0.1051195142105263,0.03843306256329115,-0.019202787499999884,4.43138236499999,0.08854456415429138,1.3703227085437963,1.1565509274142907,26457.70253164557,10080.0,1.9495325283933136,2.95830288,-1.0025521050000001,0.7820820583942325,841.3322300000001,3
v3_4h_donchian_55_with_risk_filters,5,73,47,26,5,4.14391,3.994758675000001,0.13123132500000004,0.01792,0.14915132499999917,0.3287671232876712,2.0950988341650696,0.3184421191666667,-0.07444596295918367,0.05472272157534248,-0.0052181050000000015,1.1846048349998455,0.023671380348037268,3.372228912944224,1.309004035227908,9774.232876712329,6720.0,1.2320979777332857,2.2385932900000003,-0.5852826499999998,0.7468343054796298,262.46265,3
v3_1d_donchian_20_10_atr4,5,86,47,39,5,2.499100000000001,2.2723148600000025,0.20050514,0.026279999999999998,0.22678513999999872,0.3953488372093023,1.1715713454548289,0.4563663092647059,-0.25469499336538454,0.026422265813953516,-0.013273915000000002,4.178831474999242,0.08355628229190254,0.5437680063421113,0.4261729046622285,50600.91860465116,30960.0,3.6191889094101994,2.4044284350000016,-1.3098171649999995,0.47584913349247293,401.01027999999997,3
v3_1d_donchian_55_20_atr5,5,43,22,21,5,-3.5699099999999984,-3.6820113149999982,0.10270131500000002,0.009400000000000002,0.11210131499999987,0.32558139534883723,0.6582796855008746,0.5066368078571429,-0.3715491939655173,-0.08562817011627903,-0.01737846,5.540647550000358,0.11079575586975116,-0.664545304817261,-0.9172976854472839,81946.02325581395,63360.0,-0.8246555904459524,1.0621831300000006,-1.92463374,0.9405614979604304,205.40263000000002,3
v3_4h_ema_50_200_atr4,5,1115,532,583,5,-0.5892799999999951,-3.840391189999992,2.6679511900000006,0.5831600000000001,3.251111189999997,0.22242152466367712,0.9069796176271132,0.15098826366935486,-0.047618778062283734,-0.0034442970313901273,-0.012262500000000119,7.580661035000048,0.15150278475413287,-0.5066037344591503,-0.6439109854371801,3776.069058295964,1440.0,-7.78437552868151,2.3562505000000002,-0.8598286499999999,1.0,5335.9023799999995,3
v3_ensemble_core,5,1153,558,595,5,-4.555559999999995,-7.851817019999994,2.71157702,0.5846800000000001,3.2962570199999988,0.22116218560277537,0.8309625345389393,0.15136604401960788,-0.051726234125835185,-0.006809902012142232,-0.011571299999999951,11.416669035000268,0.2281750607101322,-0.6877502532418651,-1.2326926137040684,3907.8551604509976,1680.0,-3.9402799691070767,2.3562505000000002,-1.6686240499999998,1.0,5423.15404,3
v3_4h_donchian_100_30_atr5,5,170,91,79,5,-9.48524,-9.940768120000001,0.38948812,0.06604000000000002,0.4555281200000021,0.3235294117647059,0.5987877920776037,0.2697466453636364,-0.21545072708695653,-0.0584751065882353,-0.01488686749999999,12.023933229999784,0.24037851497287865,-0.8267484466062841,-1.7814713092047976,15348.7,11280.0,-1.072409787786097,1.990155915000001,-1.6686240499999998,1.0,778.97624,3
v3_4h_vol_compression_donchian_breakout,5,350,199,151,5,-10.048499999999999,-10.94778193,0.74196193,0.15732000000000002,0.8992819300000008,0.32857142857142857,0.5531389872186151,0.11783928599999997,-0.10425233965957446,-0.031279376942857144,-0.009861597499999899,12.092437684999823,0.24179339965870839,-0.9053411905177959,-3.0526396041164388,7198.628571428571,5640.0,-0.7696540439767419,1.0190585550000002,-0.8908435350000004,1.0,1483.9238599999999,3
v3_4h_donchian_55_20_atr4,5,278,142,136,5,-12.153640000000006,-12.906000550000009,0.6361605499999999,0.11620000000000001,0.7523605500000023,0.3345323741007194,0.5919673766632081,0.2013314477956989,-0.17097202808108108,-0.046424462410071976,-0.00946787500000001,17.215131920000204,0.34401157507787855,-0.7496893204173516,-2.261202307058999,10926.899280575539,8040.0,-1.0147573653249218,2.2385932900000003,-1.6686240499999998,0.36788051469593325,1272.3211000000001,3
v3_4h_donchian_20_10_atr4,5,516,274,242,5,-13.349659999999997,-14.657659249999996,1.10423925,0.20376000000000005,1.30799925,0.3333333333333333,0.6372820890112395,0.1497265734011628,-0.11747276126453486,-0.028406316375968986,-0.008924164999999961,16.99753877999956,0.3397917612426723,-0.8623400975703129,-2.5060671877167584,7683.718992248062,5760.0,-1.1863592009071984,2.3046647500000006,-1.6686240499999998,0.4484314956359758,2208.4785,3
