policy_name,train_no_cost_net_pnl,validation_no_cost_net_pnl,oos_no_cost_net_pnl,train_net_pnl,validation_net_pnl,oos_net_pnl,train_trade_count,validation_trade_count,oos_trade_count,train_active_symbol_count,validation_active_symbol_count,oos_active_symbol_count,oos_max_ddpercent,oos_largest_symbol_pnl_share,oos_top_5pct_trade_pnl_contribution,oos_max_concurrent_positions,train_no_cost_positive,validation_no_cost_positive,oos_no_cost_positive,oos_cost_aware_nonnegative,oos_drawdown_ok,trade_count_sufficient,symbol_concentration_ok,top_trade_concentration_ok,oos_not_one_symbol_or_one_trade,stable_candidate,rejection_reasons,train_ext_no_cost_net_pnl,train_ext_net_pnl,train_ext_trade_count,train_ext_active_symbol_count,train_ext_no_cost_positive,validation_ext_no_cost_net_pnl,validation_ext_net_pnl,validation_ext_trade_count,validation_ext_active_symbol_count,validation_ext_no_cost_positive,oos_ext_no_cost_net_pnl,oos_ext_net_pnl,oos_ext_trade_count,oos_ext_active_symbol_count,oos_ext_max_ddpercent,oos_ext_largest_symbol_pnl_share,oos_ext_top_5pct_trade_pnl_contribution,oos_ext_max_concurrent_positions,oos_ext_no_cost_positive,oos_ext_cost_aware_nonnegative,oos_ext_drawdown_ok,oos_ext_not_one_symbol_or_one_trade
v3_1d_ema_50_200_atr5,3.0200400000000016,2.024780000000002,1.7021799999999976,2.8670487600000016,1.8245112800000023,1.5523690499999967,69.0,57.0,36.0,5.0,5.0,5.0,0.0456417068779033,0.3461772572701067,1.981772533406284,3.0,True,True,True,True,True,True,True,False,False,False,oos_top_5pct_trade_pnl_contribution_over_0p8,3.0200400000000016,2.8670487600000016,69.0,5.0,True,2.024780000000002,1.8245112800000023,57.0,5.0,True,1.7021799999999976,1.5523690499999967,36.0,5.0,0.0456417068779033,0.3461772572701067,1.981772533406284,3.0,True,True,True,False
v3_4h_donchian_55_with_risk_filters,3.223720000000001,-0.3197799999999997,1.2399699999999991,3.1826913600000006,-0.3558410299999996,1.1679083449999994,30.0,24.0,19.0,5.0,4.0,5.0,0.023684759293184,1.0,1.0003141727701248,3.0,True,False,True,True,True,True,False,False,False,False,validation_no_cost_net_pnl_not_positive;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8,3.223720000000001,3.1826913600000006,30.0,5.0,True,-0.3197799999999997,-0.3558410299999996,24.0,4.0,False,1.2399699999999991,1.1679083449999994,19.0,5.0,0.023684759293184,1.0,1.0003141727701248,3.0,True,True,True,False
v3_1d_donchian_20_10_atr4,0.0873500000000013,2.6086600000000004,-0.0557799999999997,0.0104003150000014,2.515803480000001,-0.1191193899999993,44.0,30.0,15.0,5.0,5.0,5.0,0.0670901765685008,0.936652669486745,-10.101513909700218,3.0,True,True,False,False,True,True,False,True,False,False,oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7,0.0873500000000013,0.0104003150000014,44.0,5.0,True,2.6086600000000004,2.515803480000001,30.0,5.0,True,-0.0557799999999997,-0.1191193899999993,15.0,5.0,0.0670901765685008,0.936652669486745,-10.101513909700218,3.0,False,False,True,False
v3_1d_donchian_55_20_atr5,-1.0926299999999989,-1.2218400000000005,-1.165559999999999,-1.1299465749999988,-1.2646748900000002,-1.1975331099999993,19.0,16.0,8.0,4.0,5.0,4.0,0.0674772954379206,0.9104844135259752,-0.8869760018576867,3.0,False,False,False,False,True,False,False,True,False,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7,-1.0926299999999989,-1.1299465749999988,19.0,4.0,False,-1.2218400000000005,-1.2646748900000002,16.0,5.0,False,-1.165559999999999,-1.1975331099999993,8.0,4.0,0.0674772954379206,0.9104844135259752,-0.8869760018576867,3.0,False,False,True,False
v3_4h_vol_compression_donchian_breakout,-1.1183900000000015,-5.462639999999998,-3.2997100000000006,-1.4171260650000008,-5.771197169999997,-3.5898067450000006,176.0,94.0,79.0,5.0,5.0,5.0,0.0867590765174437,0.907284385685578,-0.5469331943104363,3.0,False,False,False,False,True,True,False,True,False,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7,-1.1183900000000015,-1.4171260650000008,176.0,5.0,False,-5.462639999999998,-5.771197169999997,94.0,5.0,False,-3.2997100000000006,-3.5898067450000006,79.0,5.0,0.0867590765174437,0.907284385685578,-0.5469331943104363,3.0,False,False,True,False
v3_4h_donchian_100_30_atr5,0.9109899999999994,-4.498789999999999,-5.799139999999999,0.7840235649999994,-4.661865815,-5.964576719999998,71.0,57.0,42.0,5.0,5.0,5.0,0.1314949781556217,1.0,-0.5841487994138841,3.0,True,False,False,False,True,True,False,True,False,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7,0.9109899999999994,0.7840235649999994,71.0,5.0,True,-4.498789999999999,-4.661865815,57.0,5.0,False,-5.799139999999999,-5.964576719999998,42.0,5.0,0.1314949781556217,1.0,-0.5841487994138841,3.0,False,False,True,False
v3_4h_ema_50_200_atr4,1.5950600000000024,2.942640000000004,-5.070429999999998,0.5210463000000023,1.9557614000000023,-6.268437134999997,491.0,312.0,313.0,5.0,5.0,5.0,0.1515763380010372,0.4342990487691947,-1.3284213577743735,3.0,True,True,False,False,True,True,True,True,True,False,oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative,1.5950600000000024,0.5210463000000023,491.0,5.0,True,2.942640000000004,1.9557614000000023,312.0,5.0,True,-5.070429999999998,-6.268437134999997,313.0,5.0,0.1515763380010372,0.4342990487691947,-1.3284213577743735,3.0,False,False,True,True
v3_ensemble_core,1.2276600000000002,-0.5688899999999955,-5.18437,0.1714401600000001,-1.6080966749999952,-6.395987134999999,502.0,332.0,320.0,5.0,5.0,5.0,0.1470369957525867,0.5283533907545916,-1.331726291847834,3.0,True,False,False,False,True,True,True,True,True,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative,1.2276600000000002,0.1714401600000001,502.0,5.0,True,-0.5688899999999955,-1.6080966749999952,332.0,5.0,False,-5.18437,-6.395987134999999,320.0,5.0,0.1470369957525867,0.5283533907545916,-1.331726291847834,3.0,False,False,True,True
v3_4h_donchian_20_10_atr4,-1.6838299999999995,-5.168019999999995,-6.612829999999999,-2.083728325,-5.648036489999996,-7.051841784999999,245.0,152.0,120.0,5.0,5.0,5.0,0.1661383538505641,1.0,-0.566441707256766,3.0,False,False,False,False,True,True,False,True,False,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7,-1.6838299999999995,-2.083728325,245.0,5.0,False,-5.168019999999995,-5.648036489999996,152.0,5.0,False,-6.612829999999999,-7.051841784999999,120.0,5.0,0.1661383538505641,1.0,-0.566441707256766,3.0,False,False,True,False
v3_4h_donchian_55_20_atr4,1.803189999999998,-6.001590000000001,-7.884110000000003,1.603546574999999,-6.265680145000002,-8.172770215000003,121.0,85.0,72.0,5.0,5.0,5.0,0.1811393059600532,1.0,-0.399424994723163,3.0,True,False,False,False,True,True,False,True,False,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7,1.803189999999998,1.603546574999999,121.0,5.0,True,-6.001590000000001,-6.265680145000002,85.0,5.0,False,-7.884110000000003,-8.172770215000003,72.0,5.0,0.1811393059600532,1.0,-0.399424994723163,3.0,False,False,True,False
