split,month,trade_count,net_pnl,no_cost_pnl,win_rate,avg_trade,max_drawdown,max_ddpercent,active_symbol_count,avg_holding_minutes
oos,2026-01,104,-11.486945055000005,-11.085070000000005,0.19230769230769232,-0.11045139475961543,11.486945055000433,0.22973890110000866,5,5358.461538461538
oos,2026-02,92,3.428786965000003,3.704050000000002,0.2608695652173913,0.03726942353260873,3.3655885449998095,0.0673117708999962,5,7158.260869565217
oos,2026-03,161,-9.111898170000002,-8.669,0.2236024844720497,-0.056595640807453426,10.926933689999714,0.218489898933638,5,7809.596273291925
train,2025-01,82,-7.7491283049999975,-7.405449999999998,0.25609756097560976,-0.09450156469512191,7.74912830500034,0.15498256610000682,5,5798.048780487805
train,2025-02,57,0.05725992499999957,0.24090999999999924,0.2807017543859649,0.0010045600877192909,1.1821311599996989,0.023642623199993978,5,6265.263157894737
train,2025-03,92,-1.957327709999993,-1.6851399999999939,0.34782608695652173,-0.0212753011956521,3.4761852999999974,0.06950259309179152,5,7888.695652173913
train,2025-04,82,-1.8378833999999948,-1.6533599999999948,0.32926829268292684,-0.02241321219512189,3.8658031450004273,0.07731161884933531,5,11531.707317073171
train,2025-05,97,2.7894496149999957,3.1102899999999964,0.2268041237113402,0.02875721252577315,1.8620542449998538,0.037215194986146324,5,8122.886597938144
train,2025-06,111,-2.318677715000003,-1.9337700000000022,0.27927927927927926,-0.02088898842342345,6.687964445000034,0.13364250441577913,5,9701.621621621622
train,2025-07,89,1.72054604,2.099360000000002,0.29213483146067415,0.01933197797752809,4.050689859999693,0.08101379719999385,5,9465.168539325843
train,2025-08,115,-5.833739059999989,-5.301559999999989,0.21739130434782608,-0.050728165739130346,8.534543345000202,0.17059871615128464,5,6934.95652173913
train,2025-09,143,-2.764341579999994,-2.1174799999999947,0.3706293706293706,-0.01933105999999996,5.099096670000108,0.10198054585269528,5,9573.0
validation,2025-10,133,-11.071805915000002,-10.468370000000002,0.18796992481203006,-0.08324666101503761,11.418498895000084,0.22835414414425598,5,4080.0
validation,2025-11,82,3.0845155450000012,3.3728700000000003,0.43902439024390244,0.037616043231707336,1.9570538450007007,0.03913004882380671,5,6316.09756097561
validation,2025-12,145,-8.025787124999994,-7.579729999999993,0.2,-0.055350256034482716,10.738008360000094,0.21476016720000188,5,10333.124137931034
