policy_name,policy_family,train_no_cost_net_pnl,validation_no_cost_net_pnl,oos_no_cost_net_pnl,train_net_pnl,validation_net_pnl,oos_net_pnl,train_trade_count,validation_trade_count,oos_trade_count,oos_largest_symbol_pnl_share,oos_top_5pct_trade_pnl_contribution,stable_candidate,rejection_reasons
v3_1d_ema_50_200_atr5,1d_ema,1.7865999999999995,-0.852100000000001,0.9276899999999982,1.6508167099999995,-0.9035383400000012,0.8733676249999978,35.0,10.0,18.0,0.845701898677227,2.0450897753394552,False,validation_no_cost_net_pnl_not_positive;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8
v3_4h_donchian_55_with_risk_filters,risk_filtered,1.2905300000000004,-0.3646600000000005,0.2873299999999994,1.2616624350000003,-0.3778615900000006,0.2558956549999995,13.0,4.0,9.0,1.0,4.565436134505691,False,validation_no_cost_net_pnl_not_positive;validation_trade_count_under_10;oos_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8
v3_ensemble_core,ensemble,-1.3758600000000012,-2.76114,-0.8628100000000007,-2.389399910000001,-3.18576847,-1.1529297650000008,269.0,117.0,99.0,1.0,-2.157120924013961,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
v3_4h_donchian_100_30_atr5,4h_donchian,-1.2062199999999987,-3.01175,-1.2438800000000003,-1.3393464199999991,-3.064030755,-1.29117041,35.0,16.0,12.0,0.7382704456115703,-1.541358057454245,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
v3_4h_ema_50_200_atr4,4h_ema,-0.2607599999999985,-2.3160299999999987,-1.1879300000000017,-1.261711049999999,-2.722293194999999,-1.489691325000002,264.0,112.0,99.0,1.0,-1.6694793600949491,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
v3_1d_donchian_20_10_atr4,1d_donchian,-0.5909999999999991,-0.7171500000000002,-1.9512800000000008,-0.6580112899999988,-0.7421702849999999,-1.981096980000001,21.0,6.0,8.0,0.7963655090726546,-0.6073837813835837,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;validation_trade_count_under_10;oos_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7
v3_4h_vol_compression_donchian_breakout,vol_compression,-4.021279999999997,-0.813119999999999,-2.189690000000002,-4.252638159999998,-0.9149454099999992,-2.2915965550000013,66.0,26.0,31.0,1.0,-0.0578817199347728,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
v3_1d_donchian_55_20_atr5,1d_donchian,-0.74684,1.2341200000000003,-2.7053000000000016,-0.7882623399999997,1.2267411300000002,-2.726438670000001,10.0,3.0,5.0,1.0,-0.2450683660527743,False,train_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;validation_trade_count_under_10;oos_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7
v3_4h_donchian_55_20_atr4,4h_donchian,-4.498050000000001,-2.2035100000000014,-3.2677600000000027,-4.7288189250000014,-2.2936277850000013,-3.356602480000002,55.0,24.0,27.0,1.0,-0.3912018351365809,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
v3_4h_donchian_20_10_atr4,4h_donchian,-5.0233199999999965,-2.8698899999999994,-3.856390000000002,-5.388133239999997,-3.035582795,-4.009793355000001,100.0,42.0,49.0,0.4619569528914041,-0.3676993898355142,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative
