exit_variant,oracle,split,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,avg_captured_fraction,early_exit_share,late_entry_share,avg_hold_bars,max_hold_bars_used,exit_reason_distribution
health_drawdown_only,False,oos_ext,1024,-32.26807,-36.17808483999999,-37.273564258351016,25766,True,0.423828125,0.730709648705712,48.19884075754258,0.7921301970777543,-1.4002425793783535,0.5144192092203687,0.50390625,0.416015625,38.0908203125,50,"{""data_end"": 33, ""hard_drawdown"": 195, ""health_deterioration"": 284, ""max_hold_bars"": 512}"
health_drawdown_only,False,train_ext,1768,5.044609999999982,1.5808460699999944,-3.8698106170372206,44569,True,0.415158371040724,0.9612854184683645,35.24573248262065,0.9879782886622341,-14.229674569443208,0.5379627210696689,0.457579185520362,0.3438914027149321,36.137443438914026,50,"{""hard_drawdown"": 453, ""health_deterioration"": 547, ""max_hold_bars"": 768}"
health_drawdown_only,False,validation_ext,1159,6.078650000000014,2.4648039450000283,-1.0473645362155963,29078,True,0.4167385677308024,0.9920590669365567,26.931335598012375,0.37385649105902957,-62.21215890987129,0.5160579624802719,0.4831751509922347,0.362381363244176,34.19585849870578,50,"{""hard_drawdown"": 317, ""health_deterioration"": 390, ""max_hold_bars"": 452}"
health_ema20_core,False,oos_ext,1024,-23.059319999999982,-26.969334839999973,-27.879288905059617,11056,True,0.3720703125,0.639114056595647,30.589460974817683,1.0,-1.1415766837146963,0.29842691898809237,0.6552734375,0.416015625,14.951171875,50,"{""data_end"": 18, ""hard_drawdown"": 69, ""health_deterioration"": 893, ""max_hold_bars"": 44}"
health_ema20_core,False,train_ext,1768,6.9589100000000075,3.495146070000019,1.135065131283021,17553,True,0.38404977375565613,1.0216129002079708,16.408234975781472,0.9990292257958859,31.89135828085448,0.2858243852941624,0.620475113122172,0.3438914027149321,14.099547511312217,50,"{""hard_drawdown"": 182, ""health_deterioration"": 1525, ""max_hold_bars"": 61}"
health_ema20_core,False,validation_ext,1159,4.573660000000007,0.9598139450000192,-0.6661748210112481,11405,True,0.4201898188093184,0.9904825834018034,22.920859297401023,0.47129177309926756,-65.6181302823726,0.26918638422617225,0.6324417601380501,0.362381363244176,12.455565142364106,50,"{""hard_drawdown"": 132, ""health_deterioration"": 1014, ""max_hold_bars"": 13}"
health_ema50_core,False,oos_ext,1024,-20.77114000000001,-24.681154839999998,-25.884658169464977,16721,True,0.310546875,0.7330965752689489,33.92951150446329,0.675816367952065,-1.7820620740883675,0.3984075412025654,0.619140625,0.416015625,22.828125,50,"{""data_end"": 24, ""hard_drawdown"": 118, ""health_deterioration"": 708, ""max_hold_bars"": 174}"
health_ema50_core,False,train_ext,1768,10.67991,7.216146070000011,3.6629490906203994,28244,True,0.3393665158371041,1.054540112625966,21.619524650321477,1.0,13.409999075722165,0.4261604524443891,0.5576923076923077,0.3438914027149321,22.94683257918552,50,"{""hard_drawdown"": 315, ""health_deterioration"": 1173, ""max_hold_bars"": 280}"
health_ema50_core,False,validation_ext,1159,19.20315000000002,15.589303945000033,12.918812014444361,18964,True,0.3744607420189819,1.146315818977901,26.952660853251892,0.511663889388949,4.92326284173698,0.4038506948994254,0.5737704918032787,0.362381363244176,21.534081104400347,50,"{""hard_drawdown"": 240, ""health_deterioration"": 750, ""max_hold_bars"": 169}"
health_energy_confirmed,False,oos_ext,1024,-23.28241999999998,-27.192434839999976,-28.065977973039786,11405,True,0.375,0.6374218454697664,31.815128314152712,1.0,-1.1338940407895963,0.3050427839262265,0.6474609375,0.416015625,15.576171875,50,"{""data_end"": 18, ""hard_drawdown"": 101, ""health_deterioration"": 854, ""max_hold_bars"": 51}"
