trend_segment_id,symbol,timeframe,direction,start_time,end_time,start_idx,end_idx,duration_bars,duration_days,start_price,end_price,trend_return,mfe,mae,labels,atr_labels,efficiency_labels,has_atr_move,has_efficiency,has_run_length,run_length,max_run_return,max_run_drawdown,run_duration_bars,month,quarter,abs_trend_return,is_major_trend
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00022,BTCUSDT_SWAP_OKX.GLOBAL,1d,up,2023-01-01T23:59:00+08:00,2023-07-05T23:59:00+08:00,0,185,186,185.0,16559.2,30365.4,0.8337480071501038,0.9798963718054012,-0.006594521474467374,run_length;trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60;trend_efficiency_20_ge_0.75;uptrend_2atr;uptrend_3atr;uptrend_5atr,uptrend_2atr;uptrend_3atr;uptrend_5atr,trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60;trend_efficiency_20_ge_0.75,True,True,True,11,0.9296282429102853,-0.3306017198898499,186,2023-01,2023Q1,0.8337480071501038,True
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00001,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2023-02-02T23:59:00+08:00,2023-02-11T23:59:00+08:00,32,41,10,9.0,23842.3,21728.8,0.09726722138360144,0.1259645808736718,-0.03150553052859917,downtrend_2atr;run_length,downtrend_2atr,,True,False,True,8,0.10069155910106553,-0.0034243377174640877,10,2023-02,2023Q1,0.09726722138360144,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00002,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2023-02-16T23:59:00+08:00,2023-03-12T23:59:00+08:00,46,70,25,24.0,24779.3,20359.9,0.21706393449869577,0.2655542957537871,-0.054679810472825996,downtrend_2atr;downtrend_3atr;run_length;trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60,downtrend_2atr;downtrend_3atr,trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60,True,True,True,4,0.23851294277588675,-0.04445274601313931,25,2023-02,2023Q1,0.21706393449869577,True
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00003,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2023-03-31T23:59:00+08:00,2023-04-04T23:59:00+08:00,89,93,5,4.0,28494.1,28024.5,0.016756766400827905,0.047581057283298644,-0.017444827586206912,run_length,,,False,False,True,4,0.016756766400827905,0.0,5,2023-03,2023Q1,0.016756766400827905,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00004,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2023-04-11T23:59:00+08:00,2023-06-15T23:59:00+08:00,100,165,66,65.0,30195.2,24963.8,0.20955944207212052,0.24801917791233552,-0.050005348502104696,downtrend_2atr;downtrend_3atr;downtrend_5atr;run_length,downtrend_2atr;downtrend_3atr;downtrend_5atr,,True,False,True,4,0.20955944207212052,-0.09388750028546156,66,2023-04,2023Q2,0.20955944207212052,True
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00005,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2023-06-23T23:59:00+08:00,2023-09-11T23:59:00+08:00,173,253,81,80.0,31953.1,25111.9,0.2724286095436823,0.29927093371718083,-0.025389272696771492,downtrend_2atr;downtrend_3atr;downtrend_5atr;run_length;trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60,downtrend_2atr;downtrend_3atr;downtrend_5atr,trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60,True,True,True,4,0.2724286095436823,-0.07160832817664309,81,2023-06,2023Q2,0.2724286095436823,True
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00023,BTCUSDT_SWAP_OKX.GLOBAL,1d,up,2023-07-09T23:59:00+08:00,2023-07-14T23:59:00+08:00,189,194,6,5.0,29200.0,31244.6,0.0700205479452054,0.11123287671232873,-0.013698630136986356,run_length;uptrend_2atr,uptrend_2atr,,True,False,True,5,0.0700205479452054,0.0,6,2023-07,2023Q3,0.0700205479452054,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00024,BTCUSDT_SWAP_OKX.GLOBAL,1d,up,2023-08-18T23:59:00+08:00,2024-03-18T23:59:00+08:00,229,442,214,213.0,26000.9,67479.4,1.5952717021333873,1.9122568834155742,-0.05414427962109014,run_length;trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60;trend_efficiency_20_ge_0.75;trend_efficiency_55_ge_0.45;uptrend_2atr;uptrend_3atr;uptrend_5atr,uptrend_2atr;uptrend_3atr;uptrend_5atr,trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60;trend_efficiency_20_ge_0.75;trend_efficiency_55_ge_0.45,True,True,True,6,1.7927187135829912,-0.2946590310335411,214,2023-08,2023Q3,1.5952717021333873,True
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00006,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2023-09-19T23:59:00+08:00,2023-09-25T23:59:00+08:00,261,267,7,6.0,27427.5,26242.6,0.04515177611974419,0.05512298708193253,-0.002099311629531586,downtrend_2atr,downtrend_2atr,,True,False,False,2,0.04515177611974419,-0.0019405716799922867,7,2023-09,2023Q3,0.04515177611974419,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00007,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2023-10-02T23:59:00+08:00,2023-10-12T23:59:00+08:00,274,284,11,10.0,28031.6,26676.9,0.05078176249864108,0.05630146019783311,-0.019863844725644064,downtrend_2atr;run_length,downtrend_2atr,,True,False,True,5,0.05078176249864108,-0.02200578344398263,11,2023-10,2023Q4,0.05078176249864108,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00008,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2023-11-09T23:59:00+08:00,2023-11-15T23:59:00+08:00,312,318,7,6.0,37129.9,36408.0,0.019828059767084127,0.07935755813953493,-0.030204015535583273,downtrend_2atr,downtrend_2atr,,True,False,False,2,0.027032633890785362,-0.007204574123701235,7,2023-11,2023Q4,0.019828059767084127,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00009,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2023-12-09T23:59:00+08:00,2023-12-11T23:59:00+08:00,342,344,3,2.0,44055.0,41817.2,0.05351386510813749,0.10137499999999999,-0.03279771849594615,downtrend_2atr,downtrend_2atr,,True,False,False,2,0.05351386510813749,0.0,3,2023-12,2023Q4,0.05351386510813749,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00010,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2024-01-02T23:59:00+08:00,2024-01-03T23:59:00+08:00,366,367,2,1.0,45194.4,42964.2,0.05190833298420561,0.13079290414592037,-0.022612456747404863,downtrend_2atr,downtrend_2atr,,True,False,False,1,0.05190833298420561,0.0,2,2024-01,2024Q1,0.05190833298420561,False
