group,split,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate,mfe_mean,mae_mean,mfe_mae_ratio_mean,max_drawdown,max_drawdown_pct
A,oos,3710,1870,1840,-26627.132822695436,-34047.132822695436,-12.8889698079714,-34060.02179250341,-0.007177124750052677,0.29514824797843664,0.01804901999272022,-0.025113655522493082,32.90025385838818,34484.696475098564,33.16642356406958
A,train,10714,5659,5055,-53965.51634289822,-75393.51634289822,4.114635983424595,-75389.4017069148,-0.005036915843092983,0.34188911704312114,0.019438951571457946,-0.01953466625198906,12.532774722465152,75453.8398576655,75.56015622443536
A,validation,2731,1438,1293,-43164.374455787445,-48626.37445578745,-4.2928006760642,-48630.66725646351,-0.01580533667366805,0.32259245697546685,0.03030564450544772,-0.03827439389910317,13.867554956194803,48611.75076824091,49.54904468853757
B,oos,1330,691,639,-6647.856746407149,-9307.856746407148,-2.2187663982499,-9310.075512805399,-0.004998388531133194,0.2924812030075188,0.014991385884278627,-0.0207324474846609,21.131267453514003,9401.877043334654,8.757657540443097
B,train,3808,2004,1804,-8114.452706579915,-15730.452706579916,17.8368448868916,-15712.615861693022,-0.0021308961939548094,0.3293067226890756,0.015952845819417288,-0.015060888080922007,13.276654183985459,15748.318029737417,15.781635009614362
B,validation,825,433,392,-13845.961090864559,-15495.961090864559,0.31160321825350024,-15495.649487646306,-0.01678298314044189,0.30666666666666664,0.027927676496236634,-0.03440810632996856,5.01869575547359,15493.346891489417,15.529104147018224
C,oos,2270,1072,1198,-19595.505639409304,-24135.505639409308,-10.2483923070504,-24145.754031716355,-0.008632381338946832,0.27929515418502204,0.01956943400335392,-0.027509373931005755,20.30729849666315,24384.95320996209,22.96941303230318
C,train,8121,4183,3938,-39501.212222930786,-55743.212222930786,25.175820358032194,-55718.036402572754,-0.004864082283330968,0.34453884989533307,0.020552599015314043,-0.019698513584591248,15.162979410524025,55784.41431468438,55.413460792199515
C,validation,2012,986,1026,-41994.6920240013,-46018.6920240013,-3.7613301054668,-46022.453354106765,-0.020872113332008595,0.30566600397614313,0.0330651339415417,-0.04318457157916468,12.958568405074464,46012.577256740435,46.47153465778305
D,oos,827,426,401,-4625.83071742332,-6279.8307174233205,-0.5404717035991002,-6280.3711891269195,-0.005593507518045128,0.279322853688029,0.016786692070394443,-0.022688951263785933,21.8175596140486,6435.919915683355,5.658907217632153
D,train,2789,1466,1323,-7210.813174992467,-12788.813174992465,26.4953526569189,-12762.317822335546,-0.002585447534956065,0.3298673359627107,0.01681732334313518,-0.015998452088541885,16.627985581286456,12799.206438343332,12.826284308027061
D,validation,604,298,306,-13741.575696731481,-14949.575696731481,0.6850847702926001,-14948.890611961187,-0.022750953140283907,0.2947019867549669,0.031075972836738897,-0.039910037547473715,3.528191143584447,14939.014514594872,15.088025321737868
E,oos,827,401,426,4625.83071742332,2971.8307174233205,0.5404717035991002,2972.3711891269195,0.005593507518045128,0.5671100362756953,0.025333364960660177,-0.015682592498100886,46.151187785470526,563.0626489283668,0.4833533945001026
E,train,2789,1323,1466,7210.813174992467,1632.8131749924657,-26.4953526569189,1606.3178223355471,0.002585447534956065,0.4506991753316601,0.018360106260210517,-0.015477658509862819,21.818318785613716,3119.957289290661,1.312510144181804
E,validation,604,306,298,13741.575696731481,12533.575696731481,-0.6850847702926001,12532.890611961186,0.022750953140283907,0.5562913907284768,0.06290797640556475,-0.025541515643626812,70.18989813872221,404.7951559435048,0.25136215971650927
