group,timeframe,split,trade_count,total_funding_adjusted_pnl,largest_symbol_pnl_share,largest_symbol_pnl_symbol,largest_symbol_trade_count_share,largest_symbol_trade_count_symbol,top_5pct_trade_pnl_contribution,top_5pct_trade_pnl,top_5pct_trade_count,max_drawdown,max_drawdown_pct
A,15m,oos,2211,-17815.42254942606,0.38983173501842583,ETHUSDT_SWAP_OKX.GLOBAL,0.3518769787426504,BTCUSDT_SWAP_OKX.GLOBAL,-0.250397602546495,4460.939094729052,111,18074.027883239087,17.869644888693387
A,15m,train,6322,-31969.062119930597,0.5186023741418132,SOLUSDT_SWAP_OKX.GLOBAL,0.3400822524517558,SOLUSDT_SWAP_OKX.GLOBAL,-0.43660807411550384,13957.950643461807,317,31977.689546830683,32.022746919347796
A,15m,validation,1653,-26306.920511181313,0.764788149442123,SOLUSDT_SWAP_OKX.GLOBAL,0.37326073805202664,BTCUSDT_SWAP_OKX.GLOBAL,-0.10739703466325018,2825.285254022707,83,26288.004022958565,26.794868843872415
A,1h,oos,480,-6951.856674895507,0.5452266914911889,ETHUSDT_SWAP_OKX.GLOBAL,0.36666666666666664,BTCUSDT_SWAP_OKX.GLOBAL,-0.18072917303876224,1256.4033079378644,24,7040.9592178366165,6.5262914393159255
A,1h,train,1433,-15624.16740340236,0.7452170845099135,SOLUSDT_SWAP_OKX.GLOBAL,0.35170969993021634,ETHUSDT_SWAP_OKX.GLOBAL,-0.28485351509039414,4450.599005219919,72,15500.663533830604,18.985464449298576
A,1h,validation,343,-5930.7522795209325,0.8016565166642036,SOLUSDT_SWAP_OKX.GLOBAL,0.41690962099125367,ETHUSDT_SWAP_OKX.GLOBAL,-0.18499881444687102,1097.1821404894504,18,5937.589274881752,5.8972696695098215
A,30m,oos,1019,-9292.742568181835,0.40941316495266666,SOLUSDT_SWAP_OKX.GLOBAL,0.3601570166830226,BTCUSDT_SWAP_OKX.GLOBAL,-0.31261688249638436,2905.0682115064496,51,9593.983791187226,9.510275094994741
A,30m,train,2959,-27796.172183581835,0.7123729702766699,SOLUSDT_SWAP_OKX.GLOBAL,0.3430212909766813,SOLUSDT_SWAP_OKX.GLOBAL,-0.30090232604393535,8363.93286515751,148,27823.61394350567,27.75722216648776
A,30m,validation,735,-16392.99446576127,0.8381712984216314,SOLUSDT_SWAP_OKX.GLOBAL,0.3904761904761905,ETHUSDT_SWAP_OKX.GLOBAL,-0.09495130764999675,1556.536260823192,37,16385.255707731285,16.513046176428528
B,15m,oos,807,-4457.414815092642,0.3860169748506671,ETHUSDT_SWAP_OKX.GLOBAL,0.37670384138785623,BTCUSDT_SWAP_OKX.GLOBAL,-0.303511334419923,1352.8759185919018,41,4457.0212783329025,4.494743387156409
