group,timeframe,event_count,long_count,short_count,squeeze_count,volume_confirm_count,mean_future_return_3,mean_future_return_5,mean_future_return_10,mean_future_return_20,reversal_rate_3,reversal_rate_5,reversal_rate_10
A,15m,19455,10371,9084,4980,11469,-0.004995558955619224,-0.005764830775920504,-0.006031223564238469,-0.0064304343304047865,0.602621434078643,0.6041634541249036,0.5936263171421229
A,1h,3823,2044,1779,866,2470,-0.008133280822119993,-0.00893188407810734,-0.008966615206110884,-0.007287796411816073,0.5908972011509286,0.5838346848025111,0.5725869735809573
A,30m,8371,4520,3851,2058,5274,-0.00668804947986768,-0.007374698707277269,-0.008111636114431331,-0.007844185722999374,0.6084099868593955,0.5988531836100824,0.5812925576394696
B,15m,4980,2665,2315,4980,3005,-0.002937638456545812,-0.0034982771406992103,-0.0032402103713517036,-0.004045818933922201,0.5975903614457831,0.5987951807228916,0.5921686746987952
B,1h,866,428,438,866,596,-0.007003609405013007,-0.007649041821501504,-0.008464482385088675,-0.008043204170050701,0.5508083140877598,0.5565819861431871,0.5519630484988453
B,30m,2058,1102,956,2058,1327,-0.00545260989975838,-0.005906098637711115,-0.005399069850539762,-0.005440056214988351,0.6025267249757046,0.5942662779397473,0.5850340136054422
C,15m,11469,5827,5642,3005,11469,-0.006669733416739674,-0.0078000358254624105,-0.007888499703494424,-0.008379117791372724,0.6158339872700322,0.6193216496643125,0.6055453832069055
C,1h,2470,1274,1196,596,2470,-0.007436267670510392,-0.007813186211443572,-0.00730986652918578,-0.005124079250999601,0.5744939271255061,0.5607287449392713,0.5493927125506073
C,30m,5274,2745,2529,1327,5274,-0.007727609569231966,-0.008373005749465916,-0.009178177389634272,-0.008154695676903398,0.608266970041714,0.5915813424345847,0.5783086841107319
D,15m,3005,1598,1407,3005,3005,-0.0044259161053327705,-0.005275553397287122,-0.004850608695297644,-0.006082479753885969,0.6183028286189683,0.6179700499168054,0.6129783693843595
D,1h,596,286,310,596,596,-0.006886729262254059,-0.006846489560591475,-0.007212046915063264,-0.006211411167512647,0.5486577181208053,0.5302013422818792,0.5318791946308725
D,30m,1327,693,634,1327,1327,-0.007365925860175954,-0.007848181218064278,-0.0074548983677766995,-0.006328098127750841,0.6103993971363979,0.5892991710625471,0.5938206480783723
E,15m,3005,1407,1598,3005,3005,0.0044259161053327705,0.005275553397287122,0.004850608695297644,0.006082479753885969,0.3777038269550749,0.3793677204658902,0.3856905158069884
E,1h,596,310,286,596,596,0.006886729262254059,0.006846489560591475,0.007212046915063264,0.006211411167512647,0.4513422818791946,0.4697986577181208,0.4664429530201342
E,30m,1327,634,693,1327,1327,0.007365925860175954,0.007848181218064278,0.0074548983677766995,0.006328098127750841,0.3888470233609646,0.4091936699321778,0.40617935192162774
