timeframe,split,baseline_group,d_trade_count,baseline_trade_count,d_no_cost_pnl,baseline_no_cost_pnl,d_cost_aware_pnl,baseline_cost_aware_pnl,d_funding_adjusted_pnl,baseline_funding_adjusted_pnl,d_avg_no_cost_pnl,baseline_avg_no_cost_pnl,d_positive,d_better_than_baseline,d_less_negative_but_still_negative,improvement_source,nearest_to_d_among_abc,squeeze_incremental_no_cost_pnl,volume_incremental_no_cost_pnl,stronger_incremental_component,ablation_pass_but_no_edge
15m,train,A,1651,6322,-4030.6580011208184,-19324.89724914905,-7332.658001120818,-31968.897249149046,-7319.998362092071,-31969.062119930597,-2.4413434289041906,-3.0567695743671384,False,True,True,signal_quality_or_payoff_improvement,B,12833.572039088484,150.80213320235134,squeeze_conditional_on_volume,True
15m,train,B,1651,2306,-4030.6580011208184,-4181.46013432317,-7332.658001120818,-8793.46013432317,-7319.998362092071,-8785.371329153575,-2.4413434289041906,-1.8132958084662487,False,True,True,fewer_trades_less_loss,B,12833.572039088484,150.80213320235134,squeeze_conditional_on_volume,True
15m,train,C,1651,4725,-4030.6580011208184,-16864.230040209302,-7332.658001120818,-26314.230040209302,-7319.998362092071,-26302.337719613835,-2.4413434289041906,-3.5691492148591117,False,True,True,signal_quality_or_payoff_improvement,B,12833.572039088484,150.80213320235134,squeeze_conditional_on_volume,True
15m,validation,A,387,1653,-6083.4356056708075,-23001.92459735598,-6857.4356056708075,-26307.92459735598,-6857.069689697442,-26306.920511181313,-15.719471849278571,-13.915259889507551,False,True,True,fewer_trades_less_loss,B,15882.157630354237,108.90763725688521,squeeze_conditional_on_volume,True
15m,validation,B,387,533,-6083.4356056708075,-6192.343242927693,-6857.4356056708075,-7258.343242927692,-6857.069689697442,-7258.28436431625,-15.719471849278571,-11.61790477097128,False,True,True,fewer_trades_less_loss,B,15882.157630354237,108.90763725688521,squeeze_conditional_on_volume,True
15m,validation,C,387,1202,-6083.4356056708075,-21965.593236025044,-6857.4356056708075,-24369.593236025044,-6857.069689697442,-24369.809334585152,-15.719471849278571,-18.274204023315345,False,True,True,signal_quality_or_payoff_improvement,B,15882.157630354237,108.90763725688521,squeeze_conditional_on_volume,True
15m,oos,A,508,2211,-2496.626039435011,-13396.712292843004,-3512.626039435011,-17818.712292843004,-3511.6987233856235,-17815.422549426065,-4.914618187864195,-6.059119083149255,False,True,True,signal_quality_or_payoff_improvement,B,7257.954044722909,347.8289516817654,squeeze_conditional_on_volume,True
15m,oos,B,508,807,-2496.626039435011,-2844.4549911167765,-3512.626039435011,-4458.454991116776,-3511.6987233856235,-4457.414815092642,-4.914618187864195,-3.524727374370231,False,True,True,fewer_trades_less_loss,B,7257.954044722909,347.8289516817654,squeeze_conditional_on_volume,True
15m,oos,C,508,1355,-2496.626039435011,-9754.58008415792,-3512.626039435011,-12464.58008415792,-3511.6987233856235,-12462.996465287755,-4.914618187864195,-7.198952091629462,False,True,True,signal_quality_or_payoff_improvement,B,7257.954044722909,347.8289516817654,squeeze_conditional_on_volume,True
15m,all,A,2546,10186,-12610.719646226638,-55723.53413934803,-17702.719646226637,-76095.53413934803,-17688.766775175136,-76091.40518053799,-4.953149900324681,-5.4706002492978625,False,True,True,signal_quality_or_payoff_improvement,B,35973.683714165636,607.5387221410001,squeeze_conditional_on_volume,True
