feature,bin,event_count,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,mean_future_return_10,reversal_rate_10,mfe_mae_ratio_10,no_parameter_tuning_allowed
bb_width_percentile,"(0.004, 0.025]",1006,957,-7669.002743444485,-9583.002743444486,-9574.724798969039,-0.007975758200083853,0.6153081510934394,10.906411568452302,True
bb_width_percentile,"(0.025, 0.065]",1034,909,-1594.1494150592252,-3412.1494150592252,-3405.0372461130146,-0.0020294621866342013,0.6025145067698259,19.919218091352118,True
bb_width_percentile,"(0.065, 0.11]",951,809,-4936.1614070433425,-6554.1614070433425,-6552.562527990696,-0.005787075871220263,0.5709779179810726,6.2947375711968,True
bb_width_percentile,"(0.11, 0.155]",990,797,-5984.433651291773,-7578.433651291773,-7575.076947004069,-0.0064980582928796365,0.5838383838383838,13.367059746706673,True
bb_width_percentile,"(0.155, 0.205]",947,748,-5394.472372308442,-6890.472372308442,-6884.178103346833,-0.0070838919863160784,0.6166842661034847,6.731239997394218,True
volume_ratio,"(1.499, 1.88]",986,882,-805.8086742560918,-2569.8086742560918,-2570.3304724721247,-0.0010089844797745687,0.5882352941176471,8.288107334284637,True
volume_ratio,"(1.88, 2.433]",985,849,-2287.53116309109,-3985.53116309109,-3981.954898085258,-0.002539475467110269,0.5746192893401015,5.169502493041709,True
volume_ratio,"(2.433, 3.34]",986,850,-1046.6251346001,-2746.6251346001,-2734.37323334737,-0.0010453667040103923,0.537525354969574,12.023942947530953,True
volume_ratio,"(3.34, 5.534]",985,830,-5098.900237227805,-6758.900237227805,-6753.6691144319475,-0.0058317791526306464,0.6263959390862944,21.12521295819443,True
volume_ratio,"(5.534, 6818516792.076]",986,809,-16339.354379972177,-17957.354379972177,-17951.251905086952,-0.01875845147781946,0.6632860040567952,11.43203314619105,True
atr,"(0.00013999999999999993, 1.111]",986,825,144.63688678660202,-1505.3631132133983,-1500.7359717804052,-0.0014384837352541316,0.5476673427991886,11.61385601219151,True
atr,"(1.111, 8.798]",985,840,-10737.381540594917,-12417.381540594917,-12405.666641111158,-0.01158822723311562,0.6192893401015228,15.359379652407588,True
atr,"(189.21, 1406.621]",986,866,-2645.9834845661517,-4377.983484566152,-4376.37143117898,-0.0029528576526797207,0.6247464503042597,10.243509214708533,True
atr,"(25.59, 189.21]",985,837,-2593.9105875954624,-4267.910587595463,-4264.39676750635,-0.003173657134958555,0.5786802030456852,16.53504544768907,True
atr,"(8.798, 25.59]",986,852,-9745.580863177334,-11449.580863177334,-11444.408811846757,-0.010037312894250423,0.6196754563894523,4.267642004731391,True
timeframe,15m,3005,2546,-12610.719646226637,-17702.719646226637,-17688.76677517514,-0.004850608695297634,0.6129783693843595,9.693145138527274,True
timeframe,1h,596,533,-3912.378697137565,-4978.378697137565,-4968.973146979301,-0.007212046915063259,0.5318791946308725,22.752999715008283,True
timeframe,30m,1327,1141,-9055.121245783064,-11337.121245783066,-11333.839701269213,-0.007454898367776687,0.5938206480783723,10.913794704874384,True
direction,long,2577,2190,-6256.945806132921,-10636.94580613292,-10697.312323904483,-0.0030020157774058383,0.5894450911913077,12.845950057253079,True
direction,short,2351,2030,-19321.273783014345,-23381.27378301434,-23294.267299519168,-0.008945518743688608,0.6074011059123777,10.241578746963814,True
symbol,BTCUSDT_SWAP_OKX.GLOBAL,1769,1514,-2897.9179280201233,-5925.917928020123,-5922.471191453415,-0.0017617317574574558,0.6054267947993216,13.937768203934704,True
symbol,ETHUSDT_SWAP_OKX.GLOBAL,1805,1553,-4183.542559827461,-7289.542559827461,-7282.870253051543,-0.0027644013363555984,0.6121883656509696,7.906223187315055,True
symbol,SOLUSDT_SWAP_OKX.GLOBAL,1354,1153,-18496.759101299678,-20802.759101299678,-20786.238178918695,-0.015259129493148204,0.569423929098966,13.48669128970845,True
