timeframe,split,direction,event_count,mean_future_return_3,mean_future_return_5,mean_future_return_10,mean_future_return_20,reversal_rate_3,reversal_rate_5,reversal_rate_10,mean_mfe_10,mean_abs_mae_10,mean_mfe_mae_ratio_10,best_horizon,horizon_3_better_than_10,horizon_5_better_than_10,horizon_20_worse_than_10,early_reversal_likely,fixed_hold_decay_likely,mfe_exists_but_fixed_hold_wasted,mae_dominates_mfe
15m,oos,long,303,-0.0032813234661432356,-0.003822501327938946,-0.004302601818677311,-0.004946990370153557,0.6501650165016502,0.6468646864686468,0.66996699669967,0.01198875830291402,0.018595566786495394,35.37041624228821,3,True,True,True,True,True,True,True
15m,oos,short,287,-0.006017682454065273,-0.007138124456064221,-0.006483064112416098,-0.006590328660655965,0.7003484320557491,0.7003484320557491,0.6933797909407665,0.011991225304291277,0.01871638318403041,3.9617270943453025,3,True,False,True,True,True,True,True
15m,train,long,1086,-0.0019164659092325879,-0.0021891912245144596,-0.001985108316038465,-0.002880219327429579,0.580110497237569,0.5957642725598526,0.5718232044198895,0.01152434359555382,0.013027428686813381,8.809837323993726,3,True,False,True,True,True,True,True
15m,train,short,900,-0.002379542493819498,-0.003833376740301868,-0.0035645325738780337,-0.005708786853374165,0.6,0.6011111111111112,0.6088888888888889,0.013488990919071278,0.014219498099847966,5.032589227788573,3,True,False,True,True,True,True,True
15m,validation,long,209,-0.0072764372731294385,-0.008454385048195926,-0.008080177158775204,-0.007902219634009371,0.6555023923444976,0.6028708133971292,0.6028708133971292,0.020122194593624885,0.028147019730460403,3.3789237266564385,3,True,False,False,True,True,True,True
15m,validation,short,220,-0.021976892772811892,-0.022962323301929547,-0.01981403365524875,-0.022591359052405842,0.6954545454545454,0.6636363636363637,0.6590909090909091,0.035751640554415355,0.03505498082620022,11.173666475310954,10,False,False,True,True,False,True,False
1h,oos,long,56,-0.007641071729062517,-0.008236967247829168,-0.012192833251837546,-0.005171035013681363,0.5357142857142857,0.5178571428571429,0.5357142857142857,0.03426167022209175,0.046888932112209666,2.8018166419324833,20,True,True,False,True,True,True,True
1h,oos,short,59,-0.013351919507983484,-0.011193365043070065,-0.007095573798593032,-0.005889795876048853,0.6779661016949152,0.6271186440677966,0.5423728813559322,0.048403947381658735,0.03345699607980423,4.8596466287534135,20,False,False,False,True,False,True,False
1h,train,long,196,-0.0019649226269236302,-0.00121527000404633,-0.0003457879982560528,0.0012175995769124807,0.5918367346938775,0.5408163265306123,0.5408163265306123,0.02376586361209082,0.021089620551141174,32.38919005349769,20,False,False,False,True,False,True,False
1h,train,short,225,-0.004700918639916907,-0.005861398042682656,-0.007847355238433728,-0.008343281302664702,0.52,0.5511111111111111,0.5466666666666666,0.028575506189825645,0.027259876419861304,28.390248106316697,3,True,True,True,True,True,True,False
1h,validation,long,34,0.005252032952059323,0.007608701792790527,0.006053297511106632,0.0031074855347085796,0.29411764705882354,0.29411764705882354,0.4117647058823529,0.03677188814495283,0.018604754519926225,8.72669853652383,5,False,True,True,False,False,False,False
1h,validation,short,26,-0.06248326784679119,-0.0638660559711981,-0.060358660931910085,-0.05892272578999528,0.5384615384615384,0.38461538461538464,0.46153846153846156,0.03586551959079527,0.07001521473795033,2.8483511429640065,20,False,False,False,True,False,True,True
30m,oos,long,134,-0.003093679368830311,-0.005381418460787929,-0.005451926437451845,-0.007959195433058171,0.6567164179104478,0.6268656716417911,0.6940298507462687,0.021903477395337823,0.02539389422593197,5.210465232599393,3,True,True,True,True,True,True,True
30m,oos,short,107,-0.005776853461386904,-0.005897710617235727,-0.006724159284030744,-0.008020830195164351,0.7009345794392523,0.616822429906542,0.616822429906542,0.018990451714524195,0.02381636107215094,2.7087914885193265,3,True,True,True,True,True,True,True
30m,train,long,482,-0.0013378166592697336,-0.0012502311101946465,-2.7847089320414413e-05,0.001241651110152089,0.5892116182572614,0.5684647302904564,0.5705394190871369,0.018925813462165913,0.01522283225369032,9.280139131954288,20,False,False,False,True,False,True,False
30m,train,short,434,-0.0046629142713864175,-0.00540522031797885,-0.004876073987364519,-0.0026350468648810117,0.5714285714285714,0.5783410138248848,0.5645161290322581,0.02416061533955284,0.020176805745406454,19.750944032275918,20,True,False,False,True,True,True,False
30m,validation,long,77,-0.014605100044824092,-0.016878275005694363,-0.016872470335836068,-0.01513840227066332,0.7012987012987013,0.6363636363636364,0.6623376623376623,0.019673781719264868,0.04157444749136426,1.7336199928925724,3,True,False,False,True,True,True,True
30m,validation,short,93,-0.05321271111463056,-0.05176631374221905,-0.05391170241507323,-0.0512025130914715,0.6559139784946236,0.6236559139784946,0.6236559139784946,0.0450009692287361,0.06024851571975528,3.285298233063871,20,True,True,False,True,True,True,True
all,all,all,4928,-0.005515209446688683,-0.006158295903679297,-0.005837481579705105,-0.006164212445574309,0.6077516233766234,0.5996347402597403,0.5980113636363636,0.01869324291157242,0.020234490910145883,11.602387956760507,3,True,False,True,True,True,True,True
