symbol,direction,timeframe,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,avg_no_cost_pnl,avg_funding_adjusted_pnl,win_rate,sample_sufficient,drag_rank,largest_drag
SOLUSDT_SWAP_OKX.GLOBAL,short,30m,169,0,169,-6729.1851471208865,-7067.1851471208865,-7059.7889771308855,-39.81766359243128,-41.77389927296382,0.3609467455621302,True,1,True
SOLUSDT_SWAP_OKX.GLOBAL,short,15m,322,0,322,-4620.594511406091,-5264.594511406091,-5254.237026345303,-14.349672395671092,-16.317506292997837,0.35403726708074534,True,2,False
SOLUSDT_SWAP_OKX.GLOBAL,short,1h,81,0,81,-3822.150499775783,-3984.150499775783,-3979.4848437964847,-47.18704320710843,-49.12944251600599,0.3333333333333333,True,3,False
SOLUSDT_SWAP_OKX.GLOBAL,long,15m,363,363,0,-2344.196735236196,-3070.1967352361967,-3074.375371193446,-6.457842245829742,-8.469353639651366,0.3746556473829201,True,4,False
ETHUSDT_SWAP_OKX.GLOBAL,short,15m,446,0,446,-2086.588118813276,-2978.5881188132767,-2963.407174468518,-4.6784486968907535,-6.644410705086363,0.242152466367713,True,5,False
BTCUSDT_SWAP_OKX.GLOBAL,short,15m,438,0,438,-1568.2106492288099,-2444.2106492288094,-2430.668802397776,-3.580389610111438,-5.549472151593095,0.2146118721461187,True,6,False
ETHUSDT_SWAP_OKX.GLOBAL,long,15m,487,487,0,-1273.6155469083906,-2247.6155469083906,-2257.60603354083,-2.615226995705114,-4.635741341972957,0.26078028747433263,True,7,False
BTCUSDT_SWAP_OKX.GLOBAL,long,15m,490,490,0,-717.5140846338722,-1697.5140846338722,-1708.4723672292635,-1.464314458436474,-3.4866783004678847,0.27346938775510204,True,8,False
SOLUSDT_SWAP_OKX.GLOBAL,long,30m,157,157,0,-912.9598486763729,-1226.9598486763732,-1231.258754679077,-5.815030883288999,-7.842412450185203,0.37579617834394907,True,9,False
ETHUSDT_SWAP_OKX.GLOBAL,long,30m,214,214,0,-388.1470835652858,-816.1470835652858,-824.1699782234239,-1.813771418529373,-3.851261580483289,0.35046728971962615,True,10,False
ETHUSDT_SWAP_OKX.GLOBAL,short,30m,202,0,202,-418.8803604476445,-822.8803604476444,-814.3716224643281,-2.073665150730913,-4.031542685466971,0.38613861386138615,True,11,False
BTCUSDT_SWAP_OKX.GLOBAL,long,30m,225,225,0,-339.58670350641466,-789.5867035064148,-797.9477689230114,-1.5092742378062873,-3.546434528546717,0.29777777777777775,True,12,False
BTCUSDT_SWAP_OKX.GLOBAL,short,30m,174,0,174,-266.3621024664581,-614.3621024664582,-606.3025998484877,-1.5308166808417132,-3.484497700278665,0.3218390804597701,True,13,False
ETHUSDT_SWAP_OKX.GLOBAL,long,1h,100,100,0,-268.71777475479996,-468.7177747547999,-476.8625476064652,-2.6871777475479997,-4.768625476064653,0.45,True,14,False
BTCUSDT_SWAP_OKX.GLOBAL,short,1h,94,0,94,-61.708718417328924,-249.70871841732887,-239.55335631940574,-0.6564757278439247,-2.5484399608447417,0.425531914893617,True,15,False
SOLUSDT_SWAP_OKX.GLOBAL,long,1h,61,61,0,-67.67235908434866,-189.6723590843487,-187.0932057734974,-1.1093829358089944,-3.067101733991761,0.45901639344262296,True,16,False
BTCUSDT_SWAP_OKX.GLOBAL,long,1h,93,93,0,55.46433023276055,-130.53566976723948,-139.52629673546994,0.596390647664092,-1.500282760596451,0.44086021505376344,True,17,False
ETHUSDT_SWAP_OKX.GLOBAL,short,1h,104,0,104,252.4063246619355,44.406324661935486,53.547103252022,2.426983890980149,0.5148759928079039,0.375,True,18,False
