dimension,timeframe,split,direction,d_trade_count,e_trade_count,d_no_cost_pnl,e_no_cost_pnl,d_cost_aware_pnl,e_cost_aware_pnl,d_funding_adjusted_pnl,e_funding_adjusted_pnl,e_better_no_cost,e_better_cost_aware,e_better_funding_adjusted,e_cost_after_cost_positive,e_funding_adjusted_positive,mechanical_no_cost_inverse,reverse_test_failure,possible_false_breakout_research_hypothesis,trend_following_hypothesis_failed
timeframe_split,15m,train,all,1651,1651,-4030.658001120818,4030.658001120818,-7332.658001120818,728.6580011208182,-7319.998362092071,715.9983620920708,True,True,True,True,True,True,True,True,True
timeframe_split,15m,validation,all,387,387,-6083.435605670808,6083.435605670808,-6857.435605670808,5309.435605670808,-6857.069689697442,5309.069689697442,True,True,True,True,True,True,True,True,True
timeframe_split,15m,oos,all,508,508,-2496.626039435011,2496.626039435011,-3512.626039435011,1480.6260394350106,-3511.6987233856235,1479.6987233856237,True,True,True,True,True,True,True,True,True
timeframe_split,15m,all,all,2546,2546,-12610.719646226638,12610.719646226638,-17702.719646226637,7518.7196462266365,-17688.766775175136,7504.766775175136,True,True,True,True,True,True,True,True,True
timeframe_split,1h,train,all,374,374,-1659.778970798698,1659.778970798698,-2407.778970798698,911.778970798698,-2396.8862089932445,900.886208993244,True,True,True,True,True,True,True,True,True
timeframe_split,1h,validation,all,57,57,-1349.748757559605,1349.748757559605,-1463.748757559605,1235.748757559605,-1464.12116745748,1236.12116745748,True,True,True,True,True,True,True,True,True
timeframe_split,1h,oos,all,102,102,-902.8509687792616,902.8509687792616,-1106.8509687792612,698.8509687792615,-1107.965770528578,699.9657705285778,True,True,True,True,True,True,True,True,True
timeframe_split,1h,all,all,533,533,-3912.378697137565,3912.378697137565,-4978.378697137565,2846.378697137565,-4968.973146979301,2836.973146979302,True,True,True,True,True,True,True,True,True
timeframe_split,30m,train,all,764,764,-1520.3762030729488,1520.3762030729488,-3048.376203072948,-7.623796927051444,-3045.4332512502306,-10.566748749769433,True,True,True,False,False,True,True,True,True
timeframe_split,30m,validation,all,160,160,-6308.391333501068,6308.391333501068,-6628.391333501068,5988.391333501068,-6627.6997548062645,5987.6997548062645,True,True,True,True,True,True,True,True,True
timeframe_split,30m,oos,all,217,217,-1226.353709209048,1226.353709209048,-1660.353709209048,792.353709209048,-1660.7066952127184,792.7066952127184,True,True,True,True,True,True,True,True,True
timeframe_split,30m,all,all,1141,1141,-9055.121245783064,9055.121245783064,-11337.121245783064,6773.121245783063,-11333.839701269217,6769.839701269214,True,True,True,True,True,True,True,True,True
original_d_direction,all,all,long,2190,2190,-6256.9458061329215,6256.9458061329215,-10636.94580613292,1876.9458061329206,-10697.312323904483,1937.3123239044842,True,True,True,True,True,True,True,True,True
original_d_direction,all,all,short,2030,2030,-19321.27378301434,19321.27378301434,-23381.27378301434,15261.273783014343,-23294.267299519168,15174.267299519168,True,True,True,True,True,True,True,True,True
