datetime,vt_orderid,symbol,exchange,type,direction,offset,price,volume,traded,status,gateway_name,orderid,reference
2026-01-01 06:43:00+08:00,BACKTESTING.1,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,86667.7,0.01,0.01,全部成交,BACKTESTING,1,
2026-01-01 06:52:00+08:00,BACKTESTING.2,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,86750.0,0.01,0.01,全部成交,BACKTESTING,2,
2026-01-01 07:06:00+08:00,BACKTESTING.3,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,86441.9,0.01,0.01,全部成交,BACKTESTING,3,
2026-01-01 07:07:00+08:00,BACKTESTING.4,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,86438.3,0.01,0.01,全部成交,BACKTESTING,4,
2026-01-01 07:29:00+08:00,BACKTESTING.5,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,86046.0,0.01,0.01,全部成交,BACKTESTING,5,
2026-01-01 07:37:00+08:00,BACKTESTING.6,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,86342.3,0.01,0.01,全部成交,BACKTESTING,6,
2026-01-01 17:43:00+08:00,BACKTESTING.7,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,87000.1,0.01,0.01,全部成交,BACKTESTING,7,
2026-01-01 17:46:00+08:00,BACKTESTING.8,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,86899.9,0.01,0.01,全部成交,BACKTESTING,8,
2026-01-01 20:22:00+08:00,BACKTESTING.9,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,87246.3,0.01,0.01,全部成交,BACKTESTING,9,
2026-01-01 20:23:00+08:00,BACKTESTING.10,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,87108.5,0.01,0.01,全部成交,BACKTESTING,10,
2026-01-01 20:47:00+08:00,BACKTESTING.11,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,87275.1,0.01,0.01,全部成交,BACKTESTING,11,
2026-01-01 20:53:00+08:00,BACKTESTING.12,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,87108.5,0.01,0.01,全部成交,BACKTESTING,12,
2026-01-01 23:22:00+08:00,BACKTESTING.13,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,87916.8,0.01,0.01,全部成交,BACKTESTING,13,
2026-01-01 23:38:00+08:00,BACKTESTING.14,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,87797.0,0.01,0.01,全部成交,BACKTESTING,14,
2026-01-02 10:19:00+08:00,BACKTESTING.15,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,87228.9,0.01,0.01,全部成交,BACKTESTING,15,
2026-01-02 10:34:00+08:00,BACKTESTING.16,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,87315.6,0.01,0.01,全部成交,BACKTESTING,16,
2026-01-02 14:37:00+08:00,BACKTESTING.17,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,88105.8,0.01,0.01,全部成交,BACKTESTING,17,
2026-01-02 14:44:00+08:00,BACKTESTING.18,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,87725.7,0.01,0.01,全部成交,BACKTESTING,18,
2026-01-02 20:38:00+08:00,BACKTESTING.19,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,89840.1,0.01,0.01,全部成交,BACKTESTING,19,
2026-01-02 20:41:00+08:00,BACKTESTING.20,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,89685.4,0.01,0.01,全部成交,BACKTESTING,20,
2026-01-05 01:06:00+08:00,BACKTESTING.21,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,93182.3,0.01,0.01,全部成交,BACKTESTING,21,
