datetime,vt_tradeid,vt_orderid,symbol,exchange,direction,offset,price,volume,gateway_name,tradeid,orderid
2026-01-01 06:44:00+08:00,BACKTESTING.1,BACKTESTING.1,BTCUSDT_SWAP_OKX,GLOBAL,空,开,86667.8,0.01,BACKTESTING,1,1
2026-01-01 06:53:00+08:00,BACKTESTING.2,BACKTESTING.2,BTCUSDT_SWAP_OKX,GLOBAL,多,平,86750.0,0.01,BACKTESTING,2,2
2026-01-01 07:07:00+08:00,BACKTESTING.3,BACKTESTING.3,BTCUSDT_SWAP_OKX,GLOBAL,空,开,86441.9,0.01,BACKTESTING,3,3
2026-01-01 07:08:00+08:00,BACKTESTING.4,BACKTESTING.4,BTCUSDT_SWAP_OKX,GLOBAL,多,平,86438.2,0.01,BACKTESTING,4,4
2026-01-01 07:30:00+08:00,BACKTESTING.5,BACKTESTING.5,BTCUSDT_SWAP_OKX,GLOBAL,空,开,86046.0,0.01,BACKTESTING,5,5
2026-01-01 07:38:00+08:00,BACKTESTING.6,BACKTESTING.6,BTCUSDT_SWAP_OKX,GLOBAL,多,平,86342.2,0.01,BACKTESTING,6,6
2026-01-01 12:41:00+08:00,BACKTESTING.7,BACKTESTING.7,BTCUSDT_SWAP_OKX,GLOBAL,空,开,86420.0,0.01,BACKTESTING,7,7
2026-01-01 12:56:00+08:00,BACKTESTING.8,BACKTESTING.8,BTCUSDT_SWAP_OKX,GLOBAL,多,平,86400.1,0.01,BACKTESTING,8,8
2026-01-01 17:44:00+08:00,BACKTESTING.9,BACKTESTING.9,BTCUSDT_SWAP_OKX,GLOBAL,多,开,87000.0,0.01,BACKTESTING,9,9
2026-01-01 17:47:00+08:00,BACKTESTING.10,BACKTESTING.10,BTCUSDT_SWAP_OKX,GLOBAL,空,平,86900.0,0.01,BACKTESTING,10,10
2026-01-01 19:32:00+08:00,BACKTESTING.11,BACKTESTING.11,BTCUSDT_SWAP_OKX,GLOBAL,多,开,87202.5,0.01,BACKTESTING,11,11
2026-01-01 19:44:00+08:00,BACKTESTING.12,BACKTESTING.12,BTCUSDT_SWAP_OKX,GLOBAL,空,平,86823.3,0.01,BACKTESTING,12,12
2026-01-01 20:23:00+08:00,BACKTESTING.13,BACKTESTING.13,BTCUSDT_SWAP_OKX,GLOBAL,多,开,87246.1,0.01,BACKTESTING,13,13
2026-01-01 20:24:00+08:00,BACKTESTING.14,BACKTESTING.14,BTCUSDT_SWAP_OKX,GLOBAL,空,平,87145.6,0.01,BACKTESTING,14,14
2026-01-01 20:48:00+08:00,BACKTESTING.15,BACKTESTING.15,BTCUSDT_SWAP_OKX,GLOBAL,多,开,87236.1,0.01,BACKTESTING,15,15
2026-01-01 20:54:00+08:00,BACKTESTING.16,BACKTESTING.16,BTCUSDT_SWAP_OKX,GLOBAL,空,平,87145.6,0.01,BACKTESTING,16,16
2026-01-01 21:27:00+08:00,BACKTESTING.17,BACKTESTING.17,BTCUSDT_SWAP_OKX,GLOBAL,多,开,87386.3,0.01,BACKTESTING,17,17
2026-01-01 21:47:00+08:00,BACKTESTING.18,BACKTESTING.18,BTCUSDT_SWAP_OKX,GLOBAL,空,平,87235.7,0.01,BACKTESTING,18,18
2026-01-01 21:58:00+08:00,BACKTESTING.19,BACKTESTING.19,BTCUSDT_SWAP_OKX,GLOBAL,多,开,88365.3,0.01,BACKTESTING,19,19
2026-01-01 22:03:00+08:00,BACKTESTING.20,BACKTESTING.20,BTCUSDT_SWAP_OKX,GLOBAL,空,平,88191.0,0.01,BACKTESTING,20,20
2026-01-08 00:01:00+08:00,BACKTESTING.21,BACKTESTING.21,BTCUSDT_SWAP_OKX,GLOBAL,空,开,89735.8,0.01,BACKTESTING,21,21
2026-01-08 00:03:00+08:00,BACKTESTING.22,BACKTESTING.22,BTCUSDT_SWAP_OKX,GLOBAL,多,平,91401.0,0.01,BACKTESTING,22,22
2026-01-08 01:53:00+08:00,BACKTESTING.23,BACKTESTING.23,BTCUSDT_SWAP_OKX,GLOBAL,空,开,92469.0,0.01,BACKTESTING,23,23
2026-01-08 02:13:00+08:00,BACKTESTING.24,BACKTESTING.24,BTCUSDT_SWAP_OKX,GLOBAL,多,平,92600.0,0.01,BACKTESTING,24,24
2026-01-08 02:58:00+08:00,BACKTESTING.25,BACKTESTING.25,BTCUSDT_SWAP_OKX,GLOBAL,空,开,91960.7,0.01,BACKTESTING,25,25
2026-01-08 03:03:00+08:00,BACKTESTING.26,BACKTESTING.26,BTCUSDT_SWAP_OKX,GLOBAL,多,平,92298.9,0.01,BACKTESTING,26,26
2026-01-08 04:14:00+08:00,BACKTESTING.27,BACKTESTING.27,BTCUSDT_SWAP_OKX,GLOBAL,空,开,92199.9,0.01,BACKTESTING,27,27
2026-01-08 04:20:00+08:00,BACKTESTING.28,BACKTESTING.28,BTCUSDT_SWAP_OKX,GLOBAL,多,平,92630.4,0.01,BACKTESTING,28,28
2026-01-08 06:01:00+08:00,BACKTESTING.29,BACKTESTING.29,BTCUSDT_SWAP_OKX,GLOBAL,空,开,92200.0,0.01,BACKTESTING,29,29
2026-01-08 06:21:00+08:00,BACKTESTING.30,BACKTESTING.30,BTCUSDT_SWAP_OKX,GLOBAL,多,平,92261.7,0.01,BACKTESTING,30,30
2026-01-08 11:46:00+08:00,BACKTESTING.31,BACKTESTING.31,BTCUSDT_SWAP_OKX,GLOBAL,空,开,92000.0,0.01,BACKTESTING,31,31
2026-01-08 12:06:00+08:00,BACKTESTING.32,BACKTESTING.32,BTCUSDT_SWAP_OKX,GLOBAL,多,平,92255.6,0.01,BACKTESTING,32,32
2026-01-08 12:23:00+08:00,BACKTESTING.33,BACKTESTING.33,BTCUSDT_SWAP_OKX,GLOBAL,空,开,91620.0,0.01,BACKTESTING,33,33
2026-01-08 12:25:00+08:00,BACKTESTING.34,BACKTESTING.34,BTCUSDT_SWAP_OKX,GLOBAL,多,平,92029.5,0.01,BACKTESTING,34,34
2026-01-08 13:43:00+08:00,BACKTESTING.35,BACKTESTING.35,BTCUSDT_SWAP_OKX,GLOBAL,空,开,92139.9,0.01,BACKTESTING,35,35
2026-01-08 14:03:00+08:00,BACKTESTING.36,BACKTESTING.36,BTCUSDT_SWAP_OKX,GLOBAL,多,平,92108.8,0.01,BACKTESTING,36,36
2026-01-08 14:13:00+08:00,BACKTESTING.37,BACKTESTING.37,BTCUSDT_SWAP_OKX,GLOBAL,空,开,91787.5,0.01,BACKTESTING,37,37
2026-01-08 14:16:00+08:00,BACKTESTING.38,BACKTESTING.38,BTCUSDT_SWAP_OKX,GLOBAL,多,平,92196.0,0.01,BACKTESTING,38,38
2026-01-08 16:04:00+08:00,BACKTESTING.39,BACKTESTING.39,BTCUSDT_SWAP_OKX,GLOBAL,空,开,91243.2,0.01,BACKTESTING,39,39
2026-01-08 16:08:00+08:00,BACKTESTING.40,BACKTESTING.40,BTCUSDT_SWAP_OKX,GLOBAL,多,平,91639.9,0.01,BACKTESTING,40,40
2026-01-15 08:48:00+08:00,BACKTESTING.41,BACKTESTING.41,BTCUSDT_SWAP_OKX,GLOBAL,空,开,95825.1,0.01,BACKTESTING,41,41
2026-01-15 08:49:00+08:00,BACKTESTING.42,BACKTESTING.42,BTCUSDT_SWAP_OKX,GLOBAL,多,平,95266.7,0.01,BACKTESTING,42,42
2026-01-15 09:28:00+08:00,BACKTESTING.43,BACKTESTING.43,BTCUSDT_SWAP_OKX,GLOBAL,空,开,94755.6,0.01,BACKTESTING,43,43
2026-01-15 09:48:00+08:00,BACKTESTING.44,BACKTESTING.44,BTCUSDT_SWAP_OKX,GLOBAL,多,平,94680.0,0.01,BACKTESTING,44,44
