datetime,vt_orderid,symbol,exchange,type,direction,offset,price,volume,traded,status,gateway_name,orderid,reference
2025-01-01 17:26:00+08:00,BACKTESTING.1,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,93031.5,0.01,0.01,全部成交,BACKTESTING,1,
2025-01-01 17:29:00+08:00,BACKTESTING.2,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,93146.8,0.01,0.01,全部成交,BACKTESTING,2,
2025-01-03 15:41:00+08:00,BACKTESTING.3,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,95641.4,0.01,0.01,全部成交,BACKTESTING,3,
2025-01-03 15:42:00+08:00,BACKTESTING.4,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,96360.1,0.01,0.01,全部成交,BACKTESTING,4,
2025-01-04 17:47:00+08:00,BACKTESTING.5,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,96773.7,0.01,0.01,全部成交,BACKTESTING,5,
2025-01-04 17:48:00+08:00,BACKTESTING.6,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,97670.8,0.01,0.01,全部成交,BACKTESTING,6,
2025-01-05 22:16:00+08:00,BACKTESTING.7,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,97110.9,0.01,0.01,全部成交,BACKTESTING,7,
2025-01-05 22:17:00+08:00,BACKTESTING.8,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,96723.1,0.01,0.01,全部成交,BACKTESTING,8,
2025-01-07 19:33:00+08:00,BACKTESTING.9,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,100555.5,0.01,0.01,全部成交,BACKTESTING,9,
2025-01-07 19:34:00+08:00,BACKTESTING.10,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,101142.3,0.01,0.01,全部成交,BACKTESTING,10,
2025-01-07 20:27:00+08:00,BACKTESTING.11,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,100684.0,0.01,0.01,全部成交,BACKTESTING,11,
2025-01-07 20:33:00+08:00,BACKTESTING.12,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,100870.1,0.01,0.01,全部成交,BACKTESTING,12,
2025-01-07 22:34:00+08:00,BACKTESTING.13,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,100448.0,0.01,0.01,全部成交,BACKTESTING,13,
2025-01-07 22:38:00+08:00,BACKTESTING.14,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,100464.3,0.01,0.01,全部成交,BACKTESTING,14,
2025-01-07 23:10:00+08:00,BACKTESTING.15,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,98624.4,0.01,0.01,全部成交,BACKTESTING,15,
2025-01-07 23:15:00+08:00,BACKTESTING.16,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,97152.0,0.01,0.01,全部成交,BACKTESTING,16,
2025-01-08 01:04:00+08:00,BACKTESTING.17,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,97630.7,0.01,0.01,全部成交,BACKTESTING,17,
