datetime,vt_tradeid,vt_orderid,symbol,exchange,direction,offset,price,volume,gateway_name,tradeid,orderid
2025-01-01 17:27:00+08:00,BACKTESTING.1,BACKTESTING.1,BTCUSDT_SWAP_OKX,GLOBAL,空,开,93031.5,0.01,BACKTESTING,1,1
2025-01-01 17:30:00+08:00,BACKTESTING.2,BACKTESTING.2,BTCUSDT_SWAP_OKX,GLOBAL,多,平,93146.8,0.01,BACKTESTING,2,2
2025-01-03 15:42:00+08:00,BACKTESTING.3,BACKTESTING.3,BTCUSDT_SWAP_OKX,GLOBAL,空,开,95641.4,0.01,BACKTESTING,3,3
2025-01-03 15:43:00+08:00,BACKTESTING.4,BACKTESTING.4,BTCUSDT_SWAP_OKX,GLOBAL,多,平,96360.0,0.01,BACKTESTING,4,4
2025-01-04 17:48:00+08:00,BACKTESTING.5,BACKTESTING.5,BTCUSDT_SWAP_OKX,GLOBAL,空,开,96773.9,0.01,BACKTESTING,5,5
2025-01-04 17:49:00+08:00,BACKTESTING.6,BACKTESTING.6,BTCUSDT_SWAP_OKX,GLOBAL,多,平,97670.8,0.01,BACKTESTING,6,6
2025-01-05 22:17:00+08:00,BACKTESTING.7,BACKTESTING.7,BTCUSDT_SWAP_OKX,GLOBAL,空,开,97170.4,0.01,BACKTESTING,7,7
2025-01-05 22:18:00+08:00,BACKTESTING.8,BACKTESTING.8,BTCUSDT_SWAP_OKX,GLOBAL,多,平,96723.1,0.01,BACKTESTING,8,8
2025-01-07 19:34:00+08:00,BACKTESTING.9,BACKTESTING.9,BTCUSDT_SWAP_OKX,GLOBAL,空,开,100661.5,0.01,BACKTESTING,9,9
2025-01-07 19:35:00+08:00,BACKTESTING.10,BACKTESTING.10,BTCUSDT_SWAP_OKX,GLOBAL,多,平,101142.3,0.01,BACKTESTING,10,10
2025-01-07 20:28:00+08:00,BACKTESTING.11,BACKTESTING.11,BTCUSDT_SWAP_OKX,GLOBAL,空,开,100684.1,0.01,BACKTESTING,11,11
2025-01-07 20:34:00+08:00,BACKTESTING.12,BACKTESTING.12,BTCUSDT_SWAP_OKX,GLOBAL,多,平,100870.1,0.01,BACKTESTING,12,12
2025-01-07 22:35:00+08:00,BACKTESTING.13,BACKTESTING.13,BTCUSDT_SWAP_OKX,GLOBAL,空,开,100448.1,0.01,BACKTESTING,13,13
2025-01-07 22:39:00+08:00,BACKTESTING.14,BACKTESTING.14,BTCUSDT_SWAP_OKX,GLOBAL,多,平,100464.2,0.01,BACKTESTING,14,14
2025-01-07 23:11:00+08:00,BACKTESTING.15,BACKTESTING.15,BTCUSDT_SWAP_OKX,GLOBAL,空,开,98624.4,0.01,BACKTESTING,15,15
2025-01-07 23:16:00+08:00,BACKTESTING.16,BACKTESTING.16,BTCUSDT_SWAP_OKX,GLOBAL,多,平,97132.4,0.01,BACKTESTING,16,16
2025-01-08 01:05:00+08:00,BACKTESTING.17,BACKTESTING.17,BTCUSDT_SWAP_OKX,GLOBAL,空,开,97640.9,0.01,BACKTESTING,17,17
2025-01-08 01:06:00+08:00,BACKTESTING.18,BACKTESTING.18,BTCUSDT_SWAP_OKX,GLOBAL,多,平,96655.5,0.01,BACKTESTING,18,18
2025-01-08 01:49:00+08:00,BACKTESTING.19,BACKTESTING.19,BTCUSDT_SWAP_OKX,GLOBAL,空,开,96000.0,0.01,BACKTESTING,19,19
