datetime,vt_orderid,symbol,exchange,type,direction,offset,price,volume,traded,status,gateway_name,orderid,reference
2025-01-01 17:26:00+08:00,BACKTESTING.1,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,93031.5,0.01,0.01,全部成交,BACKTESTING,1,
2025-01-01 17:29:00+08:00,BACKTESTING.2,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,93146.8,0.01,0.01,全部成交,BACKTESTING,2,
2025-01-01 20:28:00+08:00,BACKTESTING.3,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,93976.3,0.01,0.01,全部成交,BACKTESTING,3,
2025-01-01 20:35:00+08:00,BACKTESTING.4,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,93786.5,0.01,0.01,全部成交,BACKTESTING,4,
2025-01-02 03:46:00+08:00,BACKTESTING.5,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,94644.8,0.01,0.01,全部成交,BACKTESTING,5,
2025-01-02 03:49:00+08:00,BACKTESTING.6,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,94740.5,0.01,0.01,全部成交,BACKTESTING,6,
2025-01-02 09:07:00+08:00,BACKTESTING.7,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,95524.1,0.01,0.01,全部成交,BACKTESTING,7,
2025-01-02 09:11:00+08:00,BACKTESTING.8,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,95378.5,0.01,0.0,已撤销,BACKTESTING,8,
2025-01-02 09:13:00+08:00,BACKTESTING.9,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,95343.4,0.01,0.01,全部成交,BACKTESTING,9,
2025-01-02 17:56:00+08:00,BACKTESTING.10,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,97400.1,0.01,0.01,全部成交,BACKTESTING,10,
2025-01-02 17:57:00+08:00,BACKTESTING.11,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,96707.0,0.01,0.01,全部成交,BACKTESTING,11,
2025-01-03 02:56:00+08:00,BACKTESTING.12,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,97294.3,0.01,0.01,全部成交,BACKTESTING,12,
2025-01-03 03:10:00+08:00,BACKTESTING.13,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,97583.4,0.01,0.01,全部成交,BACKTESTING,13,
2025-01-03 03:25:00+08:00,BACKTESTING.14,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,开,97734.3,0.01,0.01,全部成交,BACKTESTING,14,
2025-01-03 03:30:00+08:00,BACKTESTING.15,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,平,97419.9,0.01,0.01,全部成交,BACKTESTING,15,
2025-01-03 15:41:00+08:00,BACKTESTING.16,BTCUSDT_SWAP_OKX,GLOBAL,限价,空,开,95641.4,0.01,0.01,全部成交,BACKTESTING,16,
2025-01-03 15:42:00+08:00,BACKTESTING.17,BTCUSDT_SWAP_OKX,GLOBAL,限价,多,平,96360.1,0.01,0.01,全部成交,BACKTESTING,17,
