rank,name,description,cost_score,cost_returncode,cost_bankrupt,cost_statistics_valid,cost_total_net_pnl,cost_sharpe_ratio,cost_max_ddpercent,cost_engine_trade_count,cost_closed_round_trip_count,no_cost_returncode,no_cost_total_net_pnl,no_cost_sharpe_ratio,no_cost_bankrupt,no_cost_statistics_valid,candidate_dir,cost_report_dir,no_cost_report_dir
1,higher_vol_floor,更高 vol_floor,-663.7336092616102,0,False,True,-56.931235110000365,-13.306423235210103,-1.1376570992778046,7712,3856,0.0,-19.226280000000358,-4.604832500010055,False,True,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/05_higher_vol_floor,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/05_higher_vol_floor/cost,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/05_higher_vol_floor/no_cost
2,longer_cooldown,更长 cooldown_bars,-676.1654298726827,0,False,True,-58.01106117000037,-13.540748307123273,-1.1592538318531367,7722,3861,0.0,-20.249580000000364,-4.812734137556399,False,True,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/03_longer_cooldown,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/03_longer_cooldown/cost,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/03_longer_cooldown/no_cost
3,strict_rsi,更严格 RSI,-684.4106429709626,0,False,True,-58.732969100000375,-13.64022186712691,-1.1736921317662121,7802,3901,0.0,-20.608000000000366,-4.864576486064949,False,True,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/04_strict_rsi,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/04_strict_rsi/cost,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/04_strict_rsi/no_cost
4,lower_vol_ceiling,更低 vol_ceiling,-685.8978094856791,0,False,True,-58.82319567000037,-13.698383833823037,-1.175496680828006,7888,3944,0.0,-20.280220000000362,-4.795101712954588,False,True,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/06_lower_vol_ceiling,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/06_lower_vol_ceiling/cost,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/06_lower_vol_ceiling/no_cost
5,higher_breakout,更高 breakout_window,-688.1524294982828,0,False,True,-59.29309753000035,-13.615461068604004,-1.1853074427629633,7146,3573,0.0,-24.33540000000034,-5.701666338364677,False,True,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/02_higher_breakout,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/02_higher_breakout/cost,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/02_higher_breakout/no_cost
6,baseline,基线 sanity 配置,-696.106907607007,0,False,True,-59.75005117500038,-13.812343281962798,-1.1940339723594537,7888,3944,,,,,,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/01_baseline,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/01_baseline/cost,
7,shorter_max_hold,更短 max_hold_bars,-696.1501492124904,0,False,True,-59.4485365250004,-14.418142311144797,-1.1880036203381277,7938,3969,,,,,,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/07_shorter_max_hold,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/07_shorter_max_hold/cost,
8,wider_stop_trail,更宽 stop/trail,-707.5892617280113,0,False,True,-60.86966131000037,-13.799832966675151,-1.216274189731594,7856,3928,,,,,,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/09_wider_stop_trail,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/09_wider_stop_trail/cost,
9,higher_take_profit,更高 take_profit_atr,-744.403529850912,0,False,True,-64.10958986500037,-14.41462384203492,-1.2812255995366866,7870,3935,,,,,,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/08_higher_take_profit,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/08_higher_take_profit/cost,
10,conservative_combo,组合型 conservative,-744.9735845458785,0,False,True,-64.53463142000027,-14.764899233841703,-1.2901387088333627,5936,2968,,,,,,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/10_conservative_combo,/home/yiast/vnpy_projects/cta_strategy/reports/alpha_sweep/main_20250101_20260331/candidates/10_conservative_combo/cost,
