hour,trade_count,gross_pnl,net_pnl,win_count,loss_count,win_rate_pct,average_pnl,median_pnl,average_win,average_loss,profit_loss_ratio,expectancy,max_win,max_loss,total_volume,avg_duration_minutes
0,561,-424.51786999999473,-1842.2067666856715,148,413,26.38146167557932,-3.2837910279601985,-5.857014675485637,10.827588626182369,-8.340653470606929,1.2981703009649759,-3.2837910279601985,58.19370140996324,-61.08166193933888,1512.77,9.707664884135472
1,506,222.5043700000024,-1113.406855781303,142,364,28.063241106719367,-2.200408805891903,-5.117076446714787,10.626224605737152,-7.20420535658236,1.4750030127928198,-2.200408805891903,43.329519360816796,-38.26406495545566,1432.04,10.523715415019764
2,486,-204.82891999999245,-1538.4222574014511,130,356,26.74897119341564,-3.1654778958877596,-5.243217779213996,8.76181962493662,-7.520951709671944,1.1649881508571476,-3.1654778958877596,39.90554013959699,-40.57517236230796,1410.3999999999999,11.47119341563786
3,488,61.52414999999919,-1316.1207101952762,137,351,28.07377049180328,-2.696968668432943,-5.02364897596968,7.864061734750153,-6.819080250302128,1.1532437581155794,-2.696968668432943,31.101861939510883,-34.44355797031715,1453.85,11.602459016393443
4,467,-363.97298999999714,-1712.5202906831341,114,353,24.411134903640257,-3.6670670036041417,-5.439646909466026,6.733520046176353,-7.025896815714557,0.958385843514773,-3.6670670036041417,36.221628252103486,-69.74960795743749,1415.99,11.038543897216273
5,504,-193.3239500000015,-1669.6064958033157,116,388,23.015873015873016,-3.312711301197055,-5.394205311851648,9.395197288260778,-7.111982941344244,1.3210376579566123,-3.312711301197055,92.6655112129453,-51.47739856671997,1542.42,10.442460317460318
6,472,36.61375000000112,-1338.6710163264788,112,360,23.728813559322035,-2.8361674074713537,-5.372983362647686,9.219548642273711,-6.586834622947596,1.3996933534894156,-2.8361674074713537,55.75266941888189,-40.39233336665516,1459.07,10.900423728813559
7,486,-5.934799999996528,-1425.6386748929738,124,362,25.514403292181072,-2.933412911302415,-4.838778227877148,7.574742162318622,-6.532891444807965,1.159477732993508,-2.933412911302415,39.19282533875457,-46.19931192524156,1502.37,11.065843621399177
8,504,-374.40391000000324,-1807.7456027567669,124,380,24.6031746031746,-3.586796830866601,-5.6312590201752375,8.273544067036772,-7.457013334392965,1.1094983602721795,-3.586796830866601,35.852098021476536,-57.098562064970096,1510.81,9.678571428571429
9,514,-124.93598000000068,-1593.4708530063235,134,380,26.07003891050584,-3.1001378463158047,-5.693506581450379,9.857498730178595,-7.6694096917111985,1.2853008414496618,-3.1001378463158047,44.137081028218965,-50.09481808551659,1574.4,10.494163424124514
