month,day_count,trade_count,round_trip_count,net_pnl,round_trip_net_pnl_estimated,avg_daily_pnl,win_day_count,loss_day_count,end_balance
2025-01,31,1216,608,-1463.461303649998,-1463.8554558846213,-47.20842914999994,3,28,3536.5386963500023
2025-02,28,1114,557,-1713.4994699899983,-1713.6233541420995,-61.19640964249994,2,26,1823.039226360004
2025-03,31,1224,612,-1806.4260556300007,-1805.6192631969413,-58.271808246129055,3,28,16.61317073000282
2025-04,30,1188,594,-1358.831662785003,-1358.1072535868188,-45.294388759500094,1,29,-1342.2184920549998
2025-05,31,1210,605,-1811.900504999996,-1812.5305077869182,-58.44840338709665,4,27,-3154.1189970549967
2025-06,30,1100,550,-2174.6643988200017,-2175.3959486552208,-72.48881329400005,1,29,-5328.783395874996
2025-07,31,1202,601,-2237.6299430099953,-2238.710275874238,-72.18161106483856,2,29,-7566.413338884991
2025-08,31,1190,595,-2176.0311491799944,-2177.1613090458745,-70.19455319935466,1,30,-9742.444488064988
2025-09,30,1146,573,-1843.670961819998,-1844.8491236896257,-61.455698727333264,1,29,-11586.11544988499
2025-10,31,1240,620,-1693.675637919994,-1695.0079920567605,-54.63469799741916,2,29,-13279.79108780498
2025-11,30,1176,588,-2512.354541389996,-2512.5019728963243,-83.74515137966654,2,28,-15792.145629194976
2025-12,31,1198,599,-1984.3957847099896,-1983.9471074196679,-64.01276724870934,4,27,-17776.541413904964
2026-01,31,1176,588,-2101.8571853749913,-2101.5989010230737,-67.80184468951585,2,29,-19878.39859927996
2026-02,28,1040,520,-1993.8994540800024,-1991.9358443723454,-71.21069478857152,6,22,-21872.29805335996
2026-03,31,1216,608,-2382.5592956899973,-2380.0130394194284,-76.85675147387089,0,31,-24254.85734904996
