bucket,rank,date,net_pnl,trade_count,balance,drawdown,ddpercent
worst,1,2026-01-18,-178.31507101999927,40,-19201.601688004965,-24170.48557888997,-486.4369164115242
worst,2,2026-02-16,-174.26752949000002,34,-21326.49654235996,-26295.38043324496,-529.2009435253985
worst,3,2026-03-11,-171.35926117000136,40,-22825.90682977496,-27794.79072065996,-559.3769412009639
worst,4,2026-02-28,-169.15439948000176,38,-21872.29805335996,-26841.18194424496,-540.185332031663
worst,5,2026-01-25,-165.20185798999816,40,-19602.48713441496,-24571.371025299963,-494.5048337791525
worst,6,2025-05-23,-158.14088268000074,40,-2757.511501889997,-7726.395392774998,-155.49559141336383
worst,7,2025-05-12,-154.61952086000056,20,-2195.8309808299955,-7164.714871714997,-144.19163395743786
worst,8,2025-11-26,-152.64069533999816,40,-15501.280203259976,-20470.164094144977,-411.9670441826135
worst,9,2025-05-24,-152.29020808000004,36,-2909.8017099699973,-7878.6856008549985,-158.56046898797098
worst,10,2025-07-29,-151.5943369699994,40,-7387.3698671299935,-12356.253758014996,-248.67262003609105
best,1,2025-10-11,175.8871903350006,40,-11965.807663939988,-16934.69155482499,-340.81479717991107
best,2,2025-04-23,125.58090392999917,40,-1041.742332959997,-6010.626223844998,-120.96531848673273
best,3,2025-12-11,87.90477827500158,40,-16126.81441253997,-21095.69830342497,-424.5560726851205
best,4,2025-01-13,76.60653485000002,40,4320.483068600005,-648.4008222849961,-13.049224665410936
best,5,2025-05-14,61.70477564000063,40,-2221.992133119996,-7190.876024004997,-144.71813352684802
best,6,2026-02-23,52.75432483999917,40,-21699.06230946996,-26667.94620035496,-536.6989204411691
best,7,2026-02-24,51.931577980001386,40,-21647.13073148996,-26616.01462237496,-535.653784770455
best,8,2025-01-14,47.9354685350003,40,4368.418537135005,-600.4653537499962,-12.084511671755893
best,9,2025-01-17,46.82044685499987,40,4350.203480525006,-618.6804103599952,-12.451094127896855
best,10,2026-02-05,39.25817995499997,40,-20102.47573698496,-25071.35962786996,-504.5672263314757
