datetime,vt_tradeid,vt_orderid,symbol,exchange,direction,offset,price,volume,gateway_name,tradeid,orderid
2025-01-01 17:13:00+08:00,BACKTESTING.1,BACKTESTING.1,BTCUSDT_SWAP_OKX,GLOBAL,空,开,93254.0,3.57,BACKTESTING,1,1
2025-01-01 17:15:00+08:00,BACKTESTING.2,BACKTESTING.2,BTCUSDT_SWAP_OKX,GLOBAL,多,平,93317.3,3.57,BACKTESTING,2,2
2025-01-01 17:24:00+08:00,BACKTESTING.3,BACKTESTING.3,BTCUSDT_SWAP_OKX,GLOBAL,空,开,93168.3,3.57,BACKTESTING,3,3
2025-01-01 17:27:00+08:00,BACKTESTING.4,BACKTESTING.4,BTCUSDT_SWAP_OKX,GLOBAL,多,平,93021.7,3.57,BACKTESTING,4,4
2025-01-01 18:41:00+08:00,BACKTESTING.5,BACKTESTING.5,BTCUSDT_SWAP_OKX,GLOBAL,空,开,93370.1,3.57,BACKTESTING,5,5
2025-01-01 18:44:00+08:00,BACKTESTING.6,BACKTESTING.6,BTCUSDT_SWAP_OKX,GLOBAL,多,平,93404.9,3.57,BACKTESTING,6,6
2025-01-01 19:03:00+08:00,BACKTESTING.7,BACKTESTING.7,BTCUSDT_SWAP_OKX,GLOBAL,空,开,93238.8,3.57,BACKTESTING,7,7
2025-01-01 19:08:00+08:00,BACKTESTING.8,BACKTESTING.8,BTCUSDT_SWAP_OKX,GLOBAL,多,平,93318.3,3.57,BACKTESTING,8,8
2025-01-01 20:22:00+08:00,BACKTESTING.9,BACKTESTING.9,BTCUSDT_SWAP_OKX,GLOBAL,多,开,93660.0,3.55,BACKTESTING,9,9
2025-01-01 20:36:00+08:00,BACKTESTING.10,BACKTESTING.11,BTCUSDT_SWAP_OKX,GLOBAL,空,平,93786.5,3.55,BACKTESTING,10,11
2025-01-01 21:05:00+08:00,BACKTESTING.11,BACKTESTING.12,BTCUSDT_SWAP_OKX,GLOBAL,多,开,93910.9,3.54,BACKTESTING,11,12
2025-01-01 21:11:00+08:00,BACKTESTING.12,BACKTESTING.14,BTCUSDT_SWAP_OKX,GLOBAL,空,平,93700.0,3.54,BACKTESTING,12,14
2025-01-01 21:52:00+08:00,BACKTESTING.13,BACKTESTING.15,BTCUSDT_SWAP_OKX,GLOBAL,多,开,93927.1,3.54,BACKTESTING,13,15
2025-01-01 22:01:00+08:00,BACKTESTING.14,BACKTESTING.16,BTCUSDT_SWAP_OKX,GLOBAL,空,平,94147.6,3.54,BACKTESTING,14,16
