bucket,rank,date,net_pnl,trade_count,balance,drawdown,ddpercent
worst,1,2026-02-16,-126.30702000000004,34,1214.3717400000442,-4403.201639999958,-78.38262790970354
worst,2,2025-05-12,-124.55874000000054,20,5416.993980000003,-151.6445300000005,-2.723188616529544
worst,3,2026-01-18,-119.39215999999928,40,2021.853770000037,-3595.719609999965,-64.00841371830846
worst,4,2026-02-11,-117.01542000000008,34,1662.9824900000444,-3954.590889999958,-70.3967820710507
worst,5,2026-03-11,-115.77868000000136,40,974.576810000045,-4642.9965699999575,-82.65128474387558
worst,6,2025-06-08,-108.12721000000025,26,5438.410960000005,-179.16241999999784,-3.189320510486999
worst,7,2026-02-28,-106.61310000000177,38,1329.0128200000404,-4288.560559999962,-76.34186987691757
worst,8,2025-03-12,-106.59772000000017,36,4944.889740000005,-390.4745900000007,-7.318611548313895
worst,9,2025-07-12,-105.9900699999996,36,4791.140610000004,-826.4327699999985,-14.711561631616783
worst,10,2025-09-28,-103.60495999999956,24,3524.0260500000163,-2093.5473299999862,-37.26782346010023
best,1,2025-10-11,224.9454500000006,40,3770.4923400000143,-1847.081039999988,-32.880407874618406
best,2,2025-04-23,180.9781999999992,40,5379.257060000002,0.0,0.0
best,3,2025-12-11,153.3947900000016,40,3005.6052800000284,-2611.968099999974,-46.49637705311066
best,4,2025-01-13,126.65850000000002,40,5083.794300000005,0.0,0.0
best,5,2025-05-14,125.97974000000065,40,5515.425000000003,-53.2135100000005,-0.9555928240707524
best,6,2026-02-23,119.73823999999917,40,1177.239660000041,-4440.333719999961,-79.04362648485706
best,7,2026-02-24,117.5355400000014,40,1294.7752000000423,-4322.79817999996,-76.95134335744018
best,8,2025-10-09,104.90226000000038,40,3509.419520000014,-2108.1538599999885,-37.52783839914856
best,9,2025-01-17,103.36664999999988,40,5335.364330000006,0.0,0.0
best,10,2025-01-14,96.6919500000003,40,5180.486250000005,0.0,0.0
