date,close_price,pre_close,trades,trade_count,start_pos,end_pos,turnover,commission,slippage,trading_pnl,holding_pnl,total_pnl,net_pnl,balance,return,highlevel,drawdown,ddpercent
2025-07-01,105902.2,1.0,[],0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,0.0,0.0
2025-07-02,108699.9,105902.2,[],0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,0.0,0.0
2025-07-03,108958.9,108699.9,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='BTCUSDT_SWAP_OKX', exchange=<Exchange.GLOBAL: 'GLOBAL'>, orderid='1', tradeid='1', direction=<Direction.SHORT: '空'>, offset=<Offset.OPEN: '开'>, price=108739.8, volume=1, datetime=datetime.datetime(2025, 7, 3, 0, 1, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='BTCUSDT_SWAP_OKX', exchange=<Exchange.GLOBAL: 'GLOBAL'>, orderid='2', tradeid='2', direction=<Direction.LONG: '多'>, offset=<Offset.CLOSE: '平'>, price=109533.1, volume=1, datetime=datetime.datetime(2025, 7, 3, 4, 1, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",2,0,0,218272.90000000002,109.13645,0.0,-793.3000000000029,0.0,-793.3000000000029,-902.4364500000029,4097.563549999997,-0.19904537146153772,5000.0,-902.4364500000029,-18.04872900000006
2025-07-04,107544.5,108958.9,[],0,0,0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,4097.563549999997,0.0,5000.0,-902.4364500000029,-18.04872900000006
2025-07-05,108000.0,107544.5,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='BTCUSDT_SWAP_OKX', exchange=<Exchange.GLOBAL: 'GLOBAL'>, orderid='3', tradeid='3', direction=<Direction.LONG: '多'>, offset=<Offset.OPEN: '开'>, price=107544.7, volume=1, datetime=datetime.datetime(2025, 7, 5, 0, 1, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",1,0,1,107544.7,53.77235,0.0,455.3000000000029,0.0,455.3000000000029,401.5276500000029,4499.0912,0.09348287985238658,5000.0,-500.90880000000016,-10.018176000000004
2025-07-06,108865.1,108000.0,[],0,1,1,0.0,0.0,0.0,0.0,865.1000000000058,865.1000000000058,865.1000000000058,5364.191200000006,0.17587018900022883,5364.191200000006,0.0,0.0
2025-07-07,107973.0,108865.1,[],0,1,1,0.0,0.0,0.0,0.0,-892.1000000000058,-892.1000000000058,-892.1000000000058,4472.0912,-0.18188948062039728,5364.191200000006,-892.1000000000058,-16.630652539007276
2025-07-08,108099.3,107973.0,[],0,1,1,0.0,0.0,0.0,0.0,126.30000000000291,126.30000000000291,126.30000000000291,4598.391200000003,0.027850373986841252,5364.191200000006,-765.8000000000029,-14.276150335580917
2025-07-09,109010.0,108099.3,[],0,1,1,0.0,0.0,0.0,0.0,910.6999999999971,910.6999999999971,910.6999999999971,5509.0912,0.18069316989055537,5509.0912,0.0,0.0
2025-07-10,111340.2,109010.0,[],0,1,1,0.0,0.0,0.0,0.0,2330.199999999997,2330.199999999997,2330.199999999997,7839.291199999997,0.3527487490298091,7839.291199999997,0.0,0.0
2025-07-11,116034.2,111340.2,[],0,1,1,0.0,0.0,0.0,0.0,4694.0,4694.0,4694.0,12533.291199999996,0.46923997790797417,12533.291199999996,0.0,0.0
2025-07-12,116876.9,116034.2,[],0,1,1,0.0,0.0,0.0,0.0,842.6999999999971,842.6999999999971,842.6999999999971,13375.991199999993,0.06507299842743132,13375.991199999993,0.0,0.0
2025-07-13,118391.3,116876.9,[],0,1,1,0.0,0.0,0.0,0.0,1514.4000000000087,1514.4000000000087,1514.4000000000087,14890.391200000002,0.10725472056962426,14890.391200000002,0.0,0.0
2025-07-14,119600.0,118391.3,[],0,1,1,0.0,0.0,0.0,0.0,1208.699999999997,1208.699999999997,1208.699999999997,16099.091199999999,0.07804670417522867,16099.091199999999,0.0,0.0
