tag,base,n,net,dpnl_pct,pf,win,max_dd,dd/flatref,dd/net,cohort_pnl,virtual_blocked_pnl,triggers,blocked
X1.0_N12h,FLAT,20457,160116.0,-15.38,1.973,0.4827,2094.0,0.931,0.01308,883.0,29112.0,35,841
X1.0_N12h,v2B,20512,246178.0,-15.19,2.321,0.4831,2824.0,1.255,0.01147,2683.0,44091.0,33,786
X1.0_N24h,FLAT,20271,160047.0,-15.42,1.988,0.4831,2094.0,0.931,0.01309,821.0,29180.0,22,1027
X1.0_N24h,v2B,20454,248465.0,-14.4,2.345,0.4833,2231.0,0.991,0.00898,2810.0,41804.0,18,844
X1.5_N12h,FLAT,20580,160532.0,-15.16,1.96,0.4826,2277.0,1.012,0.01419,1089.0,28696.0,30,718
X1.5_N12h,v2B,20624,246736.0,-15.0,2.291,0.4824,3213.0,1.428,0.01302,2991.0,43533.0,28,674
X1.5_N24h,FLAT,20537,161360.0,-14.73,1.973,0.4832,2094.0,0.931,0.01298,1089.0,27867.0,16,761
X1.5_N24h,v2B,20461,245213.0,-15.52,2.309,0.4828,2812.0,1.25,0.01147,2810.0,45057.0,18,837
X2.0_N12h,FLAT,20729,160888.0,-14.98,1.953,0.4824,2094.0,0.931,0.01302,1027.0,28339.0,23,569
X2.0_N12h,v2B,20781,248231.0,-14.48,2.281,0.4827,2812.0,1.25,0.01133,2991.0,42039.0,21,517
X2.0_N24h,FLAT,20730,162134.0,-14.32,1.968,0.4825,2094.0,0.931,0.01292,1064.0,27094.0,12,568
X2.0_N24h,v2B,20722,248122.0,-14.52,2.293,0.483,2812.0,1.25,0.01133,2991.0,42148.0,12,576
X3.0_N12h,FLAT,20952,169017.0,-10.68,1.982,0.483,2094.0,0.931,0.01239,1027.0,20210.0,14,346
X3.0_N12h,v2B,20952,257492.0,-11.29,2.315,0.4826,2869.0,1.275,0.01114,2991.0,32778.0,14,346
X3.0_N24h,FLAT,20915,169921.0,-10.2,1.994,0.4832,2094.0,0.931,0.01232,1027.0,19307.0,8,383
X3.0_N24h,v2B,20917,257709.0,-11.22,2.317,0.4829,2869.0,1.275,0.01113,2991.0,32561.0,8,381
